Price,Date,Year
183.0021816894343,2018-08-17 14:00:00,2018
182.91249486223523,2018-01-16 19:00:00,2018
182.8058855555556,2018-09-17 15:00:00,2018
182.78934776917583,2021-11-11 17:00:00,2021
182.320620200102,2018-08-20 15:00:00,2018
182.17396222222223,2019-09-06 14:00:00,2019
181.9792733333333,2018-05-31 15:00:00,2018
181.8160454444444,2018-07-21 16:00:00,2018
181.4000468287048,2018-08-02 15:00:00,2018
181.32017732929216,2021-09-22 18:00:00,2021
181.2144080951954,2014-05-22 15:00:00,2014
181.081274357584,2021-08-25 14:00:00,2021
180.87424591438776,2021-08-06 14:00:00,2021
180.740253,2016-12-19 07:00:00,2016
180.68517935385384,2021-05-27 15:00:00,2021
180.2599947,2012-08-20 15:00:00,2012
180.1303889,2020-08-28 14:00:00,2020
180.1303889,2020-08-29 15:00:00,2020
179.15874310014402,2014-02-03 07:00:00,2014
179.15237020346288,2018-10-04 14:00:00,2018
179.06155937495015,2021-09-19 15:00:00,2021
178.87431630511432,2021-09-18 14:00:00,2021
178.7557228,2016-08-11 14:00:00,2016
178.60285433333334,2021-12-01 17:00:00,2021
178.37552599999998,2018-09-25 15:00:00,2018
178.1282911111111,2019-07-10 15:00:00,2019
177.8004707,2020-08-31 14:00:00,2020
177.55530028376756,2013-12-31 07:00:00,2013
177.47178832609742,2018-07-28 15:00:00,2018
177.36374,2019-08-14 16:00:00,2019
177.2728493333333,2019-08-02 15:00:00,2019
177.220906834699,2018-07-16 14:00:00,2018
177.17133111111113,2019-07-30 14:00:00,2019
177.14608666666663,2019-07-15 15:00:00,2019
176.4016956,2020-08-16 14:00:00,2020
176.40169555555556,2019-08-16 14:00:00,2019
176.3082022222222,2019-08-22 15:00:00,2019
175.8475272222222,2018-07-27 15:00:00,2018
175.5127242,2020-08-25 15:00:00,2020
175.2764244,2020-08-27 15:00:00,2020
174.91418777777773,2019-08-21 15:00:00,2019
174.89960711211918,2013-12-10 07:00:00,2013
174.84740064444446,2021-10-08 15:00:00,2021
174.65467949333336,2014-02-27 07:00:00,2014
174.45836577777777,2019-08-12 14:00:00,2019
174.29451333333336,2019-09-05 15:00:00,2019
173.596739004162,2019-07-11 15:00:00,2019
173.27348304152855,2018-11-26 18:00:00,2018
173.273021461837,2014-04-22 15:00:00,2014
173.23552066666667,2019-09-03 15:00:00,2019
173.13074444444445,2019-08-06 14:00:00,2019
172.92552752,2021-12-21 07:00:00,2021
172.67365999999998,2019-08-07 13:00:00,2019
172.40281333333334,2019-08-29 15:00:00,2019
172.027942,2020-08-18 14:00:00,2020
171.8906345944682,2018-02-12 07:00:00,2018
171.7974831939562,2014-11-17 07:00:00,2014
171.78068444444446,2018-05-16 16:00:00,2018
171.16886305222215,2014-05-09 13:00:00,2014
170.58002999999997,2019-08-26 15:00:00,2019
170.28699778740176,2019-08-09 14:00:00,2019
170.13674444444445,2019-08-19 14:00:00,2019
169.4540924110133,2014-01-06 19:00:00,2014
169.25184888888887,2014-10-07 15:00:00,2014
169.1020142100356,2019-08-20 15:00:00,2019
169.03798400000002,2019-07-09 14:00:00,2019
168.91101195379704,2014-02-20 19:00:00,2014
168.50818744330888,2014-07-01 15:00:00,2014
167.87050826666672,2013-05-17 15:00:00,2013
167.2422968722222,2014-11-13 19:00:00,2014
167.1059103561994,2014-05-05 16:00:00,2014
167.03002993333337,2014-10-01 15:00:00,2014
166.3686139172312,2021-11-18 18:00:00,2021
166.2300976667031,2013-05-20 15:00:00,2013
166.12072475555556,2017-12-07 19:00:00,2017
165.57424481477324,2021-09-11 15:00:00,2021
165.3537756,2020-08-03 15:00:00,2020
165.23807391220438,2013-08-30 15:00:00,2013
165.1064402,2012-11-27 18:00:00,2012
164.98529781570502,2014-06-24 12:00:00,2014
164.9824526740394,2014-07-02 14:00:00,2014
164.66319466098537,2013-01-16 07:00:00,2013
164.62047204648695,2018-06-27 16:00:00,2018
164.61807056562265,2021-06-27 14:00:00,2021
164.36646028444443,2021-09-17 16:00:00,2021
163.76546361617918,2014-07-14 13:00:00,2014
163.06897666333333,2018-12-04 07:00:00,2018
162.89518461093203,2013-05-01 15:00:00,2013
162.74429240297053,2013-11-13 07:00:00,2013
162.70848515261622,2017-08-22 13:00:00,2017
162.66157266911682,2013-12-07 18:00:00,2013
162.6259399693577,2017-12-31 18:00:00,2017
162.52960244332908,2014-02-17 19:00:00,2014
162.48965338410807,2017-10-09 14:00:00,2017
162.33456544194894,2019-07-31 14:00:00,2019
162.22641227313193,2021-09-15 18:00:00,2021
161.9395008,2012-12-21 07:00:00,2012
161.81735925162857,2021-09-25 15:00:00,2021
161.7267772,2012-08-09 15:00:00,2012
161.5096212821706,2021-10-21 17:00:00,2021
161.10422067894743,2013-03-06 07:00:00,2013
161.03589456675206,2014-03-03 07:00:00,2014
161.0251268,2012-01-13 07:00:00,2012
160.98366751567158,2014-09-10 15:00:00,2014
160.92090759978606,2013-06-05 15:00:00,2013
160.71561327921154,2021-10-02 18:00:00,2021
160.41733771079993,2013-12-23 07:00:00,2013
160.1391465563124,2014-09-05 15:00:00,2014
159.90659329441442,2018-12-21 07:00:00,2018
159.8112885526997,2021-08-12 15:00:00,2021
159.56063670489192,2018-06-21 16:00:00,2018
159.47658228881826,2014-04-24 16:00:00,2014
159.4317532777778,2021-11-12 18:00:00,2021
159.19728744444444,2014-08-25 15:00:00,2014
159.1592355321148,2021-06-02 15:00:00,2021
159.12577438576386,2018-01-24 07:00:00,2018
159.1091108,2012-10-17 15:00:00,2012
158.95429390760597,2017-01-07 08:00:00,2017
158.14109857599422,2017-01-27 07:00:00,2017
157.97284190516638,2014-07-08 15:00:00,2014
157.83208285144997,2018-05-26 15:00:00,2018
157.7492512353258,2013-06-28 15:00:00,2013
157.67261178700917,2015-08-11 14:00:00,2015
157.5690532313566,2018-01-29 18:00:00,2018
157.53475012905022,2013-04-16 14:00:00,2013
157.32859555111116,2013-07-10 15:00:00,2013
157.2168241602495,2014-06-11 15:00:00,2014
157.05811471768808,2013-03-01 07:00:00,2013
156.97140430125745,2018-01-12 07:00:00,2018
156.78146680973302,2018-12-17 07:00:00,2018
156.7298184090836,2014-10-17 15:00:00,2014
156.7021205950271,2014-08-15 15:00:00,2014
156.2788100238322,2014-09-02 13:00:00,2014
156.19539316727605,2018-09-06 14:00:00,2018
156.1300189,2012-08-13 15:00:00,2012
156.0958873644974,2013-06-17 15:00:00,2013
156.03810492418154,2019-02-19 19:00:00,2019
155.9598260444444,2021-08-08 16:00:00,2021
155.88380361617826,2018-01-02 18:00:00,2018
155.81613009004403,2013-09-24 15:00:00,2013
155.7696382554454,2014-03-06 07:00:00,2014
155.6919778,2020-12-17 07:00:00,2020
155.61329082157567,2014-08-26 14:00:00,2014
155.54024063289162,2019-01-02 18:00:00,2019
155.4813769,2016-12-08 20:00:00,2016
155.4099212,2013-09-03 15:00:00,2013
155.3982144,2012-10-05 15:00:00,2012
155.09478298267675,2018-07-06 13:00:00,2018
154.74728395165192,2013-03-11 07:00:00,2013
154.61495193406049,2021-11-08 17:00:00,2021
154.5324224,2016-10-18 15:00:00,2016
154.49128719111275,2013-08-29 15:00:00,2013
154.096724,2016-09-28 16:00:00,2016
153.98793350533052,2021-12-16 17:00:00,2021
153.8545983518387,2014-12-01 19:00:00,2014
153.83269024658767,2014-06-02 15:00:00,2014
153.77928916982387,2021-08-24 13:00:00,2021
153.66883366690962,2018-11-23 18:00:00,2018
153.55240876582468,2013-11-27 07:00:00,2013
153.45656612035756,2013-07-18 15:00:00,2013
153.39113339337948,2013-02-14 07:00:00,2013
153.27861183752617,2014-06-13 15:00:00,2014
153.26989741162026,2021-06-17 15:00:00,2021
153.2548685244284,2021-12-04 17:00:00,2021
153.04081316594855,2019-06-19 15:00:00,2019
152.85850675555557,2013-09-12 15:00:00,2013
152.73816790238033,2018-01-04 07:00:00,2018
152.6633491111111,2013-07-12 15:00:00,2013
152.12184850252436,2013-12-12 07:00:00,2013
152.11419582222223,2014-04-08 19:00:00,2014
152.0345686269937,2017-04-20 15:00:00,2017
152.03453127777772,2013-05-22 16:00:00,2013
151.98664461805146,2018-08-07 15:00:00,2018
151.98011244444444,2014-03-04 07:00:00,2014
151.84851481556984,2021-09-28 13:00:00,2021
151.74449232100693,2013-01-02 18:00:00,2013
151.7428788888889,2021-11-20 17:00:00,2021
151.7413578693741,2013-09-04 15:00:00,2013
151.4938166208482,2013-08-23 14:00:00,2013
151.41399751091325,2014-03-13 06:00:00,2014
151.387016,2012-08-30 15:00:00,2012
151.1449018996767,2014-02-18 19:00:00,2014
151.10772943900997,2019-10-19 15:00:00,2019
151.1006038836848,2014-03-09 09:00:00,2014
151.08126272208173,2018-08-01 15:00:00,2018
150.91945092575122,2013-10-24 15:00:00,2013
150.90705755555555,2021-01-12 07:00:00,2021
150.9003164243122,2017-01-23 07:00:00,2017
150.6603970666667,2015-01-08 07:00:00,2015
150.62225572134722,2017-03-27 15:00:00,2017
150.60872373333336,2021-12-25 18:00:00,2021
150.4888986,2016-09-19 14:00:00,2016
150.39522278110277,2014-06-17 15:00:00,2014
150.28760031111108,2021-10-16 18:00:00,2021
