2012Price Difference,2013Price Difference,2014Price Difference,2015Price Difference,2016Price Difference,2017Price Difference,2018Price Difference,2019Price Difference,2020Price Difference,2021Price Difference,Time_Index
-7.033084,-5.164188,-4.21602831,-5.595403,-1.66850205,-8.851669,-10.83942729,-5.46742,-7.23202,-3.65804,1
-8.23151065,-7.134188,-7.30602831,-6.145403,-3.901967,-10.261669,-11.75592212,-6.18742,-8.400735,-4.26804,2
-7.09203509,-8.444188,-7.43602831,-6.465403,-4.441967,-11.921669,-11.51592212,-6.39742,-8.860735,-4.78804,3
-6.74255954,-8.344188,-7.43602831,-6.655403,-4.431967,-12.081669,-10.50592212,-6.74742,-8.490735,-4.66804,4
-6.383084,-8.174188,-7.29602831,-6.245403,-4.111967,-11.72982421,-9.195922118,-4.73742,-8.220735,-6.13718,5
-5.393084,-6.264188,-5.90340412,-2.895403,-3.37347251,-10.51982421,-6.719432,-3.48184,-7.650735,-8.242871579,6
-3.84413295,-7.866530052,3.07659588,-1.604825,-1.10347251,-7.558872534,-1.776354084,-3.47202,-5.020735,-9.84196,7
-4.621871,-8.329287,5.09659588,-1.854825,-0.88347251,-7.909824206,2.513645916,-2.99974,-4.130735,-8.56688596,8
-4.104485,-6.539287,7.07659588,-1.214825,-0.97347251,-4.938596,20.57364592,-2.58974,-4.010735,-3.777434309,9
-3.464485,-5.451405,1.64659588,0.835175,-0.453924,-7.141669,25.79364592,-4.5487,-3.87202,-6.39196,10
-4.604485,-5.271405,-2.89340412,-2.380727,0.486076,-4.307495,17.43364592,-9.566062506,-4.28202,-3.637044672,11
-4.614485,-6.856424,-5.95340412,-6.663271069,0.496076,-7.247495,2.813645916,-8.896062506,-4.98202,-3.937508822,12
-4.764485,-7.886571867,-7.27602831,-8.983953548,0.196076,-8.597495,-0.946354084,-10.08606251,-5.85202,-4.707972981,13
-5.614485,-6.741405,-7.27602831,-4.102776,-0.043924,-8.831669,-3.609568,-11.37606251,-7.458365,-5.78843715,14
-5.764485,-7.021405,-7.41602831,-2.824825,-1.023924,-8.081669,-3.654504,-11.39606251,-7.798365,-8.700025789,15
-5.724485,-7.021405,-7.41602831,-3.054825,-0.773924,-8.861669,-4.675922118,-12.14253231,-7.76202,-9.90264,16
-5.324485,-9.826571867,-7.33602831,-2.354825,-1.043981,-9.141669,-2.769432,-11.42126769,-7.318365,-9.82196,17
-6.672746,-3.377734575,3.02659588,9.302633852,3.686065,9.682505,15.82364592,-3.951267689,-3.488365,4.84124,18
-4.049863,-0.813123343,3.88659588,-59.69400433,4.986065,2.682505,19.44920629,-1.46714,-3.098365,-105.5512432,19
-8.199863,-6.023123343,-1.07602831,-2.362964,1.966065,-7.111669,14.68828806,-5.898564402,-3.39202,-4.69118,20
-9.529863,-6.567734575,-3.43602831,-4.909413872,1.516065,-6.138596,16.49364592,-6.351267689,-4.42202,-4.366484507,21
-10.919863,-9.517734575,-5.09602831,-0.864825,0.086065,-7.132343,5.313645916,-7.921267689,-5.78202,-8.377085049,22
-11.393395,-5.477734575,-7.32602831,-2.814825,-0.803981,-10.162343,3.553645916,-9.791267689,-4.910735,-8.83712,23
-10.142746,-9.897734575,-6.019293249,-3.785403,-0.463924,9.875866966,-2.052781916,-11.2369,-3.250735,-8.89196,24
-7.05667459,-5.344845,-4.322885763,-4.020547746,-1.07347251,9.485686079,-5.145035,-10.10003479,-8.406876,-6.19196,25
-7.57725834,-6.464845,-5.322885763,-5.080547746,-2.12347251,9.485505189,-8.925035,-10.75003479,6.17,-9.93196,26
-7.9678421,-6.664845,-8.537770573,-5.213549,-2.90347251,9.065324296,-7.56235,-10.71003479,5.97,-10.00196,27
-7.56842586,-7.722088,-7.537770573,-5.174106482,-3.06347251,16.57,-5.675035,-8.951744,6.74,-9.77196,28
-10.612746,-10.68452903,-6.157770573,-3.720547746,-2.16347251,15.83,6.53228,-8.850034791,-7.3368133,-9.88196,29
-12.623395,-7.564529032,-0.577716577,-1.100547746,-2.41347251,15.82,11.551265,-6.063630903,-8.126876,-7.50712,30
