Delivery Date,Hour Ending,Price,Time_Index,Date,Year
10/18/2016,17:00,274.77,6976,2016-10-18 15:00:00,2016
8/4/2016,16:00,230.02,5175,2016-08-04 14:00:00,2016
8/12/2016,16:00,219.32,5367,2016-08-12 14:00:00,2016
10/18/2016,16:00,212.65,6975,2016-10-18 14:00:00,2016
8/5/2016,16:00,211.94,5199,2016-08-05 14:00:00,2016
8/8/2016,16:00,210.15,5271,2016-08-08 14:00:00,2016
9/19/2016,17:00,202.4,6280,2016-09-19 15:00:00,2016
8/4/2016,17:00,191.34,5176,2016-08-04 15:00:00,2016
8/8/2016,17:00,183.1,5272,2016-08-08 15:00:00,2016
8/6/2016,16:00,181.0,5223,2016-08-06 14:00:00,2016
8/6/2016,17:00,179.31,5224,2016-08-06 15:00:00,2016
9/19/2016,16:00,177.23,6279,2016-09-19 14:00:00,2016
8/5/2016,17:00,173.84,5200,2016-08-05 15:00:00,2016
8/4/2016,15:00,170.68,5174,2016-08-04 13:00:00,2016
8/12/2016,17:00,166.6,5368,2016-08-12 15:00:00,2016
8/7/2016,16:00,166.47,5247,2016-08-07 14:00:00,2016
8/7/2016,17:00,145.48,5248,2016-08-07 15:00:00,2016
8/5/2016,15:00,141.87,5198,2016-08-05 13:00:00,2016
9/19/2016,15:00,140.52,6278,2016-09-19 13:00:00,2016
12/19/2016,8:00,139.42,8456,2016-12-19 07:00:00,2016
8/12/2016,15:00,137.61,5366,2016-08-12 13:00:00,2016
8/9/2016,16:00,136.32,5295,2016-08-09 14:00:00,2016
8/8/2016,15:00,128.33,5270,2016-08-08 13:00:00,2016
8/9/2016,17:00,128.21,5296,2016-08-09 15:00:00,2016
8/6/2016,15:00,127.66,5222,2016-08-06 13:00:00,2016
12/19/2016,7:00,126.79,8455,2016-12-19 06:00:00,2016
8/11/2016,16:00,126.31,5343,2016-08-11 14:00:00,2016
8/11/2016,17:00,119.21,5344,2016-08-11 15:00:00,2016
9/20/2016,16:00,118.3,6303,2016-09-20 14:00:00,2016
10/18/2016,15:00,117.38,6974,2016-10-18 13:00:00,2016
8/3/2016,17:00,115.94,5152,2016-08-03 15:00:00,2016
6/17/2016,16:00,110.72,4023,2016-06-17 14:00:00,2016
6/17/2016,17:00,110.3,4024,2016-06-17 15:00:00,2016
8/10/2016,16:00,107.51,5319,2016-08-10 14:00:00,2016
