Zone,Price,Date,Year
t8456,180.740253,2016-12-19 07:00:00,2016
t5343,178.7557228,2016-08-11 14:00:00,2016
t8205,155.4813769,2016-12-08 20:00:00,2016
t6976,154.5324224,2016-10-18 15:00:00,2016
t6497,154.096724,2016-09-28 16:00:00,2016
t6279,150.4888986,2016-09-19 14:00:00,2016
t5823,147.5782126,2016-08-31 14:00:00,2016
t4527,145.7828156,2016-07-08 14:00:00,2016
t8635,144.3563123,2016-12-26 18:00:00,2016
t4671,144.1426076,2016-07-14 14:00:00,2016
t7264,143.5708358,2016-10-30 15:00:00,2016
t4335,141.9999703,2016-06-30 14:00:00,2016
t4023,141.9345959,2016-06-17 14:00:00,2016
t4312,139.8212923,2016-06-29 15:00:00,2016
t4934,139.3694948,2016-07-25 13:00:00,2016
t8338,138.6238972,2016-12-14 09:00:00,2016
t80,137.8357449,2016-01-04 07:00:00,2016
t6304,137.3407292,2016-09-20 15:00:00,2016
t6830,136.6404569,2016-10-12 13:00:00,2016
t824,134.9301744,2016-02-04 07:00:00,2016
t656,134.4854245,2016-01-28 07:00:00,2016
t248,134.2670707,2016-01-11 07:00:00,2016
t416,133.6515789,2016-01-18 07:00:00,2016
t5679,133.19331,2016-08-25 14:00:00,2016
t5199,132.4139938,2016-08-05 14:00:00,2016
t6663,130.7933355,2016-10-05 14:00:00,2016
t6014,130.2906464,2016-09-08 13:00:00,2016
t8707,129.61503,2016-12-29 18:00:00,2016
t7843,129.5609861,2016-11-23 18:00:00,2016
t4696,128.4121916,2016-07-15 15:00:00,2016
t7192,128.1004984,2016-10-27 15:00:00,2016
t2992,127.815518,2016-05-05 15:00:00,2016
t7119,127.6327298,2016-10-24 14:00:00,2016
t8683,127.5265287,2016-12-28 18:00:00,2016
t7891,127.5170742,2016-11-25 18:00:00,2016
t6688,126.7013961,2016-10-06 15:00:00,2016
t5271,126.3409192,2016-08-08 14:00:00,2016
t4863,126.2801576,2016-07-22 14:00:00,2016
t3136,125.9058549,2016-05-11 15:00:00,2016
t3471,125.8382186,2016-05-25 14:00:00,2016
t6208,125.0846844,2016-09-16 15:00:00,2016
t5295,124.9455223,2016-08-09 14:00:00,2016
t5176,124.9296715,2016-08-04 15:00:00,2016
t2801,124.5206794,2016-04-27 16:00:00,2016
t4048,124.007295,2016-06-18 15:00:00,2016
t7649,123.8639933,2016-11-15 16:00:00,2016
t2060,123.0666704,2016-03-27 19:00:00,2016
t4408,122.6376144,2016-07-03 15:00:00,2016
t1123,122.4223614,2016-02-16 18:00:00,2016
t4912,122.3508279,2016-07-24 15:00:00,2016
t3783,122.2176602,2016-06-07 14:00:00,2016
t5032,122.1738365,2016-07-29 15:00:00,2016
t3975,121.6147187,2016-06-15 14:00:00,2016
t5152,120.8912322,2016-08-03 15:00:00,2016
t7987,120.4415836,2016-11-29 18:00:00,2016
t7335,119.0987995,2016-11-02 14:00:00,2016
t4119,118.2944406,2016-06-21 14:00:00,2016
t1988,116.8757078,2016-03-24 19:00:00,2016
t4168,116.5325963,2016-06-23 15:00:00,2016
t8539,115.2010182,2016-12-22 18:00:00,2016
t1484,114.0469348,2016-03-03 19:00:00,2016
t5367,113.8917976,2016-08-12 14:00:00,2016
t6352,113.3066894,2016-09-22 15:00:00,2016
t7312,112.656088,2016-11-01 15:00:00,2016
t2873,112.1662672,2016-04-30 16:00:00,2016
t1771,111.3590851,2016-03-15 18:00:00,2016
t739,108.1811733,2016-01-31 18:00:00,2016
t3613,107.8898328,2016-05-31 12:00:00,2016
t4839,107.6872936,2016-07-21 14:00:00,2016
t4503,107.5562537,2016-07-07 14:00:00,2016
t7000,106.8963727,2016-10-19 15:00:00,2016
t944,105.410502,2016-02-09 07:00:00,2016
t4285,104.5037837,2016-06-28 12:00:00,2016
t1016,103.9202278,2016-02-12 07:00:00,2016
t6328,101.346204,2016-09-21 15:00:00,2016
t2249,100.8175158,2016-04-04 16:00:00,2016
t6183,97.7967165,2016-09-15 14:00:00,2016
t5318,97.38738265,2016-08-10 13:00:00,2016
t5128,96.9489163,2016-08-02 15:00:00,2016
t3807,96.86087192,2016-06-08 14:00:00,2016
t2300,96.37918586,2016-04-06 19:00:00,2016
t1436,95.06095497,2016-03-01 19:00:00,2016
t2680,94.56737841,2016-04-22 15:00:00,2016
t4432,94.45268622,2016-07-04 15:00:00,2016
t5104,93.62989966,2016-08-01 15:00:00,2016
t5847,93.5143488,2016-09-01 14:00:00,2016
t4648,93.34522567,2016-07-13 15:00:00,2016
t2152,92.82962291,2016-03-31 15:00:00,2016
t6232,92.4173544,2016-09-17 15:00:00,2016
t4359,92.28785454,2016-07-01 14:00:00,2016
t4096,91.60945426,2016-06-20 15:00:00,2016
t3112,91.5265241,2016-05-10 15:00:00,2016
t4816,91.29684928,2016-07-20 15:00:00,2016
t4791,90.83000221,2016-07-19 14:00:00,2016
t8107,90.54492578,2016-12-04 18:00:00,2016
