2012,Percent Range,2013,2014,2015,2016,2017,2018,2019,2020,2021
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04223744292237443,5,0.07009132420091324,0.09372146118721461,0.07876712328767123,0.04863013698630137,0.026598173515981736,0.03641552511415525,0.045205479452054796,0.05502283105022831,0.04029680365296804
0.08664383561643836,10,0.13744292237442923,0.19954337899543378,0.16118721461187216,0.09406392694063927,0.054452054794520546,0.07831050228310503,0.08938356164383561,0.108675799086758,0.07328767123287672
0.12602739726027398,15,0.21073059360730595,0.29383561643835615,0.2363013698630137,0.1476027397260274,0.08470319634703197,0.1187214611872146,0.13995433789954337,0.16050228310502282,0.11347031963470319
0.16598173515981735,20,0.2850456621004566,0.37705479452054796,0.3133561643835616,0.19828767123287672,0.11598173515981736,0.16575342465753426,0.18710045662100458,0.2158675799086758,0.15205479452054796
0.21050228310502284,25,0.35,0.4560502283105023,0.38664383561643834,0.2513698630136986,0.1512557077625571,0.2113013698630137,0.23607305936073059,0.2768264840182648,0.19018264840182647
0.25296803652968036,30,0.41404109589041094,0.5339041095890411,0.4569634703196347,0.30525114155251143,0.18812785388127853,0.2585616438356164,0.2882420091324201,0.3329908675799087,0.22990867579908675
0.29292237442922375,35,0.47271689497716896,0.5990867579908675,0.529337899543379,0.35468036529680363,0.2278538812785388,0.30445205479452053,0.3418949771689498,0.3891552511415525,0.27214611872146116
0.33470319634703194,40,0.5242009132420091,0.6546803652968036,0.5847031963470319,0.40947488584474884,0.2687214611872146,0.35319634703196345,0.39863013698630134,0.44269406392694066,0.3198630136986301
0.3821917808219178,45,0.5720319634703196,0.702054794520548,0.6348173515981735,0.45924657534246577,0.3115296803652968,0.4012557077625571,0.45273972602739726,0.49189497716894975,0.3639269406392694
0.42534246575342466,50,0.6176940639269406,0.7454337899543378,0.6810502283105023,0.5095890410958904,0.36484018264840185,0.44851598173515983,0.505593607305936,0.5440639269406393,0.41141552511415524
0.47191780821917806,55,0.6605022831050228,0.7868721461187215,0.7251141552511415,0.5577625570776256,0.41529680365296806,0.4942922374429224,0.5519406392694064,0.5976027397260274,0.4567351598173516
0.5158675799086758,60,0.7006849315068493,0.8259132420091324,0.7638127853881278,0.603310502283105,0.46986301369863015,0.5409817351598174,0.5984018264840183,0.6377853881278539,0.5029680365296804
0.5577625570776256,65,0.7400684931506849,0.854337899543379,0.7978310502283105,0.6465753424657534,0.5291095890410958,0.5906392694063927,0.6396118721461187,0.6788812785388127,0.5448630136986301
0.6015981735159818,70,0.7752283105022831,0.8764840182648402,0.8294520547945206,0.6853881278538813,0.5852739726027397,0.6364155251141552,0.6761415525114155,0.7095890410958904,0.5884703196347032
0.6436073059360731,75,0.8077625570776256,0.8949771689497716,0.8521689497716894,0.7203196347031964,0.6364155251141552,0.6791095890410959,0.7151826484018264,0.7417808219178083,0.6257990867579909
0.685958904109589,80,0.834931506849315,0.9099315068493151,0.8690639269406393,0.7526255707762557,0.6856164383561644,0.7226027397260274,0.7439497716894977,0.770662100456621,0.6627853881278539
0.729337899543379,85,0.859703196347032,0.920662100456621,0.8851598173515982,0.7819634703196348,0.722716894977169,0.7632420091324201,0.7723744292237443,0.7960045662100457,0.6954337899543379
0.7692922374429224,90,0.8833333333333333,0.9310502283105023,0.897945205479452,0.8054794520547945,0.7598173515981735,0.7964611872146119,0.79337899543379,0.8157534246575342,0.7235159817351599
0.8036529680365296,95,0.9010273972602739,0.9385844748858447,0.9069634703196348,0.8254566210045662,0.7953196347031963,0.8251141552511415,0.8149543378995434,0.8337899543378996,0.7502283105022831
0.8347031963470319,100,0.91837899543379,0.9455479452054795,0.9141552511415525,0.8422374429223745,0.8214611872146119,0.8495433789954338,0.8340182648401826,0.8505707762557078,0.7719178082191781
0.8614155251141552,105,0.9304794520547945,0.9502283105022831,0.9211187214611872,0.8551369863013699,0.8434931506849315,0.8655251141552511,0.8489726027397261,0.8618721461187214,0.7906392694063927
0.8829908675799086,110,0.9381278538812785,0.9534246575342465,0.9264840182648402,0.8672374429223745,0.8584474885844748,0.8768264840182648,0.8605022831050229,0.871689497716895,0.8093607305936074
0.9036529680365297,115,0.946917808219178,0.9568493150684931,0.9309360730593608,0.8773972602739726,0.8731735159817352,0.888013698630137,0.8722602739726028,0.8792237442922375,0.8230593607305936
0.9158675799086758,120,0.9528538812785388,0.9600456621004566,0.9361872146118722,0.8860730593607306,0.882648401826484,0.8970319634703197,0.8825342465753425,0.8851598173515982,0.8360730593607306
0.9289954337899543,125,0.9578767123287671,0.9623287671232876,0.9410958904109589,0.8925799086757991,0.8910958904109589,0.9045662100456621,0.8915525114155252,0.8914383561643836,0.8469178082191781
0.9401826484018265,130,0.9614155251141553,0.9638127853881279,0.9445205479452055,0.8980593607305936,0.8976027397260274,0.9106164383561643,0.8985159817351598,0.8955479452054794,0.8554794520547945
0.9487442922374429,135,0.9662100456621004,0.9655251141552511,0.9468036529680365,0.9049086757990867,0.9029680365296804,0.9157534246575343,0.9035388127853882,0.8993150684931507,0.8642694063926941
0.95662100456621,140,0.9694063926940639,0.9674657534246576,0.9485159817351598,0.9101598173515981,0.9060502283105023,0.921689497716895,0.909703196347032,0.9028538812785388,0.8715753424657534
0.9601598173515982,145,0.9712328767123287,0.9699771689497717,0.9514840182648402,0.9124429223744293,0.9093607305936073,0.9254566210045662,0.9134703196347032,0.9059360730593607,0.8789954337899544
