,Biomass,Coal,Gas,Gas-CC,Hydro,Nuclear,Other,Solar,Wind,Time_Index
1/2/2020 20:00,35.196468,10700.53855,974.392536,16916.72785,103.367306,3846.135302,-1.201645,0.0035,7949.893271,44
1/2/2020 21:00,35.389622,10063.50683,862.174397,16849.14074,103.275906,3845.940116,-1.528491,0.017169,8214.913687,45
1/2/2020 22:00,35.402095,8863.377501,720.684166,16349.43124,103.293304,3845.823694,-0.547015,0.007,9102.246507,46
1/2/2020 23:00,35.444207,9084.5738,665.754413,14016.25273,102.064984,3847.215138,1.942375,0.428854,9659.948545,47
1/2/2020 0:00,35.4664,9188.619994,657.062903,11859.78221,34.885487,3846.887559,-0.698685,0.0035,9969.064598,48
1/3/2020 1:00,35.451265,9122.356425,716.383802,10678.92882,32.773022,3846.234298,-1.750629,0.013583,9824.1688,49
1/3/2020 2:00,35.519557,8319.533999,674.582042,10460.22225,24.001094,3845.046814,-2.445108,0.0035,9968.716767,50
1/3/2020 3:00,34.341295,7278.200627,625.629231,9982.846247,15.679549,3844.775803,-1.114946,0.0035,11253.27507,51
1/3/2020 4:00,34.240948,6499.151606,613.016033,9823.370359,42.95573,3845.466376,-1.477893,0.0035,12416.11897,52
1/3/2020 5:00,34.234952,6405.947995,613.618724,10080.35133,65.338955,3845.685226,0.581951,0.0035,12992.17165,53
1/3/2020 6:00,34.119735,6728.439767,666.549578,12090.90129,103.51661,3845.681434,-3.723783,0.007,12501.2449,54
1/3/2020 7:00,32.905358,7154.288081,654.293871,13545.6111,128.983262,3846.303754,-0.88443,0.0035,12892.08088,55
1/3/2020 8:00,32.701874,7090.693355,658.98117,14203.9767,129.72269,3847.252237,-2.095526,2.742043,14019.43231,56
1/3/2020 9:00,34.451421,7107.064922,729.505972,14453.73047,129.258517,3846.106713,-11.358057,144.433099,14277.17815,57
1/3/2020 10:00,35.474412,6815.473186,770.86218,14609.99553,129.332088,3847.255586,-9.761373,676.953102,13806.59346,58
1/3/2020 11:00,34.264659,6373.382625,708.659128,14168.4044,177.066536,3847.42723,-2.461483,1066.082094,14014.49264,59
1/3/2020 12:00,34.696248,5980.134958,696.810576,13773.42295,156.672165,3847.554588,-0.953817,1351.921393,13885.3341,60
1/3/2020 13:00,34.780923,5974.147328,697.223489,13691.5043,113.983181,3874.654471,-1.319814,1462.166278,13144.13187,61
1/3/2020 14:00,34.878567,5929.083194,700.508575,13357.61392,61.466965,3899.919781,3.192494,1535.569242,12916.94433,62
1/3/2020 15:00,34.338558,6059.626926,713.416996,13997.67611,61.214461,3950.841034,-4.654501,1638.194937,11570.44711,63
1/3/2020 16:00,32.462404,6376.863253,758.380515,14559.80562,64.676049,3976.456282,-3.058588,1404.459467,10567.27473,64
1/3/2020 17:00,31.406317,6676.689934,757.012889,15111.36949,101.559045,3976.856956,-0.374346,1245.703638,9812.50698,65
1/3/2020 18:00,34.056455,8354.884513,827.532769,17174.75736,103.899498,4050.934057,1.606402,226.108023,8239.802014,66
1/3/2020 19:00,35.592131,10043.6614,922.284524,17439.25237,104.396752,4189.57927,0.402561,1.111765,7700.370552,67
1/3/2020 20:00,35.08983,10066.99353,868.914207,17479.63919,104.63271,4221.453677,3.129725,4.406104,7659.960277,68
1/3/2020 21:00,34.452553,9591.198105,939.250089,17553.60147,104.477452,4308.243258,1.988458,0.007,7768.599265,69
