Time Index,2013,2014,2015,2016,2017,2018,2019,2020,2021
120,22.14138,47.769638,27.869877,13.911138,24.219322,37.687958,11.818314,19.300135,8.762795
121,19.377617,44.102467,30.478668,13.583037,22.117962,26.137083,10.759011,16.562284,7.743831
122,19.48112,43.856018,30.41057,13.266076,21.401962,27.295622,10.524797,17.25519,8.213446
123,21.27069,47.717014,27.405613,12.894927,21.817402,28.748941,10.099749,18.059614,9.0143585
124,21.479137,50.83133,28.826189,12.920871,23.413128,29.41392,10.090262,17.734228,9.762655
125,21.558443,55.60046,27.534868,13.2762,27.973244,29.812502,10.779357,18.830519,11.462807
126,22.415726,52.444016,37.978603,14.154911,32.724335,31.958338,11.465421,20.28265,11.690183
127,23.508781,61.22399,58.706657,15.846721,36.808384,34.954014,13.2327175,19.960009,17.478554
128,25.372087,69.64495,65.27225,16.45422,37.702946,43.630653,13.330483,20.728918,18.20237
129,26.436361,68.58235,40.08897,15.683688,36.855984,41.15207,14.898087,8.80204,16.629213
130,27.014553,66.52702,33.71662,15.581843,36.479496,36.713,14.722332,14.183057,15.019498
131,23.706743,58.081844,30.758402,15.529986,36.332714,34.562244,12.718866,19.924791,15.268449
132,20.9872,52.775208,27.343119,15.008572,35.736362,31.583591,10.965097,21.412426,15.681252
133,19.77438,49.59436,26.059128,14.597861,35.84904,28.882637,10.618353,17.37391,14.957699
134,18.878038,46.593704,25.032598,14.390722,34.61158,27.76882,10.742665,18.84584,15.441416
135,18.391306,45.886055,25.467701,14.295842,34.437344,26.965006,10.70396,19.18877,15.253538
136,19.163855,46.67684,25.761,14.493087,35.92813,26.364687,10.876617,18.800816,17.258863
137,20.229479,48.492165,26.642874,14.985944,39.98377,24.887333,11.21356,15.473868,18.503868
138,23.932184,53.372906,28.69215,17.574625,41.083557,28.390482,12.439381,20.823606,20.488836
139,26.742434,68.464836,32.54282,18.985464,55.273552,29.023932,14.598512,23.021818,22.11085
140,28.442734,73.17231,32.578842,18.40222,49.92672,26.510317,14.562471,23.180521,20.45349
141,28.203749,57.14886,31.894827,16.377846,47.729206,24.41635,13.387771,24.032091,18.612043
142,26.019106,48.67523,30.224503,15.06979,40.29719,23.10085,12.429641,24.07464,17.26415
143,24.093458,45.341335,29.297588,14.2792845,37.61334,21.020994,12.513858,25.143108,14.89316
144,23.049147,41.08584,28.97072,13.4019985,34.51782,19.811102,8.755537,24.03977,13.719647
145,20.111744,40.305283,27.587965,12.941819,32.26009,18.214724,9.212342,22.529352,15.672422
146,19.522818,41.150284,27.330576,12.679219,31.103168,19.776928,9.82205,22.88942,16.255802
147,19.528463,41.49002,27.314266,12.469817,32.24057,16.182032,10.741917,21.062763,16.007345
148,20.647005,42.75112,27.452013,12.360843,33.80283,17.095858,11.417983,21.344725,16.945395
149,22.192968,48.102295,27.784214,12.342962,36.997868,18.287369,11.935728,21.608145,19.081907
150,25.61028,58.98714,28.505774,13.061312,39.01153,24.58069,16.58164,20.499342,21.089527
151,33.2245,69.467545,34.10225,14.43949,46.533504,23.325853,20.199667,23.817097,22.963335
152,39.154953,70.75011,33.871128,14.317554,60.22173,24.242628,20.998985,24.04486,24.44856
153,24.445019,60.314205,29.899023,13.4984255,74.45617,26.013096,20.163279,17.067726,24.467943
154,27.744905,53.815586,27.61899,12.718488,52.349735,28.375584,19.267723,18.336214,24.181782
155,25.59894,49.19268,27.085384,11.737477,40.28977,27.6981,20.111917,19.037132,23.169065
156,21.379057,47.860683,26.006361,12.575349,38.961773,25.350706,20.719627,18.439482,22.819666
157,19.452917,45.515034,26.02727,12.821505,30.563885,23.821457,20.453796,16.446508,22.678799
158,20.544556,43.92717,26.09583,12.741508,27.498737,23.868006,21.350786,16.0664,21.822237
159,20.361076,40.772358,26.490068,12.487804,27.267538,23.453684,22.116365,14.73781,21.412153
160,20.299055,42.733418,27.852497,12.49444,28.913403,22.437977,22.410292,15.264215,21.978388
161,22.70746,43.982235,28.761505,11.862555,30.372658,23.205086,21.94068,17.18083,23.221079
162,26.692259,52.31883,35.454185,13.126395,34.014874,29.546951,28.124279,21.98369,26.56844
163,29.601671,67.92769,40.68655,14.503221,45.934307,36.45996,27.672485,22.30222,35.478226
164,29.104773,62.846222,43.686836,14.492994,44.104618,36.95515,21.932995,20.821482,26.036898
165,26.752281,53.514545,57.203037,14.402454,37.886227,36.736008,20.101202,19.264101,24.25465
166,24.660994,49.4481,52.035107,14.269999,33.97147,33.04065,17.1763,18.030622,23.537909
167,21.552797,43.882088,46.04284,13.407954,31.886387,29.126493,14.797031,18.038033,22.089466
168,22.729216,36.80172,38.166588,13.128383,31.773157,28.137745,13.342381,16.91699,21.309439
169,20.805141,32.05838,41.490543,13.189846,29.59791,15.736511,13.902141,13.367371,20.679426
170,18.469408,30.974976,39.98328,12.851578,28.774878,14.746933,13.844191,13.830269,20.812212
171,15.729479,30.615902,40.1983,12.828418,28.441647,14.386911,14.423893,14.058549,20.947586
172,19.246391,31.017376,40.76186,13.0509405,28.876123,14.757069,14.585342,15.339552,21.239403
173,22.862474,31.853968,41.909714,13.4656515,28.126,17.427801,16.455252,17.630219,22.44214
174,25.381147,42.136288,59.31682,14.162947,30.389408,21.29934,17.995275,18.372965,23.538218
175,31.923042,54.965763,89.2787,15.857039,33.91847,27.243946,22.476753,19.127151,23.367188
176,29.367899,54.248848,106.27519,16.939108,44.7325,33.72032,23.652803,16.683952,24.968424
177,27.743608,51.56466,84.80067,15.746148,38.97169,36.650063,21.527042,17.867653,24.739725
178,27.353247,51.417786,72.72145,14.583284,31.955898,37.70356,19.95703,16.471876,22.323547
179,26.430403,50.725327,50.09564,14.016854,29.806553,27.605509,17.887562,14.8509445,21.776999
180,25.787663,50.342987,31.93663,13.603486,27.085648,26.881685,17.017233,14.019151,22.22825
181,25.863558,49.882835,32.83925,13.149907,25.411003,23.644247,16.962538,14.364404,22.428343
182,26.637835,49.768555,28.813053,12.726458,21.394255,23.363785,17.705276,13.938589,22.10403
183,28.289974,49.279686,31.55562,12.751122,20.556797,22.078302,18.381765,13.073725,22.495893
184,27.749125,49.035637,33.893864,12.251983,20.312807,22.678219,18.403336,12.983745,21.221298
185,28.951254,50.209167,37.497337,12.346662,21.275436,23.60631,19.375124,13.971182,22.509127
186,29.076166,51.92605,53.277897,14.080344,26.046951,29.655094,23.560616,16.594137,24.151857
187,32.42968,58.244568,72.41295,14.805864,29.940535,37.95596,27.814383,16.441338,30.289717
188,26.678202,51.660973,64.65784,14.689208,27.881254,37.741035,21.809938,16.620207,25.072222
189,26.152687,50.45692,67.28,14.346461,27.69989,32.264694,21.431202,17.007013,23.660261
190,25.498816,47.874702,49.74491,14.085276,25.351196,28.943592,20.762606,15.937803,23.20249
191,24.57875,42.053955,36.569122,13.575332,22.478199,26.613672,18.96816,13.001064,21.873003
192,21.86272,33.00187,29.79772,13.2795725,21.303936,19.708994,17.025957,11.030233,21.322853
193,18.678728,28.206257,29.85543,13.061734,17.416716,18.215422,16.685255,8.456732,20.43836
194,18.783993,27.909973,28.692076,12.310156,17.28057,19.022501,16.089664,8.3456545,20.676626
195,18.936954,27.973341,24.996588,11.402994,17.362825,17.952234,16.885117,8.109503,20.800093
196,19.28744,28.724419,23.545832,9.677085,17.42841,17.510077,17.860907,8.088745,20.943026
197,19.964586,32.016396,26.215992,10.523129,18.79348,19.882612,20.233335,7.9322214,22.281729
198,22.01658,43.041656,36.230927,13.5252285,22.592503,22.17068,22.644064,7.1789465,23.113226
199,27.046171,49.740166,56.057796,15.446133,29.63985,24.545038,23.627478,14.316471,29.85579
200,28.067575,54.814316,49.81043,15.430635,30.728952,29.11659,32.372868,13.8683815,35.97763
201,26.96027,50.608894,41.733566,13.7569275,25.372297,32.646805,29.11931,14.531811,39.47115
202,26.437094,49.529556,39.71626,13.464259,25.469427,32.212,24.401495,14.747784,28.33605
203,25.71109,49.32096,38.87786,13.4903,22.204006,30.238441,21.334274,15.606134,21.486467
204,25.564665,49.64019,38.49975,12.732039,20.313105,23.302153,20.236305,15.9888115,19.023914
205,24.463764,48.811752,37.099915,12.812402,17.751827,21.243332,19.668013,15.869591,19.17354
206,24.783886,48.29461,36.338264,13.154188,15.91744,21.287659,19.637716,14.528017,18.171125
207,24.745758,47.10051,35.583664,12.88572,15.352813,20.811338,19.463488,14.630125,18.03984
208,25.455849,46.794434,35.611034,13.353148,15.629335,20.145895,20.244253,16.455662,17.621267
209,25.920576,47.301117,41.49354,14.86138,15.655943,21.59325,19.918228,16.527761,17.962757
210,29.28653,50.47423,57.130653,18.209187,17.125454,25.003326,20.989355,16.241581,19.430002
211,32.877113,50.92437,66.309296,21.00813,19.404015,25.183392,35.03436,11.924716,21.830317
212,33.57792,48.22516,57.818893,20.636593,19.09264,23.17578,24.163439,16.389023,21.096344
213,33.693592,45.743378,61.629135,19.80465,17.59548,21.091843,22.527176,15.947294,21.47418
214,29.275766,39.902008,40.689743,19.738773,16.173655,19.596022,22.69058,15.924065,20.09028
215,27.238451,32.80229,32.26553,19.219612,13.505324,17.791975,24.817778,12.946135,18.159323
216,25.577936,31.516823,33.02375,18.885082,9.359356,15.531736,22.540745,9.943451,17.045706
217,21.40485,25.281422,30.855522,19.261852,8.393265,14.029671,19.65986,9.662886,16.321482
218,20.668127,24.993788,31.812725,18.845943,8.611511,12.93379,17.607138,9.460936,16.359987
219,20.00508,24.762201,36.83394,17.502457,7.8091483,12.407756,18.792398,7.936766,15.582554
220,19.859629,24.677296,39.48044,18.902874,8.950932,12.696051,21.572783,8.402297,16.054234
221,20.697695,25.602844,43.933502,19.844332,10.10409,14.258654,25.594057,14.166511,15.717486
222,24.430727,28.626125,51.206486,19.967289,11.134977,18.312021,28.553854,15.887297,18.515245
223,28.807936,38.02979,53.016464,21.566746,19.6405,21.400919,34.60327,14.507229,19.917168
224,30.917997,40.390457,47.884018,22.870235,20.097387,22.364359,34.30364,15.750232,22.991575
225,27.551939,39.106518,56.5733,29.302942,20.431026,21.76011,26.969395,16.824831,24.937725
226,25.437632,39.466965,58.100876,25.91503,22.233986,21.577559,23.412558,13.128698,23.336155
227,24.775066,40.209335,52.04535,18.879663,22.997002,19.937449,21.620916,12.616596,23.57674
228,23.718277,39.118095,51.775978,17.47408,22.440758,18.765747,21.463861,13.982883,23.777021
229,23.15434,36.87091,36.00151,16.192293,22.54932,17.901299,21.39429,13.708726,23.679564
230,23.260626,36.07032,29.192331,14.501095,23.697186,17.114813,21.244339,17.128605,24.224558
