2013Pearson daily,2013Spearman daily,2014Pearson daily,2014Spearman daily,2015Pearson daily,2015Spearman daily,2016Pearson daily,2016Spearman daily,2017Pearson daily,2017Spearman daily,2018Pearson daily,2018Spearman daily,2019Pearson daily,2019Spearman daily,2020Pearson daily,2020Spearman daily,2021Pearson daily,2021Spearman daily,Day
0.8617029548671308,0.8332246337437679,0.6888829244515418,0.707418031866669,0.8160460472736613,0.6686956521739129,0.9035672868893782,0.9580163014578138,0.5995467860664336,0.4596651554630285,0.8245463337338712,0.8495652173913043,0.8864931896707988,0.8121739130434782,0.19394896273368067,0.20608695652173914,0.8622399591742362,0.5817391304347826,1.0
0.6112570782487297,0.5860869565217391,0.6559911349107127,0.7568508762959434,0.8540024147857348,0.9243478260869564,0.8293431081965511,0.8621140441485977,0.7834185875496475,0.8580126317204876,0.40666861116318553,0.29739130434782607,0.8638117564018089,0.7834782608695651,0.7816099023146423,0.6484018418120866,0.693341415278911,0.7721739130434783,2.0
0.6934761740224257,0.797391304347826,0.7864901744982368,0.9017391304347826,0.6782445893881384,0.7165217391304347,0.6463160578916857,0.7208695652173912,0.9457684359452032,0.6410089301348194,-0.09334934337705988,0.054782608695652164,0.767872186275143,0.8721739130434782,0.5918776142493799,0.4452173913043478,0.8266333790063213,0.7782608695652173,3.0
0.6499294844848201,0.6904347826086955,0.8965013827022835,0.9278260869565217,0.7731810898425739,0.8739130434782607,0.6407542142600657,0.7834782608695651,0.666980480029467,0.9304347826086956,0.7404025209179224,0.6313043478260869,0.6334718299574704,0.5869565217391304,0.002666895899901073,-0.08956521739130434,0.6588583456698236,0.8173913043478259,4.0
0.7195673407969062,0.8208695652173912,0.8065772681234259,0.8443478260869565,0.7967147298982814,0.8460869565217389,0.8762978414538974,0.7539130434782607,0.7604703691030548,0.8539130434782608,0.7177478355079203,0.84,0.7859032592442748,0.6947826086956521,0.7173406227485044,0.7739130434782608,0.8938413831458611,0.8025229119344919,5.0
0.8733234588542909,0.8554033687755697,0.8106387882195154,0.8539130434782608,0.7557274139762347,0.6599999999999999,0.8699836575316048,0.9556521739130434,0.7750262859925025,0.8999999999999999,0.9607986026093751,0.9384649058554546,0.766583673089867,0.7736464631681436,0.11068640670610036,0.4252173913043478,0.9256649438080686,0.885409892642125,6.0
0.9236970312151853,0.8765217391304346,0.7680567799426514,0.8353990195311994,0.7921338509783619,0.7784301119004929,0.5955381833209246,0.608695652173913,0.9135521106738126,0.9206349423985161,0.8563276084084459,0.7304347826086957,0.9011851311160748,0.8945423129493375,0.5609696321385369,0.5549032529525303,0.9010310537261567,0.9165217391304347,7.0
0.7829470471595773,0.7582608695652173,0.6399229282133414,0.8580126317204876,0.7904138498892886,0.7374376162447749,0.7807000555882548,0.7836486377903287,0.8401837816249771,0.7130434782608696,0.8793348192558422,0.9660869565217389,0.8454458775447098,0.937391304347826,0.7509026555035494,0.8052173913043478,0.5095815059406122,0.7118939068050878,8.0
0.8932780471450734,0.9286956521739129,0.7322908451295915,0.88,0.8747400473763622,0.9243478260869564,0.7604291134026666,0.7313043478260869,0.876768871348306,0.6843478260869565,0.7956103519257043,0.9339130434782608,0.7500146373756729,0.8458360713108709,0.7823618504226515,0.6982608695652174,0.9236558238148183,0.8208695652173912,9.0
0.8179571925967143,0.9130434782608695,0.8640571984241574,0.8504347826086956,0.7445475473187934,0.8071320042945894,0.8042232800459779,0.677391304347826,0.9171647238503284,0.9539130434782607,0.7920734454889742,0.9034782608695651,0.8466140182496835,0.8417391304347825,0.6262815613294038,0.4860869565217391,0.8703032737662535,0.7747826086956522,10.0
