Resource,biomass,conventional_hydroelectric,conventional_steam_coal,conventional_steam_coal_5,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,conventional_steam_coal_6,conventional_steam_coal_4,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,small_hydroelectric,solar_photovoltaic,Battery,Total
t10,62.1,12.4488,0,0,0,3168,0,0,84.76,0,0,2800.736259,0,0,1885.572,0,528.4523455,7250.4,0,0,0,0,3321.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,2520,2460,14014.69513,0,479.6051028,0,38993.08379
t11,62.1,12.402,0,0,0,3168,0,0,84.76,0,0,3525.214536,0,0,1885.572,0,528.4523455,7250.4,0,0,0,0,3321.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,2520,2460,14268.51217,0,507.0814661,0,39998.80867
t12,62.1,12.3552,0,0,0,3168,0,0,84.76,0,0,3607.366937,0,0,1885.572,0,528.4523455,7250.4,0,0,0,0,3321.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,2520,2460,14449.90798,0,637.4732984,0,40392.70191
t13,62.1,12.3552,0,0,0,3168,0,0,84.76,0,0,3895.828883,0,0,1885.572,0,528.4523455,7250.4,0,0,0,0,3321.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,2507.929749,2448.217136,14124.88894,0,613.5515712,0,40308.36998
t14,62.1,12.3084,0,0,0,3168,0,0,84.76,0,0,4179.6,0,0,2525.103284,0,528.4523455,7250.4,0,0,0,0,3321.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,1945.905928,1899.574834,13900.98068,0,609.6397616,0,39893.13938
t15,62.1,12.2616,0,0,0,3168,0,0,84.76,0,0,4179.6,0,0,2010.595737,0,528.4523455,7250.4,0,0,0,0,3321.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,1945.766673,1899.438895,14027.98379,0,476.918065,0,39372.59126
t16,62.1,12.2616,0,0,0,3168,0,0,84.76,0,0,3955.002964,0,0,1885.572,0,528.4523455,7250.4,0,0,0,0,3321.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,1946.25303,1899.913672,14197.96257,0,309.0178832,0,39026.01022
t17,62.1,12.2148,0,0,0,3168,0,0,84.76,0,0,4179.6,0,0,2228.027605,0,528.4523455,7250.4,0,0,0,0,3321.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,1946.230078,1899.891267,13996.3476,0,160.5278424,0,39242.86569
t18,62.1,12.168,0,0,0,3168,0,0,84.76,0,0,4179.6,0,0,3220.231774,0,528.4523455,7250.4,0,0,0,0,3321.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,1946.260489,1899.920954,14601.29698,0,45.1572464,0,40724.66194
t19,62.1,12.168,0,0,0,3168,0,0,84.76,0,0,4179.6,0,0,3016.474431,0,528.4523455,7250.4,0,0,0,0,3321.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,1946.539935,1900.193746,15850.56903,0,0.003496125,0,41725.57513
