Delivery Date,Hour Ending,Price,Time_Index,Date,Year
07/28/2017,16:00,257.04,5007,2017-07-28 14:00:00,2017
07/28/2017,17:00,206.47,5008,2017-07-28 15:00:00,2017
07/28/2017,15:00,154.05,5006,2017-07-28 13:00:00,2017
07/29/2017,16:00,97.8,5031,2017-07-29 14:00:00,2017
10/09/2017,16:00,97.54,6759,2017-10-09 14:00:00,2017
01/07/2017,09:00,96.28,153,2017-01-07 08:00:00,2017
08/11/2017,16:00,88.75,5343,2017-08-11 14:00:00,2017
10/09/2017,17:00,85.46,6760,2017-10-09 15:00:00,2017
07/29/2017,17:00,85.3,5032,2017-07-29 15:00:00,2017
08/18/2017,16:00,84.09,5511,2017-08-18 14:00:00,2017
11/06/2017,16:00,83.65,7432,2017-11-06 15:00:00,2017
06/23/2017,16:00,82.18,4167,2017-06-23 14:00:00,2017
10/09/2017,15:00,81.79,6758,2017-10-09 13:00:00,2017
10/12/2017,17:00,81.63,6832,2017-10-12 15:00:00,2017
04/03/2017,17:00,81.08,2224,2017-04-03 15:00:00,2017
06/15/2017,16:00,80.51,3975,2017-06-15 14:00:00,2017
07/20/2017,16:00,80.41,4815,2017-07-20 14:00:00,2017
07/28/2017,14:00,80.01,5005,2017-07-28 12:00:00,2017
06/16/2017,16:00,80.0,3999,2017-06-16 14:00:00,2017
06/16/2017,17:00,79.65,4000,2017-06-16 15:00:00,2017
06/15/2017,17:00,79.54,3976,2017-06-15 15:00:00,2017
06/19/2017,16:00,78.85,4071,2017-06-19 14:00:00,2017
03/27/2017,17:00,78.44,2056,2017-03-27 15:00:00,2017
06/18/2017,17:00,78.0,4048,2017-06-18 15:00:00,2017
07/29/2017,15:00,77.47,5030,2017-07-29 13:00:00,2017
10/13/2017,16:00,77.44,6855,2017-10-13 14:00:00,2017
07/14/2017,16:00,77.05,4671,2017-07-14 14:00:00,2017
07/07/2017,16:00,76.62,4503,2017-07-07 14:00:00,2017
07/27/2017,16:00,76.33,4983,2017-07-27 14:00:00,2017
10/12/2017,16:00,75.08,6831,2017-10-12 14:00:00,2017
01/07/2017,10:00,74.91,154,2017-01-07 09:00:00,2017
07/02/2017,17:00,74.54,4384,2017-07-02 15:00:00,2017
06/20/2017,16:00,74.43,4095,2017-06-20 14:00:00,2017
06/19/2017,17:00,74.09,4072,2017-06-19 15:00:00,2017
07/01/2017,17:00,73.89,4360,2017-07-01 15:00:00,2017
07/06/2017,17:00,73.77,4480,2017-07-06 15:00:00,2017
10/13/2017,17:00,73.63,6856,2017-10-13 15:00:00,2017
07/31/2017,17:00,73.6,5080,2017-07-31 15:00:00,2017
11/06/2017,15:00,72.5,7431,2017-11-06 14:00:00,2017
07/08/2017,16:00,72.4,4527,2017-07-08 14:00:00,2017
11/06/2017,17:00,72.31,7433,2017-11-06 16:00:00,2017
08/31/2017,17:00,71.79,5824,2017-08-31 15:00:00,2017
07/31/2017,16:00,71.02,5079,2017-07-31 14:00:00,2017
07/30/2017,17:00,70.86,5056,2017-07-30 15:00:00,2017
07/05/2017,17:00,70.42,4456,2017-07-05 15:00:00,2017
07/23/2017,16:00,70.35,4887,2017-07-23 14:00:00,2017
07/07/2017,17:00,69.43,4504,2017-07-07 15:00:00,2017
08/18/2017,17:00,69.28,5512,2017-08-18 15:00:00,2017
08/11/2017,17:00,69.03,5344,2017-08-11 15:00:00,2017
06/18/2017,16:00,68.76,4047,2017-06-18 14:00:00,2017
07/05/2017,16:00,68.27,4455,2017-07-05 14:00:00,2017
10/07/2017,17:00,68.13,6712,2017-10-07 15:00:00,2017
07/19/2017,16:00,68.07,4791,2017-07-19 14:00:00,2017
08/19/2017,17:00,67.98,5536,2017-08-19 15:00:00,2017
08/17/2017,16:00,67.95,5487,2017-08-17 14:00:00,2017
10/14/2017,16:00,67.9,6879,2017-10-14 14:00:00,2017
08/19/2017,16:00,67.56,5535,2017-08-19 14:00:00,2017
10/08/2017,17:00,67.47,6736,2017-10-08 15:00:00,2017
07/08/2017,17:00,67.29,4528,2017-07-08 15:00:00,2017
10/05/2017,16:00,67.28,6663,2017-10-05 14:00:00,2017
07/27/2017,17:00,67.21,4984,2017-07-27 15:00:00,2017
04/03/2017,18:00,67.02,2225,2017-04-03 16:00:00,2017
06/23/2017,15:00,66.91,4166,2017-06-23 13:00:00,2017
07/21/2017,16:00,66.56,4839,2017-07-21 14:00:00,2017
07/24/2017,16:00,66.56,4911,2017-07-24 14:00:00,2017
10/04/2017,16:00,66.3,6639,2017-10-04 14:00:00,2017
10/07/2017,16:00,66.24,6711,2017-10-07 14:00:00,2017
08/22/2017,16:00,66.09,5607,2017-08-22 14:00:00,2017
07/09/2017,16:00,66.05,4551,2017-07-09 14:00:00,2017
07/30/2017,16:00,65.75,5055,2017-07-30 14:00:00,2017
06/17/2017,17:00,65.4,4024,2017-06-17 15:00:00,2017
05/26/2017,16:00,65.3,3495,2017-05-26 14:00:00,2017
07/06/2017,16:00,65.3,4479,2017-07-06 14:00:00,2017
07/22/2017,16:00,65.1,4863,2017-07-22 14:00:00,2017
03/21/2017,17:00,64.97,1912,2017-03-21 15:00:00,2017
08/03/2017,17:00,64.89,5152,2017-08-03 15:00:00,2017
10/08/2017,16:00,64.87,6735,2017-10-08 14:00:00,2017
07/15/2017,16:00,64.85,4695,2017-07-15 14:00:00,2017
07/22/2017,17:00,64.84,4864,2017-07-22 15:00:00,2017
10/09/2017,14:00,64.19,6757,2017-10-09 12:00:00,2017
07/10/2017,16:00,64.04,4575,2017-07-10 14:00:00,2017
03/27/2017,16:00,63.75,2055,2017-03-27 14:00:00,2017
06/17/2017,16:00,63.69,4023,2017-06-17 14:00:00,2017
10/06/2017,16:00,63.58,6687,2017-10-06 14:00:00,2017
07/01/2017,16:00,63.49,4359,2017-07-01 14:00:00,2017
08/04/2017,16:00,63.31,5175,2017-08-04 14:00:00,2017
07/31/2017,15:00,63.17,5078,2017-07-31 13:00:00,2017
06/07/2017,17:00,62.88,3784,2017-06-07 15:00:00,2017
08/31/2017,16:00,62.42,5823,2017-08-31 14:00:00,2017
06/23/2017,17:00,62.39,4168,2017-06-23 15:00:00,2017
07/20/2017,15:00,62.31,4814,2017-07-20 13:00:00,2017
07/20/2017,17:00,62.06,4816,2017-07-20 15:00:00,2017
07/13/2017,16:00,61.99,4647,2017-07-13 14:00:00,2017
05/26/2017,17:00,61.74,3496,2017-05-26 15:00:00,2017
07/24/2017,15:00,61.56,4910,2017-07-24 13:00:00,2017
08/11/2017,15:00,61.25,5342,2017-08-11 13:00:00,2017
07/14/2017,17:00,60.83,4672,2017-07-14 15:00:00,2017
11/03/2017,16:00,60.8,7359,2017-11-03 14:00:00,2017
07/14/2017,15:00,60.63,4670,2017-07-14 13:00:00,2017
11/06/2017,14:00,60.52,7430,2017-11-06 13:00:00,2017
06/20/2017,17:00,60.5,4096,2017-06-20 15:00:00,2017
06/14/2017,17:00,60.47,3952,2017-06-14 15:00:00,2017
07/19/2017,17:00,60.46,4792,2017-07-19 15:00:00,2017
07/10/2017,17:00,60.41,4576,2017-07-10 15:00:00,2017
07/23/2017,17:00,60.31,4888,2017-07-23 15:00:00,2017
08/13/2017,17:00,60.11,5392,2017-08-13 15:00:00,2017
03/25/2017,17:00,60.1,2008,2017-03-25 15:00:00,2017
07/27/2017,15:00,59.99,4982,2017-07-27 13:00:00,2017
06/08/2017,17:00,59.94,3808,2017-06-08 15:00:00,2017
07/15/2017,17:00,59.9,4696,2017-07-15 15:00:00,2017
08/18/2017,15:00,59.64,5510,2017-08-18 13:00:00,2017
07/18/2017,16:00,59.57,4767,2017-07-18 14:00:00,2017
07/28/2017,18:00,59.55,5009,2017-07-28 16:00:00,2017
07/19/2017,15:00,59.31,4790,2017-07-19 13:00:00,2017
07/25/2017,16:00,59.11,4935,2017-07-25 14:00:00,2017
08/06/2017,17:00,59.07,5224,2017-08-06 15:00:00,2017
07/02/2017,16:00,59.03,4383,2017-07-02 14:00:00,2017
09/01/2017,17:00,59.02,5848,2017-09-01 15:00:00,2017
08/12/2017,16:00,59.02,5367,2017-08-12 14:00:00,2017
08/16/2017,16:00,58.87,5463,2017-08-16 14:00:00,2017
07/18/2017,17:00,58.71,4768,2017-07-18 15:00:00,2017
04/28/2017,17:00,58.69,2824,2017-04-28 15:00:00,2017
04/03/2017,16:00,58.64,2223,2017-04-03 14:00:00,2017
08/20/2017,16:00,58.48,5559,2017-08-20 14:00:00,2017
05/27/2017,16:00,58.47,3519,2017-05-27 14:00:00,2017
07/09/2017,17:00,58.28,4552,2017-07-09 15:00:00,2017
11/05/2017,16:00,58.21,7408,2017-11-05 15:00:00,2017
08/20/2017,17:00,58.02,5560,2017-08-20 15:00:00,2017
09/05/2017,16:00,57.87,5943,2017-09-05 14:00:00,2017
03/27/2017,15:00,57.81,2054,2017-03-27 13:00:00,2017
06/16/2017,15:00,57.54,3998,2017-06-16 13:00:00,2017
07/03/2017,17:00,57.54,4408,2017-07-03 15:00:00,2017
08/10/2017,16:00,57.53,5319,2017-08-10 14:00:00,2017
08/14/2017,16:00,57.44,5415,2017-08-14 14:00:00,2017
07/16/2017,17:00,57.19,4720,2017-07-16 15:00:00,2017
07/29/2017,14:00,57.15,5029,2017-07-29 12:00:00,2017
06/14/2017,16:00,56.96,3951,2017-06-14 14:00:00,2017
10/12/2017,15:00,56.91,6830,2017-10-12 13:00:00,2017
06/22/2017,16:00,56.85,4143,2017-06-22 14:00:00,2017
07/30/2017,15:00,56.79,5054,2017-07-30 13:00:00,2017
07/13/2017,17:00,56.65,4648,2017-07-13 15:00:00,2017
04/20/2017,17:00,56.65,2632,2017-04-20 15:00:00,2017
10/09/2017,18:00,56.65,6761,2017-10-09 16:00:00,2017
07/08/2017,15:00,56.64,4526,2017-07-08 13:00:00,2017
06/21/2017,16:00,56.57,4119,2017-06-21 14:00:00,2017
06/15/2017,15:00,56.35,3974,2017-06-15 13:00:00,2017
11/03/2017,17:00,56.1,7360,2017-11-03 15:00:00,2017
07/15/2017,15:00,56.1,4694,2017-07-15 13:00:00,2017
07/21/2017,15:00,56.09,4838,2017-07-21 13:00:00,2017
06/22/2017,17:00,55.79,4144,2017-06-22 15:00:00,2017
07/25/2017,17:00,55.72,4936,2017-07-25 15:00:00,2017
12/08/2017,07:00,55.67,8191,2017-12-08 06:00:00,2017
07/24/2017,17:00,55.66,4912,2017-07-24 15:00:00,2017
06/19/2017,15:00,55.63,4070,2017-06-19 13:00:00,2017
08/12/2017,17:00,55.63,5368,2017-08-12 15:00:00,2017
07/16/2017,16:00,55.5,4719,2017-07-16 14:00:00,2017
04/28/2017,16:00,55.47,2823,2017-04-28 14:00:00,2017
08/06/2017,16:00,55.41,5223,2017-08-06 14:00:00,2017
03/27/2017,18:00,55.36,2057,2017-03-27 16:00:00,2017
08/23/2017,16:00,55.3,5631,2017-08-23 14:00:00,2017
07/13/2017,15:00,55.29,4646,2017-07-13 13:00:00,2017
01/06/2017,18:00,55.26,138,2017-01-06 17:00:00,2017
07/03/2017,16:00,55.07,4407,2017-07-03 14:00:00,2017
07/07/2017,15:00,54.86,4502,2017-07-07 13:00:00,2017
10/04/2017,17:00,54.84,6640,2017-10-04 15:00:00,2017
