Resource,biomass,conventional_hydroelectric,conventional_steam_coal,conventional_steam_coal_5,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,conventional_steam_coal_6,conventional_steam_coal_4,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,small_hydroelectric,solar_photovoltaic,Battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,518703.4746,377931.1962,1.19E+07,1.29E+07,1.47E+06,2.78E+07,1.36E+07,1.84E+07,4.06E+06,114375.0981,1.47E+06,3.10E+07,1.55E+06,4581.093586,2.32E+07,88518.93656,3.54E+06,4.76E+07,1.63E+06,71419.6376,951839.1545,1.71E+06,3.77E+07,1.53E+06,0,1.51E+06,0,0,4811.625,0,501.0159067,134567.1902,2.7,0,33982.27041,0,0,0,44501.87556,0,579710.9147,137834.4613,0,1.01E+06,10199.40373,8280.676556,3.25E+06,146172.2556,580247.4888,878178.0978,42337.1725,112035.115,3519.944,2.04E+06,2.17E+06,151982.6023,24925.57405,14476.72971,2.10E+07,2.05E+07,5.27E+07,0,836515.7218,645638.0894,3.52E+08
t1,62.1,12.7296,1963.264974,748.4078003,0,3168,2139.141704,2567.478376,586.8,0,0,2122.308,0,0,1885.572,0,0,6030,0,0,0,0,2997.795106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.627,0,0,0,0,0,0,0,0,2520,2460,4539.804429,0,0,0,33840.02899
t2,62.1,12.6828,975.3388281,263.6436569,0,3168,2533.5,3256.2,586.8,0,0,2122.308,0,0,1885.572,0,0,5981.281886,0,0,0,0,2997.795106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.627,0,0,0,0,0,0,0,0,2520,2460,4559.565864,0,0,0,33421.41514
t3,62.1,12.636,975.3388281,263.6436569,0,3168,2533.5,3256.2,586.8,0,0,2122.308,0,0,1885.572,0,0,5647.341509,0,0,0,0,2997.795106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.627,0,0,0,0,0,0,0,0,2520,2460,4558.56792,0,0,0,33086.43002
t4,62.1,12.636,975.3388281,263.6436569,0,3168,2533.5,3256.2,586.8,0,0,2122.308,0,0,1885.572,0,0,5488.536443,0,0,0,0,2997.795106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.627,0,0,0,0,0,0,0,0,2520,2460,4672.114577,0,0,0,33041.17161
t5,62.1,12.5892,975.3388281,263.6436569,0,3168,2533.5,3256.2,586.8,0,0,2122.308,0,0,1885.572,0,0,5849.560315,0,0,0,0,2997.795106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.627,0,0,0,0,0,0,0,0,2520,2460,4699.275765,0,0,0,33429.30987
t6,62.1,12.5424,975.3388281,1194.477127,0,3168,2533.5,3256.2,586.8,0,0,2122.308,0,0,1885.572,0,0,6030,0,0,0,0,2997.795106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.627,0,0,0,0,0,0,0,0,2520,2460,4546.60299,0,0,0,34387.86345
t7,62.1,12.5424,975.3388281,2235.167237,0,3168,2533.5,3256.2,586.8,0,0,2122.308,0,0,1885.572,0,0,6030,0,0,0,0,2997.795106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.627,0,0,0,0,0,0,0,0,2520,2460,4501.25397,0,0,0,35383.20454
t8,62.1,12.4956,1193.415148,3024.9,0,3168,2533.5,3256.2,586.8,0,0,2122.308,0,0,1885.572,0,0,6030,0,0,0,0,2997.795106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.627,0,0,0,0,0,0,0,0,2520,2460,4192.046606,0,0.05659061,0,36081.81605
