Zone,Price,Date,Year
t5439,9000000.0,2020-08-14 14:00:00,2020
t5463,9000000.0,2020-08-15 14:00:00,2020
t5440,9000000.0,2020-08-14 15:00:00,2020
t5438,9000000.0,2020-08-14 13:00:00,2020
t5775,180.1303889,2020-08-28 14:00:00,2020
t5800,180.1303889,2020-08-29 15:00:00,2020
t5847,177.8004707,2020-08-31 14:00:00,2020
t5487,176.4016956,2020-08-16 14:00:00,2020
t5704,175.5127242,2020-08-25 15:00:00,2020
t5752,175.2764244,2020-08-27 15:00:00,2020
t5535,172.027942,2020-08-18 14:00:00,2020
t5176,165.3537756,2020-08-03 15:00:00,2020
t8432,155.6919778,2020-12-17 07:00:00,2020
t5559,147.8656449,2020-08-19 14:00:00,2020
t5391,146.8133321,2020-08-12 14:00:00,2020
t7279,144.3046013,2020-10-30 06:00:00,2020
t1064,143.1109311,2020-02-14 07:00:00,2020
t7219,141.7226212,2020-10-27 18:00:00,2020
t8624,140.1382183,2020-12-25 07:00:00,2020
t8192,138.7619344,2020-12-07 07:00:00,2020
t4743,136.8833837,2020-07-16 14:00:00,2020
t4432,136.0330612,2020-07-03 15:00:00,2020
t1232,134.3425261,2020-02-21 07:00:00,2020
t560,133.6537509,2020-01-24 07:00:00,2020
t5415,133.554141,2020-08-13 14:00:00,2020
t6496,133.271802,2020-09-27 15:00:00,2020
t7698,130.6587798,2020-11-16 17:00:00,2020
t6231,130.5755042,2020-09-16 14:00:00,2020
t4649,129.3374591,2020-07-12 16:00:00,2020
t706,127.9394376,2020-01-30 09:00:00,2020
t7023,127.6182029,2020-10-19 14:00:00,2020
t2369,127.4408445,2020-04-08 16:00:00,2020
t860,127.0920566,2020-02-05 19:00:00,2020
t4480,126.5844854,2020-07-05 15:00:00,2020
t4838,126.5023034,2020-07-20 13:00:00,2020
t7914,126.3852701,2020-11-25 17:00:00,2020
t6569,126.0821824,2020-09-30 16:00:00,2020
t5008,125.4889983,2020-07-27 15:00:00,2020
t128,124.5189971,2020-01-06 07:00:00,2020
t3423,124.1893031,2020-05-22 14:00:00,2020
t5608,123.7210724,2020-08-21 15:00:00,2020
t7602,123.5620614,2020-11-12 17:00:00,2020
t2011,122.833852,2020-03-24 18:00:00,2020
t7434,122.7042646,2020-11-05 17:00:00,2020
t5728,122.0028299,2020-08-26 15:00:00,2020
t3830,121.4957838,2020-06-08 13:00:00,2020
t4071,121.306306,2020-06-18 14:00:00,2020
t283,121.2957125,2020-01-12 18:00:00,2020
