Delivery Date,Hour Ending,Price,Time_Index,Date,Year
01/16/2018,20:00,124.71,380,2018-01-16 19:00:00,2018
07/27/2018,16:00,122.19,4983,2018-07-27 14:00:00,2018
05/29/2018,15:00,121.0,3566,2018-05-29 13:00:00,2018
01/02/2018,09:00,120.64,33,2018-01-02 08:00:00,2018
07/23/2018,19:00,120.34,4890,2018-07-23 17:00:00,2018
07/23/2018,14:00,120.17,4885,2018-07-23 12:00:00,2018
05/18/2018,17:00,118.46,3304,2018-05-18 15:00:00,2018
07/03/2018,16:00,118.18,4407,2018-07-03 14:00:00,2018
12/10/2018,07:00,117.74,8239,2018-12-10 06:00:00,2018
07/25/2018,19:00,116.76,4938,2018-07-25 17:00:00,2018
08/21/2018,16:00,115.82,5583,2018-08-21 14:00:00,2018
07/21/2018,14:00,114.37,4837,2018-07-21 12:00:00,2018
06/27/2018,17:00,114.07,4264,2018-06-27 15:00:00,2018
05/18/2018,16:00,111.65,3303,2018-05-18 14:00:00,2018
07/16/2018,16:00,110.93,4719,2018-07-16 14:00:00,2018
05/25/2018,15:00,110.27,3470,2018-05-25 13:00:00,2018
05/24/2018,16:00,109.21,3447,2018-05-24 14:00:00,2018
08/22/2018,17:00,109.1,5608,2018-08-22 15:00:00,2018
01/03/2018,07:00,108.69,55,2018-01-03 06:00:00,2018
05/15/2018,17:00,108.45,3232,2018-05-15 15:00:00,2018
07/17/2018,14:00,108.24,4741,2018-07-17 12:00:00,2018
01/17/2018,05:00,108.23,389,2018-01-17 04:00:00,2018
11/14/2018,07:00,108.07,7615,2018-11-14 06:00:00,2018
07/15/2018,17:00,107.56,4696,2018-07-15 15:00:00,2018
05/30/2018,15:00,107.42,3590,2018-05-30 13:00:00,2018
11/15/2018,07:00,106.65,7639,2018-11-15 06:00:00,2018
07/26/2018,19:00,106.47,4962,2018-07-26 17:00:00,2018
01/18/2018,06:00,106.29,414,2018-01-18 05:00:00,2018
11/14/2018,08:00,106.2,7616,2018-11-14 07:00:00,2018
