Year,KS Statistic,P-value
2012,0.3421232876712329,0.0
2013,0.413013698630137,0.0
2014,0.2802511415525114,3.001450840312674e-303
2015,0.2850456621004566,7.5539524616e-314
2016,0.23230593607305935,1.3058824537369938e-207
2017,0.5141552511415525,0.0
2018,0.35924657534246573,0.0
2019,0.37945205479452054,0.0
2020,0.258675799086758,6.799813341020406e-258
2021,0.21689497716894976,8.094636461080742e-181
