Year,Pearson annual,Spearman annual
2013,0.2913422265883766,0.5441043393061206
2014,0.453537979242459,0.8099357285247503
2015,0.4732751469669564,0.6806301022180339
2016,0.7602531137381409,0.7732894831537711
2017,0.6044294002203467,0.8741863684111063
2018,0.3063824387317775,0.7432689976303282
2019,0.5441492306440336,0.4986370925786516
2020,0.5877111698110258,0.8017238269234483
2021,0.3080399009291377,0.8176406292144628
