Day,2012Pearson daily,2013Pearson daily,2014Pearson daily,2015Pearson daily,2016Pearson daily,2017Pearson daily,2018Pearson daily,2019Pearson daily,2020Pearson daily,2021Pearson daily
16,,,,,,,0.7466211277118836,,,
16,,,,,,,,0.6171146611279841,,
16,,,,,,,,,0.685129510838185,
16,,,,,,,,,,0.8994675230509852
17,0.7910564968599086,,,,,,,,,
17,,0.5827911336331355,,,,,,,,
17,,,0.7168447418279301,,,,,,,
17,,,,0.5278427669218357,,,,,,
17,,,,,0.6139714222823957,,,,,
17,,,,,,0.8232299619499346,,,,
17,,,,,,,0.802104176734369,,,
17,,,,,,,,0.4621206712376773,,
17,,,,,,,,,0.3532113638181211,
17,,,,,,,,,,0.45468426216205987
18,0.7703399791504857,,,,,,,,,
18,,0.7420703828236622,,,,,,,,
18,,,0.8193929526971908,,,,,,,
18,,,,0.49871136649954273,,,,,,
18,,,,,0.7791930225849943,,,,,
18,,,,,,0.5715182254579758,,,,
18,,,,,,,0.7172193546141234,,,
18,,,,,,,,0.6750121440510893,,
18,,,,,,,,,0.8232618080334498,
18,,,,,,,,,,0.7741202253113129
19,0.7880009388815195,,,,,,,,,
19,,0.7804561684330096,,,,,,,,
19,,,0.7669865166293381,,,,,,,
19,,,,0.4156444384684853,,,,,,
19,,,,,0.8284709531998262,,,,,
19,,,,,,0.7512954309214736,,,,
19,,,,,,,0.7492307755286212,,,
19,,,,,,,,0.700957520587393,,
19,,,,,,,,,0.5276915549988959,
19,,,,,,,,,,0.412622556720768
20,0.7436723428319489,,,,,,,,,
20,,0.5368121966047401,,,,,,,,
20,,,0.5593994450218994,,,,,,,
20,,,,0.7903320921877035,,,,,,
20,,,,,0.6776546996868476,,,,,
20,,,,,,0.4837563570266276,,,,
20,,,,,,,0.8373846448398858,,,
20,,,,,,,,0.4748914159500323,,
20,,,,,,,,,0.4210792719664422,
20,,,,,,,,,,0.5376584279083317
21,0.7945020792362092,,,,,,,,,
21,,0.3680342004974204,,,,,,,,
21,,,0.5956071455211225,,,,,,,
21,,,,0.776033079557245,,,,,,
21,,,,,0.3676415705723573,,,,,
21,,,,,,0.825265887628094,,,,
21,,,,,,,0.6366938459610288,,,
21,,,,,,,,0.9240713271518277,,
21,,,,,,,,,0.7531493792467215,
21,,,,,,,,,,0.40644202478915603
22,0.8466157187186039,,,,,,,,,
22,,0.793996130826156,,,,,,,,
22,,,0.8106943876711217,,,,,,,
22,,,,0.4823390589451704,,,,,,
22,,,,,0.8233104026909205,,,,,
22,,,,,,0.8099331588836863,,,,
22,,,,,,,0.6484025852762364,,,
22,,,,,,,,0.5116732796610888,,
22,,,,,,,,,0.9034765540496492,
22,,,,,,,,,,0.9040657333059489
23,0.8567381035445552,,,,,,,,,
23,,0.6491138518262931,,,,,,,,
23,,,0.5235004655092594,,,,,,,
23,,,,0.869532689562802,,,,,,
23,,,,,0.30970056824345216,,,,,
23,,,,,,0.7542249022931751,,,,
23,,,,,,,0.6001219068502985,,,
23,,,,,,,,0.6355742328296311,,
23,,,,,,,,,0.6348453587991473,
23,,,,,,,,,,0.6814006630569581
24,0.7345713542863415,,,,,,,,,
24,,0.6210691738862297,,,,,,,,
24,,,0.8076001261625817,,,,,,,
24,,,,0.6816321938321115,,,,,,
24,,,,,0.7989038243352916,,,,,
24,,,,,,0.6598278776049316,,,,
24,,,,,,,0.7553832150292432,,,
24,,,,,,,,0.5192881979401839,,
24,,,,,,,,,0.3870633896640561,
24,,,,,,,,,,0.7696741697592331
25,0.5670210112271354,,,,,,,,,
25,,0.6803730645607345,,,,,,,,
25,,,0.7948274142003117,,,,,,,
25,,,,0.42495810101282877,,,,,,
25,,,,,0.5682029205114313,,,,,
25,,,,,,0.588436872662583,,,,
25,,,,,,,0.8329257188744643,,,
25,,,,,,,,0.8246914709442026,,
25,,,,,,,,,0.8617665842790336,
25,,,,,,,,,,0.19122987566137106
26,0.8021717096753666,,,,,,,,,
26,,0.5590441072613371,,,,,,,,
26,,,0.7001256219159957,,,,,,,
26,,,,0.5231728265763426,,,,,,
26,,,,,0.4819061505556864,,,,,
26,,,,,,0.6947228833950378,,,,
26,,,,,,,0.7517247567956147,,,
26,,,,,,,,0.6947532459796728,,
26,,,,,,,,,0.2633084442637511,
26,,,,,,,,,,0.710515914238975
27,0.6004323465427055,,,,,,,,,
27,,0.7907434329930069,,,,,,,,
27,,,0.40534082067812605,,,,,,,
27,,,,0.840612222939087,,,,,,
27,,,,,0.40685189824219037,,,,,
27,,,,,,0.678751524447911,,,,
27,,,,,,,0.9512573847024075,,,
