Day,2012Spearman daily,2013Spearman daily,2014Spearman daily,2015Spearman daily,2016Spearman daily,2017Spearman daily,2018Spearman daily,2019Spearman daily,2020Spearman daily,2021Spearman daily
7,,,,,,,,0.9215747967715581,,
7,,,,,,,,,0.7997584746155817,
7,,,,,,,,,,0.6978511826359994
8,0.7803366330185837,,,,,,,,,
8,,0.9308094746986121,,,,,,,,
8,,,0.8448279458211788,,,,,,,
8,,,,0.662863536612083,,,,,,
8,,,,,0.8317184867289882,,,,,
8,,,,,,0.7670356360443191,,,,
8,,,,,,,0.9170770766573993,,,
8,,,,,,,,0.8991082883078716,,
8,,,,,,,,,0.8256521420909925,
8,,,,,,,,,,0.6369811004404439
9,0.7533653251936319,,,,,,,,,
9,,0.6906709731172169,,,,,,,,
9,,,0.8441013270067881,,,,,,,
9,,,,0.879800323648677,,,,,,
9,,,,,0.813097918726065,,,,,
9,,,,,,0.9310042302080594,,,,
9,,,,,,,0.8811223936784419,,,
9,,,,,,,,0.7018245657850901,,
9,,,,,,,,,0.8347911296815972,
9,,,,,,,,,,0.7842869538213684
10,0.8028561889251502,,,,,,,,,
10,,0.8127474586718774,,,,,,,,
10,,,0.8265673493367174,,,,,,,
10,,,,0.825451708970258,,,,,,
10,,,,,0.8864330394344073,,,,,
10,,,,,,0.909790024423064,,,,
10,,,,,,,0.9372301106874932,,,
10,,,,,,,,0.8393925600640469,,
10,,,,,,,,,0.7590636397443801,
10,,,,,,,,,,0.8953658296584897
11,0.9171416054954237,,,,,,,,,
11,,0.8572594601639535,,,,,,,,
11,,,0.8205178187931088,,,,,,,
11,,,,0.6524325143163543,,,,,,
11,,,,,0.8342765581403586,,,,,
11,,,,,,0.8468391490773647,,,,
11,,,,,,,0.7402080196692382,,,
11,,,,,,,,0.9461981179852114,,
11,,,,,,,,,0.8717862446511363,
11,,,,,,,,,,0.9178054580521039
12,0.9093550404885437,,,,,,,,,
12,,0.7979903275076464,,,,,,,,
12,,,0.7297184755392503,,,,,,,
12,,,,0.9194264823950455,,,,,,
12,,,,,0.8848951165557369,,,,,
12,,,,,,0.6319730804223648,,,,
12,,,,,,,0.6781453345996062,,,
12,,,,,,,,0.7493344698606358,,
12,,,,,,,,,0.8537509818604304,
12,,,,,,,,,,0.7705263938039155
13,0.8399748488134091,,,,,,,,,
13,,0.8147716275024517,,,,,,,,
13,,,0.7363423861630243,,,,,,,
13,,,,0.8430229690527528,,,,,,
13,,,,,0.8665136223461605,,,,,
13,,,,,,0.8960348112774171,,,,
13,,,,,,,0.9159934786140326,,,
13,,,,,,,,0.8670275403093862,,
13,,,,,,,,,0.8894629486623769,
13,,,,,,,,,,0.8080434983243454
14,0.8060123763667182,,,,,,,,,
14,,0.793364475614028,,,,,,,,
14,,,0.8574505117705745,,,,,,,
14,,,,0.9018975587790709,,,,,,
14,,,,,0.8095234370737495,,,,,
14,,,,,,0.5284488814939335,,,,
14,,,,,,,0.8502920470645156,,,
14,,,,,,,,0.8749822987828217,,
14,,,,,,,,,0.9660628802104099,
14,,,,,,,,,,0.9035290923485697
15,0.8537692157052638,,,,,,,,,
15,,0.8437563072209057,,,,,,,,
15,,,0.8528707255624711,,,,,,,
15,,,,0.8724575496151006,,,,,,
15,,,,,0.8559361903561999,,,,,
15,,,,,,0.8541659329899416,,,,
15,,,,,,,0.7600185749783772,,,
15,,,,,,,,0.9053181785478068,,
15,,,,,,,,,0.8127409365812712,
15,,,,,,,,,,0.9125624725036444
16,0.802401389383005,,,,,,,,,
16,,0.863758239554493,,,,,,,,
16,,,0.7746451254467944,,,,,,,
16,,,,0.7357617108620715,,,,,,
16,,,,,0.8453804608747135,,,,,
16,,,,,,0.7107695954722311,,,,
16,,,,,,,0.9301121187482849,,,
16,,,,,,,,0.8454899175660937,,
16,,,,,,,,,0.7786885064176068,
16,,,,,,,,,,0.8324793381053348
17,0.933456127333104,,,,,,,,,
17,,0.583076833186918,,,,,,,,
17,,,0.7644604878373017,,,,,,,
17,,,,0.6650704974089127,,,,,,
17,,,,,0.8348728335628989,,,,,
17,,,,,,0.8678786310420197,,,,
17,,,,,,,0.8741909592228726,,,
17,,,,,,,,0.9449951223649716,,
17,,,,,,,,,0.6919932245390324,
17,,,,,,,,,,0.740988955017953
18,0.8401166694476623,,,,,,,,,
18,,0.8350959529817169,,,,,,,,
18,,,0.8054410734367528,,,,,,,
18,,,,0.8014201909610309,,,,,,
18,,,,,0.7598855831605924,,,,,
18,,,,,,0.9262689672623876,,,,
18,,,,,,,0.7649870914251428,,,
18,,,,,,,,0.9125875302169115,,
18,,,,,,,,,0.8138686178609429,
18,,,,,,,,,,0.8769108836279094
19,0.8176522154951767,,,,,,,,,
19,,0.7207942920358338,,,,,,,,
19,,,0.7969412529887107,,,,,,,
19,,,,0.7349532062352444,,,,,,
19,,,,,0.9668826304388098,,,,,
19,,,,,,0.5189137955277849,,,,
19,,,,,,,0.9043632895197953,,,
19,,,,,,,,0.6531972647421809,,
19,,,,,,,,,0.8478598879641235,
19,,,,,,,,,,0.6435980169256892
20,0.8979424108156795,,,,,,,,,
20,,0.6670827777710073,,,,,,,,
20,,,0.7318816923302928,,,,,,,
20,,,,0.8555645792727735,,,,,,
20,,,,,0.8016270603363582,,,,,
20,,,,,,0.8485409650486326,,,,
20,,,,,,,0.8700737803860472,,,
20,,,,,,,,0.670638179368197,,
20,,,,,,,,,0.7952473629908607,
20,,,,,,,,,,0.7940598335999745
21,0.9061176473921977,,,,,,,,,
21,,0.8412057144550439,,,,,,,,
21,,,0.7384549981445913,,,,,,,
21,,,,0.7823232376210005,,,,,,
21,,,,,0.8769231257743924,,,,,
21,,,,,,0.8641642043303289,,,,
21,,,,,,,0.8822510734035629,,,
21,,,,,,,,0.6562985158336228,,
21,,,,,,,,,0.8334630108187335,
21,,,,,,,,,,0.573707065958382
22,0.8836401625904621,,,,,,,,,
22,,0.8316501397641899,,,,,,,,
22,,,0.7396629496769602,,,,,,,
22,,,,0.9443461614627265,,,,,,
22,,,,,0.7594733915983498,,,,,
22,,,,,,0.8474201231468419,,,,
22,,,,,,,0.7376103618076304,,,
22,,,,,,,,0.9000812909212451,,
22,,,,,,,,,0.8380853282284995,
22,,,,,,,,,,0.7353932595944248
23,0.8079503635515227,,,,,,,,,
23,,0.708414527633917,,,,,,,,
23,,,0.7896659593114299,,,,,,,
23,,,,0.7517880071373124,,,,,,
23,,,,,0.754975348733811,,,,,
23,,,,,,0.5101375689973684,,,,
23,,,,,,,0.7392740553126905,,,
23,,,,,,,,0.6567333696638455,,
