Zone,Price,Date,Year
t8154,110.51662990848324,2019-12-06 17:00:00,2019
t548,109.80542859076536,2019-01-23 19:00:00,2019
t1305,108.55881226121107,2019-02-24 08:00:00,2019
t5872,107.9292685982444,2019-09-02 15:00:00,2019
t4913,106.81479357742622,2019-07-24 16:00:00,2019
t7640,106.2126673736233,2019-11-15 07:00:00,2019
t3208,105.92816724351034,2019-05-14 15:00:00,2019
t5655,105.92287778831115,2019-08-24 14:00:00,2019
t2420,102.42551417392907,2019-04-11 19:00:00,2019
t1402,101.45255559446367,2019-02-28 09:00:00,2019
t4719,101.3760664738742,2019-07-16 14:00:00,2019
t829,101.08966232553794,2019-02-04 12:00:00,2019
t7162,100.41820750690508,2019-10-26 09:00:00,2019
t3638,99.63571169096296,2019-06-01 13:00:00,2019
t3857,99.0880662428998,2019-06-10 16:00:00,2019
t5629,97.8583454201452,2019-08-23 12:00:00,2019
t1256,95.82367128103031,2019-02-22 07:00:00,2019
t5488,94.72679667528683,2019-08-17 15:00:00,2019
t4359,93.84584537872502,2019-07-01 14:00:00,2019
t6472,93.63318555504914,2019-09-27 15:00:00,2019
t7956,92.42490026172788,2019-11-28 11:00:00,2019
t3448,91.39696083644182,2019-05-24 15:00:00,2019
t5344,87.96460492020677,2019-08-11 15:00:00,2019
t5920,87.59047852950951,2019-09-04 15:00:00,2019
t6639,87.29972308864146,2019-10-04 14:00:00,2019
t2393,87.19197239678252,2019-04-10 16:00:00,2019
t3759,87.14854673793741,2019-06-06 14:00:00,2019
t4310,86.8135050751199,2019-06-29 13:00:00,2019
t4025,85.67360688051522,2019-06-17 16:00:00,2019
t704,85.23348624646249,2019-01-30 07:00:00,2019
t6112,85.05218646278594,2019-09-12 15:00:00,2019
t8627,84.13812903724364,2019-12-26 10:00:00,2019
t1627,83.57029393528336,2019-03-09 18:00:00,2019
t2369,82.7619060209798,2019-04-09 16:00:00,2019
t1027,82.36639833209146,2019-02-12 18:00:00,2019
t8529,81.06145786418779,2019-12-22 08:00:00,2019
t6353,80.43163251175943,2019-09-22 16:00:00,2019
t4095,78.29855569485505,2019-06-20 14:00:00,2019
t4480,76.53867789451583,2019-07-06 15:00:00,2019
t6687,76.16470200780832,2019-10-06 14:00:00,2019
t6015,76.05993933022437,2019-09-08 14:00:00,2019
t6041,72.94517358937651,2019-09-09 16:00:00,2019
t4456,69.79998939202538,2019-07-05 15:00:00,2019
t5797,69.10493744866109,2019-08-30 12:00:00,2019
t4503,67.34368706484346,2019-07-07 14:00:00,2019
t739,66.62144317705867,2019-01-31 18:00:00,2019
t5200,65.49634,2019-08-05 15:00:00,2019
t3976,64.5155638890999,2019-06-15 15:00:00,2019
t1596,63.28821227988871,2019-03-08 11:00:00,2019
t3592,61.58066108372099,2019-05-30 15:00:00,2019
t7098,60.42983561009192,2019-10-23 17:00:00,2019
t5030,60.02553723903447,2019-07-29 13:00:00,2019
t6878,59.445395364494814,2019-10-14 13:00:00,2019
t1520,58.328927906536194,2019-03-05 07:00:00,2019
t1532,57.777005909092544,2019-03-05 19:00:00,2019
t3928,57.71427397044464,2019-06-13 15:00:00,2019
t1987,56.355146469623406,2019-03-24 18:00:00,2019
t859,55.826491198445424,2019-02-05 18:00:00,2019
t2080,54.90213756278534,2019-03-28 15:00:00,2019
t7723,54.50889982278957,2019-11-18 18:00:00,2019
t4983,52.68231007379349,2019-07-27 14:00:00,2019
t1533,52.43342476128032,2019-03-05 20:00:00,2019
t6569,51.43009881318882,2019-10-01 16:00:00,2019
t1521,51.17750999999999,2019-03-05 08:00:00,2019
t1518,51.15469,2019-03-05 05:00:00,2019
t1522,51.15469,2019-03-05 09:00:00,2019
t4863,50.826223676113024,2019-07-22 14:00:00,2019
t6232,50.59525890813538,2019-09-17 15:00:00,2019
t4215,50.47159694118287,2019-06-25 14:00:00,2019
t3184,50.446112870989325,2019-05-13 15:00:00,2019
t6256,50.04466778447194,2019-09-18 15:00:00,2019
t1523,49.990190000000005,2019-03-05 10:00:00,2019
t1517,49.99019,2019-03-05 04:00:00,2019
t1534,49.87595523871969,2019-03-05 21:00:00,2019
t1531,49.87302274005613,2019-03-05 18:00:00,2019
t1543,49.81051570446594,2019-03-06 06:00:00,2019
t1516,49.12987,2019-03-05 03:00:00,2019
t1524,49.12987,2019-03-05 11:00:00,2019
t4743,48.81442741110838,2019-07-17 14:00:00,2019
t344,48.32678181314655,2019-01-15 07:00:00,2019
t7051,48.27554046427149,2019-10-21 18:00:00,2019
t6712,48.06335260199108,2019-10-07 15:00:00,2019
t1515,47.94824,2019-03-05 02:00:00,2019
t1513,47.94824,2019-03-05 00:00:00,2019
t7569,47.88324045795194,2019-11-12 08:00:00,2019
t104,47.78498633118153,2019-01-05 07:00:00,2019
t1509,47.59928935452031,2019-03-04 20:00:00,2019
t1508,47.59835736873322,2019-03-04 19:00:00,2019
t80,46.82190362435914,2019-01-04 07:00:00,2019
t1514,46.66401,2019-03-05 01:00:00,2019
t1525,46.66401,2019-03-05 12:00:00,2019
t1535,46.2024,2019-03-05 22:00:00,2019
t6184,46.06643315772723,2019-09-15 15:00:00,2019
t8421,45.42687444109128,2019-12-17 20:00:00,2019
t224,44.46420872852033,2019-01-10 07:00:00,2019
t3568,44.2959703757073,2019-05-29 15:00:00,2019
t4718,44.23458999999999,2019-07-16 13:00:00,2019
t3544,44.13931713004412,2019-05-28 15:00:00,2019
t4912,44.04627199999999,2019-07-24 15:00:00,2019
t5968,43.60174,2019-09-06 15:00:00,2019
t5969,43.60174,2019-09-06 16:00:00,2019
t5966,43.59918394672175,2019-09-06 13:00:00,2019
t6231,42.66819,2019-09-17 14:00:00,2019
t1785,42.54823098901439,2019-03-16 08:00:00,2019
t6352,42.35056,2019-09-22 15:00:00,2019
t4552,41.784755,2019-07-09 15:00:00,2019
t6640,41.78301999999999,2019-10-04 15:00:00,2019
t6136,41.72164,2019-09-13 15:00:00,2019
t44,41.539825576807154,2019-01-02 19:00:00,2019
t42,41.53820400000001,2019-01-02 17:00:00,2019
t38,41.5349610409704,2019-01-02 13:00:00,2019
t37,41.53415034174957,2019-01-02 12:00:00,2019
t36,41.53333965874274,2019-01-02 11:00:00,2019
t715,41.39675662654944,2019-01-30 18:00:00,2019
t464,41.322592,2019-01-20 07:00:00,2019
t2559,41.16450220945168,2019-04-17 14:00:00,2019
t5583,41.13051,2019-08-21 14:00:00,2019
t3162,41.0809913211692,2019-05-12 17:00:00,2019
t5970,41.01214,2019-09-06 17:00:00,2019
t6375,40.96108,2019-09-23 14:00:00,2019
t6471,40.94613999999999,2019-09-27 14:00:00,2019
t1507,40.819132,2019-03-04 18:00:00,2019
t6113,40.61204297707557,2019-09-12 16:00:00,2019
t5921,40.52975651872726,2019-09-04 16:00:00,2019
t4623,40.4679,2019-07-12 14:00:00,2019
t1530,40.36529912465457,2019-03-05 17:00:00,2019
t1526,40.36198999999999,2019-03-05 13:00:00,2019
t1510,40.314638,2019-03-04 21:00:00,2019
t45,40.24008000000002,2019-01-02 20:00:00,2019
t39,40.24008000000001,2019-01-02 14:00:00,2019
t6447,40.19128,2019-09-26 14:00:00,2019
t5654,39.97084,2019-08-24 13:00:00,2019
t4984,39.87668210830847,2019-07-27 15:00:00,2019
t4575,39.86718,2019-07-10 14:00:00,2019
t5416,39.76374,2019-08-14 15:00:00,2019
t355,39.75671064454534,2019-01-15 18:00:00,2019
t347,39.75051000489999,2019-01-15 10:00:00,2019
t346,39.7497349946999,2019-01-15 09:00:00,2019
t345,39.74896,2019-01-15 08:00:00,2019
t343,39.74896,2019-01-15 06:00:00,2019
t5991,39.70534,2019-09-07 14:00:00,2019
t1195,39.668764,2019-02-19 18:00:00,2019
t5945,39.63894,2019-09-05 16:00:00,2019
