,Biomass,Coal,Gas,Gas-CC,Hydro,Nuclear,Other,Solar,Wind,Time_Index
1/1/2012 1:00,30.543047,9953.608048,456.700311,5976.902695,29.7866,3793.425211,17.837144,0,6138.756453,1
1/1/2012 2:00,30.56475,9651.827145,453.154131,5868.942463,29.377269,3793.714824,17.826608,0,5968.194447,2
1/1/2012 3:00,31.092032,9158.794091,448.047285,5889.608358,29.368716,3792.836983,13.59147,0,5773.300836,3
1/1/2012 4:00,32.347019,9478.066793,457.230628,6020.703464,29.297541,3792.538824,9.576196,0,5224.291775,4
1/1/2012 5:00,32.138448,9872.334418,457.939139,5903.324052,29.278508,3793.115402,9.597198,0,4751.911102,5
1/1/2012 6:00,31.16892,10362.23759,460.013143,6100.657417,31.035717,3793.091422,9.940102,0,4506.832061,6
1/1/2012 7:00,31.483428,10755.81695,515.028177,6503.678583,41.18651,3793.230865,9.883476,0,4474.072131,7
1/1/2012 8:00,31.45628,11453.99283,562.205542,7227.155456,33.577661,3793.609912,9.254242,0.363705,3683.612859,8
1/1/2012 9:00,29.460689,11706.94627,649.623698,7886.134581,33.785595,3794.629294,12.736121,4.018556,3510.149477,9
1/1/2012 10:00,27.820675,12466.77424,642.099451,8909.093917,33.791324,3795.075383,16.595419,8.383952,2479.585342,10
1/1/2012 11:00,27.087841,12714.36683,631.154494,8992.063028,33.877771,3795.186447,16.732297,11.603375,2406.806974,11
1/1/2012 12:00,31.4774,13133.37493,631.084739,9257.781409,30.892508,3795.854151,16.784084,15.161026,1676.789435,12
1/1/2012 13:00,32.073585,13418.09947,581.730298,9339.070998,29.626247,3796.216658,16.240213,17.181604,1159.383017,13
1/1/2012 14:00,33.430687,13294.00469,537.874632,9212.160277,29.696038,3796.792705,16.157467,15.904104,1053.412191,14
1/1/2012 15:00,33.316235,12731.71202,542.562387,9218.612934,29.684973,3796.894715,15.720449,14.974155,1109.84927,15
1/1/2012 16:00,32.145727,12226.57981,524.633832,9370.179343,29.652758,3797.175243,16.196069,12.841266,1239.781556,16
1/1/2012 17:00,31.671093,12015.47442,529.253862,9718.531975,29.693931,3797.02794,16.228697,7.664866,1239.191412,17
1/1/2012 18:00,32.139218,12547.65506,536.799021,11049.94717,52.114275,3797.059648,14.847531,1.240542,1155.223185,18
1/1/2012 19:00,31.198667,14267.15216,553.0929,12118.51007,109.332794,3795.927049,15.505955,0,1155.328486,19
1/1/2012 20:00,32.49965,14693.38347,561.118724,12031.92317,64.888482,3795.584592,16.627515,0,1275.498671,20
1/1/2012 21:00,33.558161,14561.87612,543.314483,11736.88785,64.933887,3795.798223,16.474448,0,1641.023816,21
1/1/2012 22:00,33.425956,14349.50721,540.188151,11553.1675,64.882107,3795.172226,16.454563,0,1742.295841,22
1/1/2012 23:00,32.783246,13784.89211,504.924189,11197.31719,64.893319,3795.187158,16.459913,0,1762.624887,23
1/1/2012 0:00,32.62157,13026.89666,504.016754,10546.0028,64.885506,3795.338025,16.517277,0,1934.671896,24
1/2/2012 1:00,32.653939,12180.04631,509.502692,10414.10494,60.882988,3795.724476,15.382853,0,1889.634885,25
1/2/2012 2:00,32.662148,11996.9031,512.069402,10314.28696,51.985827,3795.787415,15.280286,0,1816.714567,26
1/2/2012 3:00,32.69853,12023.42742,513.792035,10359.15645,29.400829,3796.234589,15.293081,0,1778.555279,27
1/2/2012 4:00,32.75357,12292.83011,511.737844,10557.95656,29.305876,3796.575494,15.280837,0,1694.432955,28
1/2/2012 5:00,32.812082,12734.8834,512.86552,10966.91019,29.284691,3796.960449,15.264214,0,1785.375059,29
1/2/2012 6:00,32.633638,13138.37307,511.717687,12266.10862,29.731123,3796.607387,13.956041,0,1923.486441,30
1/2/2012 7:00,32.080752,13666.15219,562.263778,14101.02599,40.992832,3796.426968,13.761328,0,2015.761325,31
1/2/2012 8:00,31.968408,14494.25922,591.362634,14698.65521,34.023335,3796.302447,13.83116,0.492242,1943.972405,32
1/2/2012 9:00,31.368262,14532.71796,583.429442,14901.39493,33.83003,3795.932667,14.504234,2.402368,1859.997466,33
1/2/2012 10:00,31.283599,14833.45329,560.516616,15154.41325,33.812456,3796.824133,13.166334,8.911567,1314.327767,34
1/2/2012 11:00,31.176927,14871.05287,555.794706,14917.66954,33.877555,3796.939309,14.721768,13.849409,1161.820028,35
1/2/2012 12:00,29.898281,14661.38093,550.793291,14500.89762,32.421276,3797.054825,15.701878,15.573709,896.626739,36
1/2/2012 13:00,29.115402,14195.23102,548.249365,14467.87379,29.486627,3797.419132,15.971117,16.110599,426.174532,37
1/2/2012 14:00,31.185767,13478.85507,549.405135,14125.54836,29.766436,3798.178742,16.615113,15.741068,278.258881,38
1/2/2012 15:00,29.530286,12774.81028,548.513781,13907.54501,59.136114,3797.900768,16.016964,13.873082,260.159239,39
1/2/2012 16:00,31.540442,12111.38188,548.643211,13672.51465,59.218655,3798.433489,15.965914,10.144587,185.448091,40
1/2/2012 17:00,31.155385,12168.47029,558.189412,13906.05932,51.567933,3798.839993,15.95853,7.663461,130.358486,41
1/2/2012 18:00,31.725427,13303.57718,591.837398,14769.9052,82.665298,3799.027367,15.929199,0.92147,80.534134,42
1/2/2012 19:00,32.196818,14941.11018,747.465269,16139.00811,84.256736,3798.361369,15.922957,0,111.942186,43
1/2/2012 20:00,28.936017,15081.34626,778.124527,16527.06082,84.691202,3798.349306,15.912198,0,275.085351,44
1/2/2012 21:00,31.160219,15124.56809,789.000618,16631.09086,64.888769,3797.615837,15.963621,0,480.287896,45
1/2/2012 22:00,32.539709,14856.75287,660.733217,16079.02525,56.981674,3797.629587,15.265696,0,820.759977,46
1/2/2012 23:00,32.550235,14390.93845,535.243073,14449.54782,33.839255,3797.092716,15.9222,0,1517.529615,47
1/2/2012 0:00,32.347878,13633.22501,505.665033,13569.06124,33.831074,3796.442844,15.864376,0,2073.162401,48
1/3/2012 1:00,32.087116,12528.79458,541.95023,12523.44448,29.931447,3795.790471,13.001518,0,3287.361912,49
1/3/2012 2:00,32.085798,11762.05176,574.282879,12109.3342,29.497663,3795.742717,12.961425,0,4218.751719,50
1/3/2012 3:00,31.620825,11484.29123,610.914836,12305.6055,29.487856,3795.078651,13.016024,0,4507.413406,51
1/3/2012 4:00,30.959506,11880.68904,612.512893,12698.17346,29.435725,3794.346593,13.010301,0,4451.933441,52
1/3/2012 5:00,30.336091,12425.94976,647.768961,13552.23117,29.419591,3794.193775,13.631626,0,4692.156782,53
1/3/2012 6:00,29.110913,13649.62731,718.051146,14655.29555,29.387765,3794.215751,13.014487,0,5017.56598,54
1/3/2012 7:00,28.955405,14685.20434,1290.592736,17647.82843,30.934236,3793.849714,12.723959,0,4980.952287,55
1/3/2012 8:00,30.583973,14589.01235,1913.100162,18167.6594,48.980331,3794.053999,12.827532,0.344491,5141.721663,56
1/3/2012 9:00,31.848807,14470.05304,1313.027746,17138.36596,33.49481,3795.13186,13.662581,3.285341,5210.738535,57
1/3/2012 10:00,33.539245,14097.70769,808.414375,15994.3429,34.772037,3795.328034,12.455417,13.533197,5079.281339,58
1/3/2012 11:00,33.267067,13512.38944,674.923125,15054.25774,47.16756,3800.365851,13.145667,16.116706,4862.434487,59
1/3/2012 12:00,31.578441,12425.55145,634.733754,14649.39502,33.735846,3803.061052,13.698794,17.147865,4643.411066,60
1/3/2012 13:00,32.17308,11554.70091,617.279902,14186.33542,30.119491,3803.096642,14.683874,15.056971,4518.807483,61
1/3/2012 14:00,32.970882,10946.48712,598.694604,13695.29516,30.757594,3803.218307,15.156616,13.873269,4488.82684,62
1/3/2012 15:00,31.196948,10516.47733,594.649673,12572.09173,60.156494,3799.871577,15.213403,12.666579,5045.785875,63
1/3/2012 16:00,30.886997,10241.11957,639.770313,11844.25595,60.813861,3798.543219,16.268515,13.629143,5453.905759,64
1/3/2012 17:00,32.316601,10343.23671,650.738084,11821.16273,61.337979,3798.25043,15.694502,9.530084,5505.589998,65
