Delivery Date,Hour Ending,Price,Time_Index,Date,Year
09/05/2019,17:00,5008.32,5944,2019-09-05 15:00:00,2019
09/06/2019,17:00,4489.71,5968,2019-09-06 15:00:00,2019
09/05/2019,16:00,4262.8,5943,2019-09-05 14:00:00,2019
09/06/2019,16:00,4000.0,5967,2019-09-06 14:00:00,2019
08/26/2019,16:00,3499.84,5703,2019-08-26 14:00:00,2019
08/16/2019,17:00,3494.78,5464,2019-08-16 15:00:00,2019
08/16/2019,16:00,3351.49,5463,2019-08-16 14:00:00,2019
08/21/2019,16:00,3198.69,5583,2019-08-21 14:00:00,2019
08/13/2019,17:00,2711.89,5392,2019-08-13 15:00:00,2019
08/13/2019,16:00,2606.92,5391,2019-08-13 14:00:00,2019
08/26/2019,17:00,2580.22,5704,2019-08-26 15:00:00,2019
09/05/2019,15:00,2573.81,5942,2019-09-05 13:00:00,2019
08/21/2019,17:00,2505.45,5584,2019-08-21 15:00:00,2019
08/16/2019,15:00,2501.25,5462,2019-08-16 13:00:00,2019
09/05/2019,18:00,2490.4,5945,2019-09-05 16:00:00,2019
08/20/2019,16:00,2136.26,5559,2019-08-20 14:00:00,2019
09/06/2019,15:00,2017.95,5966,2019-09-06 13:00:00,2019
09/06/2019,18:00,2010.95,5969,2019-09-06 16:00:00,2019
08/21/2019,15:00,1997.84,5582,2019-08-21 13:00:00,2019
08/20/2019,17:00,1861.04,5560,2019-08-20 15:00:00,2019
08/15/2019,17:00,1758.32,5440,2019-08-15 15:00:00,2019
08/15/2019,16:00,1758.28,5439,2019-08-15 14:00:00,2019
08/16/2019,18:00,1571.57,5465,2019-08-16 16:00:00,2019
08/13/2019,15:00,1509.95,5390,2019-08-13 13:00:00,2019
08/19/2019,17:00,1496.05,5536,2019-08-19 15:00:00,2019
08/26/2019,18:00,1409.82,5705,2019-08-26 16:00:00,2019
08/14/2019,16:00,1386.68,5415,2019-08-14 14:00:00,2019
08/19/2019,16:00,1350.0,5535,2019-08-19 14:00:00,2019
08/14/2019,17:00,1338.51,5416,2019-08-14 15:00:00,2019
08/13/2019,18:00,1338.31,5393,2019-08-13 16:00:00,2019
09/26/2019,17:00,1338.03,6448,2019-09-26 15:00:00,2019
08/26/2019,15:00,1291.77,5702,2019-08-26 13:00:00,2019
08/20/2019,15:00,1268.11,5558,2019-08-20 13:00:00,2019
09/26/2019,16:00,1202.67,6447,2019-09-26 14:00:00,2019
08/07/2019,16:00,1009.21,5247,2019-08-07 14:00:00,2019
09/25/2019,17:00,960.83,6424,2019-09-25 15:00:00,2019
08/12/2019,17:00,949.11,5368,2019-08-12 15:00:00,2019
08/12/2019,16:00,949.1,5367,2019-08-12 14:00:00,2019
08/14/2019,15:00,930.56,5414,2019-08-14 13:00:00,2019
08/13/2019,14:00,857.58,5389,2019-08-13 12:00:00,2019
10/02/2019,17:00,851.45,6592,2019-10-02 15:00:00,2019
08/15/2019,15:00,802.73,5438,2019-08-15 13:00:00,2019
08/07/2019,17:00,800.28,5248,2019-08-07 15:00:00,2019
08/16/2019,14:00,780.44,5461,2019-08-16 12:00:00,2019
08/19/2019,15:00,734.74,5534,2019-08-19 13:00:00,2019
08/17/2019,17:00,699.11,5488,2019-08-17 15:00:00,2019
08/21/2019,18:00,693.15,5585,2019-08-21 16:00:00,2019
