Zone,Price,Date,Year
t4792,9000000.0,2018-07-19 15:00:00,2018
t4793,9000000.0,2018-07-19 16:00:00,2018
t4794,9000000.0,2018-07-19 17:00:00,2018
t4960,9000000.0,2018-07-26 15:00:00,2018
t4791,9000000.0,2018-07-19 14:00:00,2018
t4936,9000000.0,2018-07-25 15:00:00,2018
t4769,9000000.0,2018-07-18 16:00:00,2018
t4864,9000000.0,2018-07-22 15:00:00,2018
t4768,9000000.0,2018-07-18 15:00:00,2018
t4865,9000000.0,2018-07-22 16:00:00,2018
t4767,9000000.0,2018-07-18 14:00:00,2018
t4790,8999280.021679707,2018-07-19 13:00:00,2018
t4816,235.27981114316304,2018-07-20 15:00:00,2018
t8240,198.16571557358003,2018-12-10 07:00:00,2018
t7616,192.6337333333333,2018-11-14 07:00:00,2018
t4912,187.75382,2018-07-24 15:00:00,2018
t4744,187.407484,2018-07-17 15:00:00,2018
t5033,185.6452582222222,2018-07-29 16:00:00,2018
t5439,185.0866494444444,2018-08-15 14:00:00,2018
t5295,185.07980577777772,2018-08-09 14:00:00,2018
t4887,184.98762827995145,2018-07-23 14:00:00,2018
t3927,184.92679777777775,2018-06-13 14:00:00,2018
t5656,184.27305888888887,2018-08-24 15:00:00,2018
t5800,184.1384288888889,2018-08-30 15:00:00,2018
t5608,183.54711444444445,2018-08-22 15:00:00,2018
t3736,183.28286333333332,2018-06-05 15:00:00,2018
t5584,183.20673541083767,2018-08-21 15:00:00,2018
t5487,183.0021816894343,2018-08-17 14:00:00,2018
t380,182.91249486223523,2018-01-16 19:00:00,2018
t6232,182.8058855555556,2018-09-17 15:00:00,2018
t5560,182.320620200102,2018-08-20 15:00:00,2018
t3616,181.9792733333333,2018-05-31 15:00:00,2018
t4841,181.8160454444444,2018-07-21 16:00:00,2018
t5128,181.4000468287048,2018-08-02 15:00:00,2018
t6639,179.15237020346288,2018-10-04 14:00:00,2018
t6424,178.37552599999998,2018-09-25 15:00:00,2018
t5008,177.47178832609742,2018-07-28 15:00:00,2018
t4719,177.220906834699,2018-07-16 14:00:00,2018
t4984,175.8475272222222,2018-07-27 15:00:00,2018
t7915,173.27348304152855,2018-11-26 18:00:00,2018
t1016,171.8906345944682,2018-02-12 07:00:00,2018
t3257,171.78068444444446,2018-05-16 16:00:00,2018
