Price,Date,Year
3003.71,2021-02-14 15:00:00,2021
3000.45,2021-02-15 02:00:00,2021
2998.38,2021-02-14 13:00:00,2021
2990.25,2021-02-14 22:00:00,2021
2989.97,2021-02-19 22:00:00,2021
2711.89,2019-08-13 15:00:00,2019
2698.68,2021-02-14 23:00:00,2021
2606.92,2019-08-13 14:00:00,2019
2580.22,2019-08-26 15:00:00,2019
2573.81,2019-09-05 13:00:00,2019
2519.14,2021-02-19 18:00:00,2021
2511.45,2021-02-19 21:00:00,2021
2505.45,2019-08-21 15:00:00,2019
2503.05,2021-02-14 05:00:00,2021
2501.25,2019-08-16 13:00:00,2019
2490.4,2019-09-05 16:00:00,2019
2391.19,2021-02-19 23:00:00,2021
2236.63,2015-08-10 15:00:00,2015
2136.26,2019-08-20 14:00:00,2019
2074.73,2021-02-14 01:00:00,2021
2074.58,2021-02-14 00:00:00,2021
2061.99,2018-07-23 15:00:00,2018
2054.91,2021-02-13 09:00:00,2021
2041.36,2021-02-13 18:00:00,2021
2039.95,2021-02-13 19:00:00,2021
2038.45,2021-02-13 07:00:00,2021
2017.95,2019-09-06 13:00:00,2019
2015.86,2020-08-14 15:00:00,2020
2010.95,2019-09-06 16:00:00,2019
2007.6,2021-02-13 08:00:00,2021
2004.51,2021-02-14 02:00:00,2021
2004.44,2021-02-14 03:00:00,2021
2001.62,2021-02-14 04:00:00,2021
1997.84,2019-08-21 13:00:00,2019
1893.4,2018-07-23 14:00:00,2018
1881.65,2018-07-22 15:00:00,2018
1861.04,2019-08-20 15:00:00,2019
1855.85,2018-07-19 15:00:00,2018
1758.32,2019-08-15 15:00:00,2019
1758.28,2019-08-15 14:00:00,2019
1744.58,2018-07-21 15:00:00,2018
1676.48,2015-08-10 14:00:00,2015
1660.04,2018-01-17 07:00:00,2018
1598.57,2018-07-21 14:00:00,2018
1589.75,2021-02-13 20:00:00,2021
1571.57,2019-08-16 16:00:00,2019
1568.65,2018-07-18 15:00:00,2018
1567.84,2018-07-18 14:00:00,2018
1566.71,2021-02-13 17:00:00,2021
1562.55,2018-01-17 06:00:00,2018
1541.12,2020-08-14 14:00:00,2020
1531.58,2018-07-18 16:00:00,2018
1522.57,2021-02-19 13:00:00,2021
1518.6,2021-02-19 17:00:00,2021
1515.78,2012-08-02 15:00:00,2012
1509.95,2019-08-13 13:00:00,2019
1496.05,2019-08-19 15:00:00,2019
1492.02,2021-06-15 14:00:00,2021
1491.72,2021-06-15 15:00:00,2021
1487.41,2018-07-22 14:00:00,2018
1452.32,2021-02-13 10:00:00,2021
1426.34,2012-08-01 15:00:00,2012
1409.82,2019-08-26 16:00:00,2019
1392.24,2021-06-15 16:00:00,2021
1386.68,2019-08-14 14:00:00,2019
1353.42,2012-06-26 15:00:00,2012
1350.0,2019-08-19 14:00:00,2019
1338.51,2019-08-14 15:00:00,2019
1338.31,2019-08-13 16:00:00,2019
1338.03,2019-09-26 15:00:00,2019
1330.0,2014-03-04 06:00:00,2014
1291.77,2019-08-26 13:00:00,2019
1276.25,2018-07-22 16:00:00,2018
1268.11,2019-08-20 13:00:00,2019
1245.0,2014-03-04 07:00:00,2014
1243.88,2021-02-13 11:00:00,2021
1217.24,2018-07-19 14:00:00,2018
1208.23,2021-02-13 16:00:00,2021
1203.94,2018-07-23 16:00:00,2018
1202.67,2019-09-26 14:00:00,2019
1201.07,2021-02-13 12:00:00,2021
1160.44,2012-08-02 14:00:00,2012
1123.95,2018-07-20 15:00:00,2018
1114.41,2021-02-13 13:00:00,2021
1105.79,2021-02-13 14:00:00,2021
1089.74,2021-02-13 15:00:00,2021
1085.84,2012-06-26 14:00:00,2012
1076.75,2021-02-19 14:00:00,2021
1053.26,2018-07-21 16:00:00,2018
1009.21,2019-08-07 14:00:00,2019
1007.11,2021-02-13 21:00:00,2021
998.27,2021-02-19 15:00:00,2021
