,Biomass,Coal,Gas,Gas-CC,Hydro,Nuclear,Other,Solar,Wind
2015-01-01 01:00:00,48.545341,11822.395495,736.8913609999997,20909.791038999996,29.72897,5131.060674,0.094194,0.0,933.6286770000002
2015-01-01 02:00:00,47.823909,11703.807965,738.4005539999998,20578.223411,5.5825380000000004,5130.445823,0.0,0.0,796.258771
2015-01-01 03:00:00,47.843928,11553.962352999999,741.174263,20446.930906,5.574234,5130.690632,0.0,0.0,626.7441779999999
2015-01-01 04:00:00,47.845293999999996,11508.19363,739.8517299999999,20366.578583,5.5671289999999996,5130.6272819999995,0.0,0.0,675.1811299999999
2015-01-01 05:00:00,47.171359,11508.898359,730.2729330000001,20567.778866999997,5.478171,5130.150522,0.0,0.0,809.081105
2015-01-01 06:00:00,47.038405999999995,11770.543336,724.7368090000002,21060.970416,5.572684,5130.40322,0.0,0.0,907.024164
2015-01-01 07:00:00,47.807783,12174.470176000003,754.7517669999997,21426.927536,29.884213000000003,5129.989691,0.0,0.0,919.997689
2015-01-01 08:00:00,48.116665,12424.383428,763.2863520000001,21776.308154000002,31.219794999999998,5130.010622,0.0,0.003452,845.428135
2015-01-01 09:00:00,48.498450999999996,12551.927524000002,768.6402619999999,22423.232713,31.502458,5130.443029999999,0.0,1.549214,670.2060230000001
2015-01-01 10:00:00,49.642993,13013.375754,775.132078,23361.385837,31.381193,5130.459946,0.0,6.726049,586.008652
2015-01-01 11:00:00,50.483196,13392.828451,822.1447280000002,24166.091525,5.962874,5131.54629,0.0,11.558767999999999,469.793412
2015-01-01 12:00:00,50.637969999999996,13578.219524999999,1000.7675180000001,24288.677647000004,6.535652,5131.615436,0.0,14.572845000000001,574.0298589999999
2015-01-01 13:00:00,50.636507,13558.985394,975.262827,24368.594594,8.204439,5132.1328379999995,0.0,13.369359,513.133966
2015-01-01 14:00:00,49.926246000000006,13339.633519,970.890079,24163.309691000002,8.189233,5132.125637,0.0,13.720512999999999,427.474077
2015-01-01 15:00:00,50.644801,13026.439421,951.8822739999998,23849.058429000004,8.121433,5132.054363,0.0,12.189046999999999,482.290895
2015-01-01 16:00:00,50.637111,12795.252527,944.8796480000001,23728.099769000004,6.804267,5132.481427000001,0.0,9.190204999999999,478.82482899999997
2015-01-01 17:00:00,50.274356000000004,12997.836357,936.842406,23905.982001999993,5.361115,5132.760844,0.0,3.9147169999999996,413.53740200000004
2015-01-01 18:00:00,48.9906,13510.552787,1099.313402,24861.339832999995,5.35777,5132.504849,0.0,0.25560900000000003,327.088622
2015-01-01 19:00:00,46.908065,13956.354563,1269.215931,25102.888909999998,25.428096,5131.878489000001,0.0,0.0,230.569877
2015-01-01 20:00:00,49.79023000000001,13948.589460000001,1265.6862649999998,24547.294907000003,5.4065080000000005,5131.669682,0.0,0.0,179.28630800000002
2015-01-01 21:00:00,49.860463,13894.65326,1167.2436329999998,23960.203862,5.477692,5131.405967,0.0,0.0,136.857264
2015-01-01 22:00:00,48.879981,13594.263543,974.403358,23193.918053999994,5.483048,5131.725664,0.0,0.0,105.716594
2015-01-01 23:00:00,48.020921,13108.718727999998,921.3312019999998,21892.446951,5.484782,5131.19884,0.083161,0.0,57.931957
2015-01-01 00:00:00,48.251709999999996,12460.558766999999,889.36234,20545.869320000005,6.820447,5131.64205,0.0,0.0,55.726815
2015-01-02 01:00:00,50.790232,11390.617878999998,889.3347919999999,19851.08057,35.139913,5131.846417,0.0,0.0,148.649507
2015-01-02 02:00:00,50.794788,10776.515182,873.345069,19343.925327999998,13.190105,5131.98903,0.0,0.0,225.72322000000003
2015-01-02 03:00:00,50.793016,10479.607029000003,866.129606,19079.751502,11.70665,5131.926933,0.0,0.0,310.44257699999997
2015-01-02 04:00:00,50.779038,10483.348235000001,862.4260470000002,19068.431432999998,6.639533,5132.8173480000005,0.0,0.0,346.36145300000004
2015-01-02 05:00:00,50.781639,10736.466087,862.9990970000001,19489.043142,6.131779,5133.212887000001,0.0,0.0,303.122672
2015-01-02 06:00:00,50.216125,11220.847448,870.1685160000001,20665.474601,5.637044,5133.68375,0.0,0.0,241.65226099999998
2015-01-02 07:00:00,48.549848000000004,11818.685726999998,977.911747,22050.647566,29.476218000000003,5133.780452999999,0.0,0.0,209.00073700000004
2015-01-02 08:00:00,47.099406,12497.674867999998,991.246528,22729.634679000003,30.428731999999997,5133.139408,0.0,0.027898,269.994655
2015-01-02 09:00:00,46.121155,13070.700587,944.7103979999998,22970.739268999998,30.939726,5133.550843,0.0,3.1448929999999997,200.13231499999995
2015-01-02 10:00:00,49.528107,13510.956683,981.706307,23553.533015,30.924883,5132.406385,0.0,6.155837,96.664478
2015-01-02 11:00:00,51.394057000000004,13811.363543,1022.6513710000002,23922.745976,6.525153,5131.210448,0.0,10.708206,59.096517
2015-01-02 12:00:00,50.821529999999996,13752.797004,1044.150374,23920.094295,5.158623,5131.762847,0.0,14.376648999999997,105.82062599999999
2015-01-02 13:00:00,51.694065,13271.660315000001,1123.6514550000002,23947.702368,5.045425,5131.699917000001,0.0,15.298126,120.84635999999999
2015-01-02 14:00:00,45.569016,13157.085714,1042.404377,23723.425676000003,5.982985,5131.508975,0.0,13.289129999999998,118.600281
2015-01-02 15:00:00,51.846136,13015.437726999999,1105.3476190000001,23363.803399,10.34296,5131.204986000001,0.0,7.390215,81.595542
2015-01-02 16:00:00,53.225707,12971.483252000002,1072.545325,23185.995024000003,11.337881000000001,5132.083379000001,0.080985,6.468449000000001,67.221778
