Resource,biomass,conventional_hydroelectric,conventional_steam_coal,conventional_steam_coal_5,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,conventional_steam_coal_6,conventional_steam_coal_4,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,small_hydroelectric,solar_photovoltaic,Battery,Total
t19,62.1,12.168,0.0,0.0,0.0,3168.0,329.32939464937914,0.8159340659340661,586.8000000000001,459.7216701536821,1908.9,4179.6,671.4,0.0,3626.1000000000004,0.0,927.9,7250.4,478.80000000000007,213.29999999999998,1069.2,923.4000000000001,6732.9,741.5999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1944.0,0.0,0.0,378.9,0.0,0.0,0.0,1314.9,0.0,0.0,0.0,0.0,2520.0,2460.0,3593.6631791279997,0.0,9.296532003000001,726.0,46289.194709999996
t20,62.1,12.1212,0.0,0.0,0.0,3168.0,329.3293946493792,0.8159340659340661,586.8000000000001,446.7645280456858,1908.9,4179.6,671.4,0.0,3626.1000000000004,0.0,927.9,7250.4,478.80000000000007,213.29999999999998,1069.2,923.4000000000001,6732.9,741.5999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1944.0,0.0,0.0,378.9,0.0,0.0,0.0,1314.9,0.0,0.0,0.0,0.0,2520.0,2460.0,3630.275314236,0.0,2.388189003,726.0,46305.89456000001
t21,62.1,12.0744,0.0,0.0,0.0,3168.0,329.3293946493792,0.8159340659340661,586.8000000000001,296.2650763212618,1908.9,4179.6,671.4,0.0,3626.1000000000004,0.0,927.9,7250.4,478.80000000000007,213.29999999999998,1069.2,923.4000000000001,6732.9,741.5999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1944.0,0.0,0.0,378.9,0.0,0.0,0.0,1314.9,0.0,0.0,0.0,0.0,2520.0,2460.0,3774.2942664720003,0.0,0.00969592,441.12247257142457,46012.111240000006
t22,62.1,12.0744,0.0,0.0,0.0,3168.0,329.3293946493792,0.8159340659340661,586.8000000000001,296.2650763212618,1908.9,4179.6,671.4,0.0,3626.1000000000004,0.0,927.9,7250.4,478.80000000000007,213.29999999999998,1069.2,923.4000000000001,6732.9,741.5999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1944.0,0.0,0.0,378.9,0.0,0.0,0.0,1314.9,0.0,0.0,0.0,0.0,2520.0,2460.0,3498.344416116,0.0,0.008661067,157.579557780421,45452.617439999995
t23,62.1,12.027600000000001,0.0,0.0,0.0,3168.0,329.3293946493792,0.8159340659340661,586.8000000000001,296.2650763212618,1738.4659834814258,4179.6,671.4,0.0,3626.1000000000004,0.0,927.9,7250.4,478.80000000000007,108.54599999999999,540.54,923.4000000000001,6732.9,741.5999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1944.0,0.0,0.0,378.9,0.0,0.0,0.0,482.1300000000001,0.0,0.0,0.0,0.0,2520.0,2460.0,4064.6158361820003,0.0,0.0102553,0.0,44224.64608
t24,62.1,11.9808,0.0,0.0,0.0,3168.0,329.3293946493792,0.8159340659340661,586.8000000000001,0.0,1368.045,4179.6,671.4,0.0,3626.1000000000004,0.0,927.9,7250.4,478.80000000000007,0.0,424.98379148815667,923.4000000000001,6732.9,741.5999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1342.8756957265261,0.0,0.0,378.9,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,4565.647525230001,0.0,0.01006884,0.0,42907.91520999999
t25,62.1,11.9808,0.0,0.0,0.0,3168.0,329.3293946493792,0.8159340659340661,586.8000000000001,0.0,1368.045,4179.6,671.4,0.0,3626.1000000000004,0.0,927.9,7250.4,478.80000000000007,0.0,424.98379148815667,923.4000000000001,6732.9,741.5999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,714.0881668465365,0.0,0.0,378.9,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,3990.96435933,0.0,0.00876362,0.0,41704.443210000005
t26,62.1,11.934,0.0,0.0,0.0,3168.0,329.3293946493792,0.8159340659340661,586.8000000000001,0.0,1368.045,4179.6,671.4,0.0,3626.1000000000004,0.0,927.9,7250.4,478.80000000000007,0.0,424.98379148815667,923.4000000000001,6732.9,741.5999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,873.4123842545334,0.0,0.0,378.9,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,2988.646120242,0.0,0.0102553,0.0,40861.403880000005
t27,62.1,11.8872,0.0,0.0,0.0,3168.0,329.3293946493792,0.8159340659340661,586.8000000000001,0.0,1368.045,4179.6,671.4,0.0,3626.1000000000004,0.0,927.9,7250.4,478.80000000000007,0.0,424.98379148815667,923.4000000000001,6732.9,741.5999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,870.9418972645374,0.0,0.0,378.9,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,2611.736417232,0.0,0.0102553,0.0,40481.97689000001
t28,62.1,11.8872,0.0,0.0,0.0,3168.0,329.3293946493792,0.8159340659340661,586.8000000000001,0.0,1368.045,4179.6,671.4,0.0,3626.1000000000004,0.0,927.9,7250.4,478.80000000000007,0.0,424.98379148815667,923.4000000000001,6732.9,741.5999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.65348760053445,0.0,0.0,378.9,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,3067.964835966,0.0,0.009416230000000001,0.0,40451.91606
