BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
t720,51807.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51807.0
t721,47916.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47916.0
t722,45107.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45107.0
t723,43135.00000000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43135.0
t724,41838.00000000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41838.0
t725,41956.39600697608,0.0,-561.3960069760742,0.0,0.0,0.0,0.0,0.0,0.0,-41395.0
t726,43006.0,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-42280.0
t727,44521.0,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-43795.0
t728,45557.0,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-44831.0
t729,47745.257761326,0.0,-417.2577613259927,0.0,0.0,0.0,0.0,0.0,0.0,-47328.0
t730,50956.06313043479,0.0,-0.0631304347826863,0.0,0.0,0.0,0.0,0.0,0.0,-50956.0
t731,55399.06313043476,0.0,-0.0631304347826863,0.0,0.0,0.0,0.0,0.0,0.0,-55399.0
t732,59960.06313043478,0.0,-0.0631304347826863,0.0,0.0,0.0,0.0,0.0,0.0,-59960.0
t733,63847.99999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63848.0
t734,67410.99999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67411.0
t735,69153.47948811704,627.5205118829562,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69781.0
t736,70080.99999999999,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70807.0
t737,70540.99999999999,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71267.0
t738,70496.07988726598,591.9201127339899,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71088.0
t739,69917.99999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69918.0
t740,67386.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67386.0
t741,64691.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64691.0
t742,62142.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62142.0
t743,57894.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57894.0
t744,53375.99999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53376.0
