BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
t458,47992.00000000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47992.0
t459,45982.99999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45983.0
t460,44520.99999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44521.0
t461,43839.62906768795,0.0,-252.62906768795324,0.0,0.0,0.0,0.0,0.0,0.0,-43587.0
t462,43933.99999999999,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-43208.0
t463,43798.99999999999,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-43073.0
t464,44386.99999999999,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-43661.0
t465,47584.0,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-46858.0
t466,50892.063130434784,0.0,-0.0631304347826863,0.0,0.0,0.0,0.0,0.0,0.0,-50892.0
t467,55008.063130434784,0.0,-0.0631304347826863,0.0,0.0,0.0,0.0,0.0,0.0,-55008.0
t468,58745.06313043476,0.0,-0.0631304347826863,0.0,0.0,0.0,0.0,0.0,0.0,-58745.0
t469,62021.00000000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62021.0
t470,64712.99999999998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64712.99999999999
t471,66639.43001167497,23.569988325010005,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66663.0
t472,67409.87051628195,625.1294837180033,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-68035.0
t473,68013.99999999996,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-68740.0
t474,67650.99999999994,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-68377.0
t475,66961.99999999997,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66962.0
t476,64001.32194631999,570.6780536799723,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64572.0
