,Biomass,Coal,Gas,Gas-CC,Hydro,Nuclear,Other,Solar,Wind
2020-01-01 01:00:00,35.29101,5764.713907,637.733668,12306.799549,27.607916000000003,5098.685488000001,-0.9524190000000001,0.0035,12832.853905999998
2020-01-01 02:00:00,35.333704,5742.606807,634.212035,11553.530442,18.757249,5097.534591,-0.43202300000000016,0.0035,13328.726004
2020-01-01 03:00:00,34.930512,5709.616961,621.513337,10622.119970000002,10.673514,5098.336663,2.23386,0.0035,13920.058029
2020-01-01 04:00:00,35.016495,5591.198396,615.493605,9926.127676,13.764742000000002,5097.670123,-3.5465420000000005,0.007,14443.900284
2020-01-01 05:00:00,34.90827,5489.500534,616.412799,9920.990752,53.700027,5097.827364999999,-1.747271,0.0035,14713.695595000001
2020-01-01 06:00:00,34.886169,5588.429118,617.903017,10679.895625000001,54.302235,5098.095212,-0.029689999999999994,0.0035,14342.778247999999
2020-01-01 07:00:00,34.555415,5642.355726,622.952776,11492.816878999998,79.56027800000001,5097.9399889999995,-1.061081,0.0035,14126.175122999999
2020-01-01 08:00:00,34.798489000000004,5720.687383,615.1381250000001,11657.384298,80.602213,5097.639985,-0.879749,0.544599,14259.787169
2020-01-01 09:00:00,35.968655000000005,5699.69999,618.6211089999999,12021.169453,80.617029,5098.582316,-0.2573040000000001,114.668489,14313.434032
2020-01-01 10:00:00,35.377767,5918.638443,626.115905,12724.075957,80.61558000000001,5098.944131,-1.222652,479.605104,14014.695129
2020-01-01 11:00:00,35.638456000000005,6334.381986,622.494843,12905.02717,114.725218,5099.358572,0.4098,507.081463,14268.512169
2020-01-01 12:00:00,35.575088,6413.2639070000005,657.26755,12937.217009,96.7861,5098.997344,-1.898325,637.473295,14449.907966
2020-01-01 13:00:00,34.68878,6526.967138,629.745101,13135.800134000001,124.389559,4956.146888,-0.45693999999999996,613.551568,14124.888934
2020-01-01 14:00:00,31.891922,7002.180092,623.897497,13661.339159,26.641165,3845.480764,-9.863582000000001,609.639761,13900.980663999999
2020-01-01 15:00:00,33.965191000000004,6850.51417,619.019086,13324.668032,12.682987,3845.2055689999997,-11.269701,476.918066,14027.983810999998
2020-01-01 16:00:00,33.988869,6734.006267,616.128215,13172.854451000001,16.063442,3846.166702,-9.873574,309.017884,14197.962588
2020-01-01 17:00:00,33.932327,7009.831778000001,615.049211,13323.850578000001,53.541323999999996,3846.1213439999997,-0.782601,160.527841,13996.347588
2020-01-01 18:00:00,34.480669,7890.7050039999995,634.3069780000001,13472.08877,53.518651000000006,3846.181441,1.5323689999999999,45.157247,14601.296965000001
2020-01-01 19:00:00,34.616372999999996,7884.356318,618.769367,13333.631914,53.484825,3846.733679,9.17677,0.0035,15850.569037000001
2020-01-01 20:00:00,34.26883,7065.112637,613.5459969999999,12823.048074,53.531003999999996,3846.48034,5.985221,0.0035,16757.758192999998
2020-01-01 21:00:00,34.025028,6687.499252,612.123369,12733.867564,53.525245000000005,3845.796732,-0.610086,0.0035,16511.441822
2020-01-01 22:00:00,33.941762,6645.877117,616.241344,11977.446985999999,53.573177,3845.457075,-1.8063030000000002,0.0035,16138.518811
2020-01-01 23:00:00,33.878894,6910.247917,616.3195979999999,10400.592372000001,52.801792999999996,3845.3747160000003,-0.954518,0.0035,15610.415846
2020-01-01 00:00:00,33.902902,6593.35039,613.570902,9552.035844,13.312307,3845.317144,-0.627353,0.0035,14980.784579
2020-01-02 01:00:00,33.869826,6475.383619,612.125421,8343.035969999999,37.365176,3844.954394,-1.410654,0.0035,14648.983549999999
2020-01-02 02:00:00,33.896632,6202.337987,616.445163,7306.453164,15.457927000000002,3846.190799,0.917073,0.007,14976.996796
2020-01-02 03:00:00,33.870519,6206.3192389999995,613.203935,7026.864394999999,13.017608000000001,3846.0161630000002,-4.048374,0.0035,14930.82206
2020-01-02 04:00:00,33.90843,5921.818914999999,613.55309,6881.901903,40.207454,3846.5392720000004,0.537169,0.0035,15314.500974
2020-01-02 05:00:00,32.089655,6268.929928,620.17518,7566.035188,61.347567,3846.122422,-0.7942089999999999,0.0035,14934.409463999998
2020-01-02 06:00:00,32.46462,6349.544669,659.060488,9746.256835,100.22650499999999,3845.8117780000002,-1.2440099999999998,0.0035,14246.536930999999
2020-01-02 07:00:00,33.041979,6240.804998999999,659.107825,12054.997767,125.82785899999999,3845.685297,-2.877811,0.0035,14123.218203
2020-01-02 08:00:00,32.875127,6849.697317,670.965258,13223.149854,125.622446,3845.936277,-2.101314,1.681459,13920.437160000001
2020-01-02 09:00:00,31.339527,7165.787155,664.340861,13619.284101,125.850054,3845.605361,-3.18222,361.670531,13324.948918
2020-01-02 10:00:00,32.538443,7599.242427,707.2433410000001,14303.560440000001,125.92632599999999,3843.996223,-2.4602939999999998,1101.089066,11950.112204
2020-01-02 11:00:00,32.708953,7854.739012,722.706373,14308.130344,169.933543,3846.09953,-0.734776,1285.04773,11720.679655
2020-01-02 12:00:00,33.951723,8123.266173,730.46127,14610.538962999999,151.724446,3846.3266680000006,-1.56299,1176.929777,11230.555986000001
2020-01-02 13:00:00,33.663393,9283.37321,757.992615,14866.488449999999,149.84542199999999,3846.9880820000003,20.476686,866.6057249999999,9829.66064
2020-01-02 14:00:00,33.429781000000006,10040.254654,729.657815,14607.552797,64.14459,3845.608831,-14.477393000000001,737.366671,9278.909797
2020-01-02 15:00:00,34.74727300000001,8849.240986,669.590366,14473.259302999999,60.218078,3845.4133110000002,-10.482326,659.543837,10348.890072999999
