Date,Solar,Wind,Nuclear
2021-01-01 01:00:00,5.491794486753191e-08,0.4091264999414897,1.0
2021-01-01 02:00:00,1.0672530301405127e-07,0.4180312670703879,1.0
2021-01-01 03:00:00,1.227072830633916e-07,0.4160408754315137,1.0
2021-01-01 04:00:00,4.751689370374343e-08,0.38751720873559187,1.0
2021-01-01 05:00:00,0.00044996363831384747,0.3578298188520274,1.0
2021-01-01 06:00:00,1.402981872787729e-07,0.3325825011994617,1.0
2021-01-01 07:00:00,5.3952590367907326e-08,0.3141215936165233,1.0
2021-01-01 08:00:00,0.000754401801995066,0.3022868444795506,1.0
2021-01-01 09:00:00,0.07229360710071865,0.2894002279854894,1.0
2021-01-01 10:00:00,0.22202530086881908,0.2944078863729448,1.0
2021-01-01 11:00:00,0.2993060293896814,0.32712778828038147,1.0
2021-01-01 12:00:00,0.3163270629625657,0.3273406049382716,1.0
2021-01-01 13:00:00,0.3141716195430655,0.2938285234041308,1.0
2021-01-01 14:00:00,0.30650980478386786,0.2624546921186589,1.0
2021-01-01 15:00:00,0.289021410919232,0.21835984430401967,1.0
2021-01-01 16:00:00,0.306193873431299,0.17432818688198468,1.0
2021-01-01 17:00:00,0.19182741231363293,0.1270515326780177,1.0
2021-01-01 18:00:00,0.032239140405448896,0.10009480091861214,1.0
2021-01-01 19:00:00,0.000997160570631771,0.10513320449359312,1.0
2021-01-01 20:00:00,0.0002561612142014373,0.1062042983734129,1.0
2021-01-01 21:00:00,1.042582859594551e-06,0.11041759613246739,1.0
2021-01-01 22:00:00,9.294218599163361e-07,0.10234463814288221,1.0
2021-01-01 23:00:00,1.1005041295720263e-06,0.11891100125797202,1.0
2021-01-01 00:00:00,1.0820551324680897e-06,0.13356876487625066,1.0
2021-01-02 01:00:00,9.403625442454039e-07,0.11675631493183547,1.0
2021-01-02 02:00:00,1.0977153276842219e-06,0.08743333113919607,1.0
2021-01-02 03:00:00,1.096642711573528e-06,0.07640677581768182,1.0
2021-01-02 04:00:00,1.008044620830205e-06,0.08975381349833246,1.0
2021-01-02 05:00:00,1.2059422932532446e-06,0.09581122646422094,1.0
2021-01-02 06:00:00,1.1653974042690122e-06,0.08681779796384063,1.0
2021-01-02 07:00:00,9.61814866459294e-07,0.09011680571645897,1.0
2021-01-02 08:00:00,0.001390272015445672,0.1058169819495641,1.0
2021-01-02 09:00:00,0.11104573871071544,0.12895297030600902,1.0
2021-01-02 10:00:00,0.3287508185133541,0.12205662606049969,1.0
2021-01-02 11:00:00,0.38341998766491475,0.12948149084313382,1.0
2021-01-02 12:00:00,0.3780637558725732,0.1828204796384062,1.0
2021-01-02 13:00:00,0.37858047624155317,0.23404386615762682,1.0
2021-01-02 14:00:00,0.3840311349351067,0.26582210724942956,1.0
2021-01-02 15:00:00,0.39908900042904644,0.2840119368088468,1.0
2021-01-02 16:00:00,0.4047215788909149,0.29088679895851616,1.0
2021-01-02 17:00:00,0.2990874642282527,0.2872603471417705,1.0
2021-01-02 18:00:00,0.05304820358253781,0.3116459208647826,1.0
2021-01-02 19:00:00,0.0004910379706103185,0.3907854450588029,1.0
2021-01-02 20:00:00,1.2269655690228466e-06,0.447189828447721,1.0
2021-01-02 21:00:00,1.2137723908613107e-06,0.4753802153765139,1.0
2021-01-02 22:00:00,1.0859165504665878e-06,0.4794494650985899,1.0
2021-01-02 23:00:00,1.2005792126997748e-06,0.4704544491545257,1.0
2021-01-02 00:00:00,1.1765526118202295e-06,0.47275950936165234,1.0
2021-01-03 01:00:00,1.105545425292288e-06,0.4804150327365279,1.0
2021-01-03 02:00:00,1.2580714362329722e-06,0.4754163352934293,1.0
2021-01-03 03:00:00,1.2436983803496729e-06,0.48449102574454395,1.0
2021-01-03 04:00:00,1.1010404376273731e-06,0.4878933606284008,1.0
2021-01-03 05:00:00,1.216561192749115e-06,0.48876033772160793,1.0
2021-01-03 06:00:00,1.2249275984125282e-06,0.4709515974782049,1.0
2021-01-03 07:00:00,1.0776574064142444e-06,0.4614230712363232,1.0
2021-01-03 08:00:00,0.002031452536737102,0.4588019607395705,1.0
2021-01-03 09:00:00,0.12372330644642282,0.431585689983032,1.0
2021-01-03 10:00:00,0.357206087418213,0.3234746136270552,1.0
2021-01-03 11:00:00,0.3947927534055562,0.24095313378386282,1.0
2021-01-03 12:00:00,0.38943435492867107,0.19261520873559185,1.0
2021-01-03 13:00:00,0.3826158867317387,0.16106291220525423,1.0
2021-01-03 14:00:00,0.388148809717902,0.13473119574629921,1.0
2021-01-03 15:00:00,0.401847027566234,0.11104246544965186,1.0
2021-01-03 16:00:00,0.39820390743322964,0.10231857814054182,1.0
2021-01-03 17:00:00,0.2621310025742787,0.09650653595459598,1.0
2021-01-03 18:00:00,0.0447987926633058,0.10990546375285239,1.0
2021-01-03 19:00:00,0.0005050839858414674,0.16151842405359546,1.0
2021-01-03 20:00:00,1.3753083771318246e-06,0.24133857866713473,1.0
2021-01-03 21:00:00,1.4082376917301299e-06,0.30942392572113975,1.0
2021-01-03 22:00:00,1.2094819264185348e-06,0.36100359829734946,1.0
2021-01-03 23:00:00,1.3832457363509493e-06,0.38687514463752853,1.0
2021-01-03 00:00:00,1.3684436340233722e-06,0.4053966572757592,1.0
2021-01-04 01:00:00,1.1221709750080448e-06,0.4134387194429817,1.0
2021-01-04 02:00:00,1.2743752011155206e-06,0.4071111470949622,1.0
2021-01-04 03:00:00,1.2317923415209696e-06,0.39481077757299166,1.0
2021-01-04 04:00:00,1.0747613429153705e-06,0.39402920443508277,1.0
