Resource,biomass,conventional_hydroelectric,conventional_steam_coal,conventional_steam_coal_5,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,conventional_steam_coal_6,conventional_steam_coal_4,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,small_hydroelectric,solar_photovoltaic,Battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,511680.9589988087,375581.99231691443,4.804810177235032e6,5.21868305855065e6,0.0,2.775168e7,7.157084910537515e6,1.2757278380470121e7,2.745896986220769e6,92817.1050665349,2.3449149920525886e6,3.26561949718197e7,2.436705208983434e6,6199.185181096222,2.5409736118141446e7,94414.0950351456,4.569667855967418e6,5.964443929457288e7,2.1041173033296964e6,94475.01676468592,1.3709663157429206e6,2.479930144008688e6,4.400765741492351e7,2.409698158015138e6,0.0,2.1126182197667896e6,0.0,0.0,163.8,0.0,0.0,108625.99444361418,820.0874672287096,0.0,11592.672,0.0,0.0,0.0,32401.566332624298,0.0,580888.010625838,74033.49537040862,0.0,1.1364594338643597e6,3571.0117989579953,3439.399325849959,3.6812521302503375e6,23512.693754677013,630259.7328964516,1.0410305711849999e6,18361.081181326696,87135.63062612202,0.0,2.2004889090911006e6,2.0807484963831087e6,170310.9923479777,10624.576557991257,5815.471873305288,1.9267991878796656e7,1.880923016739669e7,6.16351839216928e7,0.0,2.257049829236542e6,790944.0998618529,3.578191835180623e8
t1,62.1,12.729599999999998,0.0,0.0,0.0,3168.0,0.0,0.0,586.8000000000001,0.0,545.0804296875,4179.6,193.95999999999987,0.0,1893.0242810362038,0.0,268.05999999999995,7250.4,138.32,0.0,43.54525668430068,266.7600000000001,3321.5639999999994,214.23999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.92999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,2144.792522592,0.0,0.0,0.0,29407.906090000004
t2,62.1,12.682799999999999,0.0,0.0,0.0,3168.0,0.0,0.0,586.8000000000001,0.0,0.0,4179.6,0.0,0.0,2956.7300392760026,0.0,0.0,7250.4,0.0,0.0,0.0,0.0,3321.5639999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,2303.626910724,0.0,0.0,0.0,28858.130750000004
t3,62.1,12.636,0.0,0.0,0.0,3168.0,0.0,0.0,586.8000000000001,0.0,0.0,4179.6,0.0,0.0,2011.397434579998,0.0,0.0,7250.4,0.0,0.0,0.0,0.0,3321.5639999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,2589.9636454200004,0.0,0.0,0.0,28199.088079999998
t4,62.1,12.636,0.0,0.0,0.0,3168.0,0.0,0.0,586.8000000000001,0.0,0.0,4179.6,0.0,0.0,1462.886808354002,0.0,0.0,7250.4,0.0,0.0,0.0,0.0,3321.5639999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,2747.038241646,0.0,0.0,0.0,27807.652050000004
t5,62.1,12.589199999999998,0.0,0.0,0.0,3168.0,0.0,0.0,408.3044318459961,0.0,0.0,4179.6,0.0,0.0,1442.6394953200015,0.0,0.0,7250.4,0.0,0.0,0.0,0.0,3321.5639999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,2754.5423528339998,0.0,0.0,0.0,27616.366479999997
t6,62.1,12.542399999999999,0.0,0.0,0.0,3168.0,0.0,0.0,283.4702604659997,0.0,0.0,4179.6,0.0,0.0,1442.6394953200015,0.0,0.0,7250.4,0.0,0.0,0.0,0.0,3321.5639999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,3038.170574214,0.0,0.0,0.0,27775.11373
t7,62.1,12.542399999999999,0.0,0.0,0.0,3168.0,0.0,0.0,84.76,0.0,0.0,4179.6,0.0,0.0,1442.6394953200015,0.0,0.0,7250.4,0.0,0.0,0.0,0.0,3321.5639999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,3823.28199468,0.0,0.0,0.0,28361.514890000002
t8,62.1,12.4956,0.0,0.0,0.0,3168.0,0.0,0.0,153.41322153800138,0.0,0.0,4179.6,0.0,0.0,1442.6394953200015,0.0,0.0,7250.4,0.0,0.0,0.0,0.0,3321.5639999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,4430.577899142,0.0,0.633964,0.0,29038.051180000002
