NG,Time_Index,coal,Date,None,uranium
0.05306,0,0.095488,0.0,0.0,0.0
2.279,1,1.708063355,2016-01-01 00:00:00,0.0,0.705536
2.279,2,1.708063355,2016-01-01 01:00:00,0.0,0.705536
2.279,3,1.708063355,2016-01-01 02:00:00,0.0,0.705536
2.279,4,1.708063355,2016-01-01 03:00:00,0.0,0.705536
2.279,5,1.708063355,2016-01-01 04:00:00,0.0,0.705536
2.279,6,1.708063355,2016-01-01 05:00:00,0.0,0.705536
2.279,7,1.708063355,2016-01-01 06:00:00,0.0,0.705536
2.279,8,1.708063355,2016-01-01 07:00:00,0.0,0.705536
2.279,9,1.708063355,2016-01-01 08:00:00,0.0,0.705536
2.279,10,1.708063355,2016-01-01 09:00:00,0.0,0.705536
2.279,11,1.708063355,2016-01-01 10:00:00,0.0,0.705536
2.279,12,1.708063355,2016-01-01 11:00:00,0.0,0.705536
2.279,13,1.708063355,2016-01-01 12:00:00,0.0,0.705536
2.279,14,1.708063355,2016-01-01 13:00:00,0.0,0.705536
2.279,15,1.708063355,2016-01-01 14:00:00,0.0,0.705536
2.279,16,1.708063355,2016-01-01 15:00:00,0.0,0.705536
2.279,17,1.708063355,2016-01-01 16:00:00,0.0,0.705536
2.279,18,1.708063355,2016-01-01 17:00:00,0.0,0.705536
2.279,19,1.708063355,2016-01-01 18:00:00,0.0,0.705536
2.279,20,1.708063355,2016-01-01 19:00:00,0.0,0.705536
2.279,21,1.708063355,2016-01-01 20:00:00,0.0,0.705536
2.279,22,1.708063355,2016-01-01 21:00:00,0.0,0.705536
2.279,23,1.708063355,2016-01-01 22:00:00,0.0,0.705536
2.279,24,1.708063355,2016-01-01 23:00:00,0.0,0.705536
2.279,25,1.708063355,2016-01-02 00:00:00,0.0,0.705536
2.279,26,1.708063355,2016-01-02 01:00:00,0.0,0.705536
2.279,27,1.708063355,2016-01-02 02:00:00,0.0,0.705536
2.279,28,1.708063355,2016-01-02 03:00:00,0.0,0.705536
2.279,29,1.708063355,2016-01-02 04:00:00,0.0,0.705536
2.279,30,1.708063355,2016-01-02 05:00:00,0.0,0.705536
2.279,31,1.708063355,2016-01-02 06:00:00,0.0,0.705536
2.279,32,1.708063355,2016-01-02 07:00:00,0.0,0.705536
2.279,33,1.708063355,2016-01-02 08:00:00,0.0,0.705536
2.279,34,1.708063355,2016-01-02 09:00:00,0.0,0.705536
2.279,35,1.708063355,2016-01-02 10:00:00,0.0,0.705536
2.279,36,1.708063355,2016-01-02 11:00:00,0.0,0.705536
2.279,37,1.708063355,2016-01-02 12:00:00,0.0,0.705536
2.279,38,1.708063355,2016-01-02 13:00:00,0.0,0.705536
2.279,39,1.708063355,2016-01-02 14:00:00,0.0,0.705536
2.279,40,1.708063355,2016-01-02 15:00:00,0.0,0.705536
2.279,41,1.708063355,2016-01-02 16:00:00,0.0,0.705536
2.279,42,1.708063355,2016-01-02 17:00:00,0.0,0.705536
2.279,43,1.708063355,2016-01-02 18:00:00,0.0,0.705536
2.279,44,1.708063355,2016-01-02 19:00:00,0.0,0.705536
2.279,45,1.708063355,2016-01-02 20:00:00,0.0,0.705536
2.279,46,1.708063355,2016-01-02 21:00:00,0.0,0.705536
2.279,47,1.708063355,2016-01-02 22:00:00,0.0,0.705536
2.279,48,1.708063355,2016-01-02 23:00:00,0.0,0.705536
2.279,49,1.708063355,2016-01-03 00:00:00,0.0,0.705536
2.279,50,1.708063355,2016-01-03 01:00:00,0.0,0.705536
2.279,51,1.708063355,2016-01-03 02:00:00,0.0,0.705536
2.279,52,1.708063355,2016-01-03 03:00:00,0.0,0.705536
2.279,53,1.708063355,2016-01-03 04:00:00,0.0,0.705536
2.279,54,1.708063355,2016-01-03 05:00:00,0.0,0.705536
2.279,55,1.708063355,2016-01-03 06:00:00,0.0,0.705536
2.279,56,1.708063355,2016-01-03 07:00:00,0.0,0.705536
2.279,57,1.708063355,2016-01-03 08:00:00,0.0,0.705536
2.279,58,1.708063355,2016-01-03 09:00:00,0.0,0.705536
2.279,59,1.708063355,2016-01-03 10:00:00,0.0,0.705536
2.279,60,1.708063355,2016-01-03 11:00:00,0.0,0.705536
2.279,61,1.708063355,2016-01-03 12:00:00,0.0,0.705536
2.279,62,1.708063355,2016-01-03 13:00:00,0.0,0.705536
2.279,63,1.708063355,2016-01-03 14:00:00,0.0,0.705536
2.279,64,1.708063355,2016-01-03 15:00:00,0.0,0.705536
2.279,65,1.708063355,2016-01-03 16:00:00,0.0,0.705536
2.279,66,1.708063355,2016-01-03 17:00:00,0.0,0.705536
2.279,67,1.708063355,2016-01-03 18:00:00,0.0,0.705536
2.279,68,1.708063355,2016-01-03 19:00:00,0.0,0.705536
2.279,69,1.708063355,2016-01-03 20:00:00,0.0,0.705536
2.279,70,1.708063355,2016-01-03 21:00:00,0.0,0.705536
2.279,71,1.708063355,2016-01-03 22:00:00,0.0,0.705536
2.279,72,1.708063355,2016-01-03 23:00:00,0.0,0.705536
2.317,73,1.717062635,2016-01-04 00:00:00,0.0,0.705536
2.317,74,1.717062635,2016-01-04 01:00:00,0.0,0.705536
2.317,75,1.717062635,2016-01-04 02:00:00,0.0,0.705536
2.317,76,1.717062635,2016-01-04 03:00:00,0.0,0.705536
2.317,77,1.717062635,2016-01-04 04:00:00,0.0,0.705536
