Time_Index,Wind-onshore_1
1,0.64206591
2,0.653272892
3,0.618441861
4,0.502230262
5,0.620532165
6,0.537836092
7,0.518928402
8,0.472893898
9,0.541272207
10,0.612459535
11,0.57556562
12,0.577543388
13,0.483354335
14,0.462752094
15,0.478750109
16,0.363398827
17,0.293366556
18,0.227683408
19,0.3167745
20,0.282536693
21,0.310290888
22,0.339022268
23,0.362850307
24,0.277949154
25,0.495900269
26,0.378789402
27,0.304554303
28,0.293522267
29,0.230017123
30,0.256660483
31,0.358276691
32,0.387414273
33,0.393052587
34,0.269184196
35,0.218803385
36,0.236297924
37,0.219815823
38,0.176993246
39,0.230432564
40,0.203205468
41,0.16688224
42,0.199763778
43,0.307539024
44,0.348788919
45,0.279893495
46,0.405606178
47,0.366744718
48,0.328068301
49,0.440112687
50,0.404571399
51,0.38204279
52,0.341001903
53,0.258046292
54,0.240861414
55,0.293997336
56,0.33326028
57,0.349287925
58,0.193040106
59,0.107027708
60,0.105073804
61,0.1118714
62,0.061592887
63,0.062897255
64,0.055927726
65,0.06862419
66,0.08334961
67,0.139290163
68,0.247573533
69,0.331444166
70,0.278796977
71,0.348316087
72,0.330446058
73,0.254001009
74,0.375201571
75,0.473423697
76,0.404764941
77,0.367675686
78,0.362547121
79,0.372933044
80,0.390870785
81,0.369896306
82,0.35209711
83,0.257509357
84,0.240897462
85,0.418429648
86,0.417030428
87,0.421735793
88,0.434241072
89,0.354642314
90,0.351573403
91,0.399262902
92,0.423587804
93,0.420108266
94,0.385713291
95,0.465403426
96,0.539884412
97,0.469884109
98,0.449414601
99,0.451231107
100,0.440193143
101,0.422931671
102,0.326434432
103,0.345516889
104,0.27757116
105,0.164187115
106,0.142310021
107,0.136905599
108,0.134428374
109,0.21876929
110,0.253735761
111,0.345383221
112,0.31808006
113,0.236178793
114,0.169528417
115,0.227881247
116,0.214794143
117,0.291358889
118,0.256494521
119,0.232769164
120,0.259009605
121,0.264552952
122,0.30168949
123,0.294812734
124,0.340543877
125,0.242082764
126,0.208181476
127,0.165792861
128,0.259401318
129,0.148910753
130,0.229000482
131,0.313002379
132,0.405980647
133,0.415349032
134,0.529975716
135,0.628798656
136,0.644549422
137,0.589781196
138,0.523529995
139,0.502981744
140,0.504265967
141,0.477292508
142,0.44777342
143,0.530452275
144,0.44687295
145,0.462040662
146,0.470812333
147,0.491958459
148,0.505815638
149,0.4680459
150,0.432577742
151,0.457270592
152,0.454297596
153,0.43579014
154,0.376029197
155,0.350995583
156,0.306906448
157,0.271733331
158,0.218215516
159,0.216540295
160,0.254249886
161,0.200688921
162,0.150837395
163,0.089701758
164,0.073130835
165,0.029343114
166,0.026804633
167,0.004813005
168,0.058533573
169,0.105697405
170,0.16757459
171,0.16419617
172,0.132158128
173,0.075319768
174,0.078595011
175,0.15960228
176,0.218053344
177,0.203610885
178,0.238685953
179,0.163067888
180,0.172953062
181,0.180270753
182,0.136900046
183,0.20611026
184,0.224950648
185,0.25809381
186,0.377258542
187,0.377580844
188,0.421310192
189,0.441950442
190,0.422109817
191,0.413188021
192,0.520348946
193,0.361915149
194,0.344762238
195,0.370156244
196,0.392711131
197,0.388278118
198,0.422227524
199,0.455362367
200,0.431214456
201,0.431141286
202,0.370896522
203,0.247468796
204,0.285982916
205,0.297954701
206,0.389116967
207,0.441125552
208,0.343236162
209,0.40854034
210,0.310889426
211,0.435155811
212,0.49087118
213,0.507212785
214,0.554604264
215,0.590043735
216,0.477345865
217,0.454735978
218,0.435337363
219,0.4365413
220,0.449108415
221,0.507265994
222,0.504478325
223,0.618775094
224,0.652401535
225,0.601662969
226,0.684491349
