BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
t1648,40159.05242,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40159.05242
t1649,40248.29007,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40248.29007
t1650,40344.982079999994,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40344.98208
t1651,40861.22863,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40861.22863
t1652,41185.448300000004,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41185.4483
t1653,40434.75236,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40434.75236
t1654,39122.38234,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39122.38234
t1655,37123.77705999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37123.77706
t1656,34827.69864,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34827.69864
t1657,33007.77982,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33007.77982
t1658,31790.472370000003,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31790.47237
t1659,31092.887170000005,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31092.88717
t1660,30796.7304,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30796.7304
t1661,31139.531760000005,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31139.53176
t1662,32449.044640000004,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32449.044639999996
t1663,34830.3015,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34830.3015
t1664,36183.71754,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36183.71754
t1665,37286.26911000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37286.26911
t1666,38366.97562,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38366.97562
t1667,39306.42277999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39306.42278
t1668,40165.42679,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40165.42679
t1669,40693.46848000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40693.46848
t1670,40444.10701,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41170.10701
t1671,40658.70973999999,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41384.70974
t1672,40658.48068034115,689.3004296588556,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41347.78111
t1673,41200.69441014276,90.63481985723698,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41291.32923
t1674,41158.43493,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41158.43493
t1675,41557.500289999996,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41557.50029
t1676,41519.05841512476,437.88192487523946,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41956.94034
t1677,41107.51019,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41107.51019
t1678,39773.738249999995,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39773.73825
t1679,37753.62804,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37753.62804
t1680,35578.65572,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35578.65572
t1681,33662.09122000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33662.09122
t1682,32354.03669,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32354.03669
t1683,31559.78923,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31559.78923
t1684,31174.96849,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31174.96849
