,0,1,2,3,4,5
0,6346.518503698044,2150.640341225184,1126.0895790195514,1608.4739295055851,1424.2479689738643,3689.375919154855
1,5701.1037719169535,1994.445690287966,1044.3594837011524,1477.3514562858,1326.9988410460733,3337.1511098735086
2,5427.949620559155,1955.9336328431523,1024.6934175051013,1419.241952253969,1295.391836811636,3188.294154276512
3,5181.564314107281,1923.753725262758,981.7141585878585,1366.1045973238713,1240.874486554503,3070.1346002819005
4,4965.967538074279,1947.8106856164636,994.5883136854936,1338.032580699813,1225.4372814935928,2982.910059176424
5,5101.500072775272,2051.4286097128866,1041.3068675304266,1398.162747231645,1314.915686226299,3095.6511327144894
6,5232.791429146329,2198.753157258337,1094.7716574376336,1460.9478027930568,1430.903445637775,3226.403811993549
7,5529.055849701612,2407.24517119886,1155.1418187715167,1575.8191333327004,1556.400831091624,3396.3872099995456
8,5630.34666455683,2489.882194968263,1237.6861026972886,1660.3676834793982,1602.0085332988701,3399.688941966099
9,6179.1725477580085,2697.003575549311,1318.9122624434858,1823.1196932946573,1729.2060805184742,3653.0193246038407
10,6572.462760614536,2830.5175366491912,1433.9325200816888,1957.214768168769,1771.6933661338721,3868.0676913998755
11,7244.874291181031,2919.2584925931606,1523.6992667599561,2111.013786784328,1895.1511820604337,4227.80228105991
12,7942.676747489079,3043.3762164089912,1579.115022270657,2219.2618661171236,1952.6634025375793,4554.438920998192
13,8042.166534766469,2998.310867157146,1512.4730148505491,2205.6612811392997,1926.825961314307,4542.422133513028
14,8249.046565506254,2906.3815411474416,1471.3925584157182,2184.747881579801,1837.8388927961396,4615.770523700007
15,8254.293250736404,2939.1180389198703,1456.0671947564474,2165.389646873783,1814.6166872677238,4608.944827570054
16,8487.501556310035,3064.7084211381925,1509.2153680490856,2239.774236738869,1920.2447897137224,4756.05106370064
17,8481.504100977627,3215.2556419752864,1562.2583854848376,2318.3986327741686,2019.7384264733162,4775.519819794293
18,10055.407316417459,3571.3135206785983,1744.5964408870618,2628.024592346637,2280.502590732433,5697.853312869889
19,10035.583126569754,3492.9968256329566,1716.4449602087575,2571.631461004524,2259.019944013625,5677.316723605088
20,9495.452052347126,3294.736800959784,1609.6636742999485,2420.566305629881,2139.997352334705,5393.5377662264855
21,8984.560375912224,3082.482367836979,1540.8872069383847,2262.0433033690038,2034.1744873726423,5090.399866636231
22,8275.494898848941,2864.0830304293495,1425.634467006352,2077.012087023496,1871.2504982090484,4692.2473718821275
23,7262.166558286957,2483.1935558183964,1248.8839923187804,1774.640423009755,1629.43722425856,4148.409389167553
24,5746.286130616261,2039.4347065977663,1042.1516950423397,1458.3739820889232,1418.4232032909626,3410.2937488008815
