,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,127595.07220652336,74804.47912080838,12796.698190376937,37801.823451861965,58437.521438630196,51746.28290259746,81898.43895106054,7734.36914742906,48843.323911808824,43169.819135751226,275499.20240662567,51417.73270472028,0.0,16524.150990110236,115362.45223106717,0.0,0.0,0.0,0.0,0.0,95472.70509032092,70848.07405187424,21862.758538239104
1,122256.96320639012,71674.9345675615,12261.331356840654,36220.33405340606,49019.36574839485,43406.52897789627,68699.17536425084,7537.663595508381,47601.10844412501,42071.895964830874,268492.5258916941,50110.04318313157,0.0,14096.801165870329,98416.04280194966,0.0,0.0,0.0,0.0,0.0,83905.90078658954,61906.32490721114,19103.45554976071
2,129779.14237696391,76084.92223383595,13015.741812629803,38448.88476513775,63292.28400918895,56045.16333449422,88702.24353104,7925.103181679857,50047.82864106841,44234.41194282923,282293.17271063675,52685.72384968138,0.0,17022.55065319166,118842.00209469545,0.0,0.0,0.0,0.0,0.0,107626.09231927157,74773.32501496498,23074.037957708
3,121289.69560864434,71107.85977722246,12164.32266125679,35933.76750872391,43460.385028769946,38484.0650902058,60908.43010524051,7380.144611268964,46606.36011716903,41192.694839251904,262881.67984922323,49062.864173033035,0.0,13393.355752683034,93504.97730003358,0.0,0.0,0.0,0.0,0.0,81651.09255158826,56650.37137235378,17481.539293622893
4,117090.32743173037,68645.91870318083,11743.161826273586,34689.64599456286,38372.124127420124,33978.4224551056,53777.38459651034,7258.175114114769,45836.11039889135,40511.91518782094,258537.11101065317,48252.01652880233,0.0,12366.827110325648,86338.32398521865,0.0,0.0,0.0,0.0,0.0,71347.88171830094,51485.88422830175,15887.848330032575
5,114164.80370324476,66930.78758659102,11449.756731901121,33822.91870191752,33962.15222933589,30073.403080346154,47596.940844281096,7123.644340378222,44986.53494775006,39761.024060219424,253745.10791937524,47357.662091783466,0.0,11533.011657083847,80517.08721174063,0.0,0.0,0.0,0.0,0.0,67314.31672451155,47307.937458739776,14598.590398452525
6,117838.16934917506,69084.35197596907,11818.163996390023,34911.20461469036,39478.14086002244,34957.7975779939,55327.43397615435,7273.782456659717,45934.672346581545,40599.028453558865,259093.04651629808,48355.77342893347,0.0,12557.549199710134,87669.83977318232,0.0,0.0,0.0,0.0,0.0,72916.26093816542,52644.05941927177,16245.245547727114
7,120129.94196154049,70427.93722237927,12048.009255570123,35590.17428167113,43212.69471233418,38264.735918280196,60561.2995329645,7377.802380418362,46591.56869230536,41179.62154519685,262798.24929155357,49047.293129355996,0.0,13391.176682221116,93489.76423933101,0.0,0.0,0.0,0.0,0.0,80199.0731007085,56585.0516820703,17461.382519630493
8,130605.99096876766,76569.67432615455,13098.667678773949,38693.85021676738,56770.23543575182,50269.90520791562,79561.78747168368,7668.461331866561,48427.109386425196,42801.95093302763,273151.55772174953,50979.58055822348,0.0,16147.510804030668,112732.95946614935,0.0,0.0,0.0,0.0,0.0,100121.6847500482,68725.83019157653,21207.86275316841
9,141327.0083473587,82855.02772407078,14173.894341646605,41870.10145563868,81806.5874560632,72439.53394298433,114649.48621410994,8465.32473420623,53459.3824176239,47249.68911298478,301535.93239884696,56277.092047870276,0.0,20546.93549271951,143447.30120732574,0.0,0.0,0.0,0.0,0.0,157990.58303285955,92699.90962686704,28605.939791741825
10,148239.93780586138,86907.83382699915,14867.202244232689,43918.15342509501,97454.52107085804,86295.74104654178,136579.5972850829,9016.1265219087,56937.75145007404,50324.02046458157,321155.56139555894,59938.797166093354,0.0,22955.276143634626,160260.9991373202,0.0,0.0,0.0,0.0,0.0,197891.32481535224,107964.02297287414,33316.23896147964
