Closing price,Date
2.511,4/5/2021
2.639,4/2/2021
2.639,4/1/2021
2.608,3/31/2021
2.623,3/30/2021
2.586,3/29/2021
2.557,3/26/2021
2.57,3/25/2021
2.518,3/24/2021
2.508,3/23/2021
2.582,3/22/2021
2.535,3/19/2021
2.481,3/18/2021
2.528,3/17/2021
2.562,3/16/2021
2.484,3/15/2021
2.6,3/12/2021
2.668,3/11/2021
2.692,3/10/2021
2.662,3/9/2021
2.664,3/8/2021
2.701,3/5/2021
2.746,3/4/2021
2.816,3/3/2021
2.839,3/2/2021
2.777,3/1/2021
2.771,2/26/2021
2.777,2/25/2021
2.854,2/24/2021
2.879,2/23/2021
2.953,2/22/2021
3.069,2/19/2021
3.082,2/18/2021
3.219,2/17/2021
3.129,2/16/2021
2.912,2/12/2021
2.868,2/11/2021
2.911,2/10/2021
2.835,2/9/2021
2.882,2/8/2021
2.863,2/5/2021
2.935,2/4/2021
2.789,2/3/2021
2.845,2/2/2021
2.85,2/1/2021
2.564,1/29/2021
2.664,1/28/2021
2.76,1/27/2021
2.656,1/26/2021
2.602,1/25/2021
2.446,1/22/2021
2.491,1/21/2021
2.539,1/20/2021
2.546,1/19/2021
2.737,1/15/2021
2.666,1/14/2021
2.727,1/13/2021
2.753,1/12/2021
2.747,1/11/2021
2.7,1/8/2021
2.729,1/7/2021
2.716,1/6/2021
2.702,1/5/2021
2.581,1/4/2021
2.54,1/1/2021
