NG,Time_Index,coal,Date,None,uranium
0.05306,0,0.095488,0.0,0.0,0.0
2.36,1,2.483801296,2021-01-01 00:00:00,0.0,0.705536
2.36,2,2.483801296,2021-01-01 01:00:00,0.0,0.705536
2.36,3,2.483801296,2021-01-01 02:00:00,0.0,0.705536
2.36,4,2.483801296,2021-01-01 03:00:00,0.0,0.705536
2.36,5,2.483801296,2021-01-01 04:00:00,0.0,0.705536
2.36,6,2.483801296,2021-01-01 05:00:00,0.0,0.705536
2.36,7,2.483801296,2021-01-01 06:00:00,0.0,0.705536
2.36,8,2.483801296,2021-01-01 07:00:00,0.0,0.705536
2.36,9,2.483801296,2021-01-01 08:00:00,0.0,0.705536
2.36,10,2.483801296,2021-01-01 09:00:00,0.0,0.705536
2.36,11,2.483801296,2021-01-01 10:00:00,0.0,0.705536
2.36,12,2.483801296,2021-01-01 11:00:00,0.0,0.705536
2.36,13,2.483801296,2021-01-01 12:00:00,0.0,0.705536
2.36,14,2.483801296,2021-01-01 13:00:00,0.0,0.705536
2.36,15,2.483801296,2021-01-01 14:00:00,0.0,0.705536
2.36,16,2.483801296,2021-01-01 15:00:00,0.0,0.705536
2.36,17,2.483801296,2021-01-01 16:00:00,0.0,0.705536
2.36,18,2.483801296,2021-01-01 17:00:00,0.0,0.705536
2.36,19,2.483801296,2021-01-01 18:00:00,0.0,0.705536
2.36,20,2.483801296,2021-01-01 19:00:00,0.0,0.705536
2.36,21,2.483801296,2021-01-01 20:00:00,0.0,0.705536
2.36,22,2.483801296,2021-01-01 21:00:00,0.0,0.705536
2.36,23,2.483801296,2021-01-01 22:00:00,0.0,0.705536
2.36,24,2.483801296,2021-01-01 23:00:00,0.0,0.705536
2.36,25,2.483801296,2021-01-02 00:00:00,0.0,0.705536
2.36,26,2.483801296,2021-01-02 01:00:00,0.0,0.705536
2.36,27,2.483801296,2021-01-02 02:00:00,0.0,0.705536
2.36,28,2.483801296,2021-01-02 03:00:00,0.0,0.705536
2.36,29,2.483801296,2021-01-02 04:00:00,0.0,0.705536
2.36,30,2.483801296,2021-01-02 05:00:00,0.0,0.705536
2.36,31,2.483801296,2021-01-02 06:00:00,0.0,0.705536
2.36,32,2.483801296,2021-01-02 07:00:00,0.0,0.705536
2.36,33,2.483801296,2021-01-02 08:00:00,0.0,0.705536
2.36,34,2.483801296,2021-01-02 09:00:00,0.0,0.705536
2.36,35,2.483801296,2021-01-02 10:00:00,0.0,0.705536
2.36,36,2.483801296,2021-01-02 11:00:00,0.0,0.705536
2.36,37,2.483801296,2021-01-02 12:00:00,0.0,0.705536
2.36,38,2.483801296,2021-01-02 13:00:00,0.0,0.705536
2.36,39,2.483801296,2021-01-02 14:00:00,0.0,0.705536
2.36,40,2.483801296,2021-01-02 15:00:00,0.0,0.705536
2.36,41,2.483801296,2021-01-02 16:00:00,0.0,0.705536
2.36,42,2.483801296,2021-01-02 17:00:00,0.0,0.705536
2.36,43,2.483801296,2021-01-02 18:00:00,0.0,0.705536
2.36,44,2.483801296,2021-01-02 19:00:00,0.0,0.705536
2.36,45,2.483801296,2021-01-02 20:00:00,0.0,0.705536
2.36,46,2.483801296,2021-01-02 21:00:00,0.0,0.705536
2.36,47,2.483801296,2021-01-02 22:00:00,0.0,0.705536
2.36,48,2.483801296,2021-01-02 23:00:00,0.0,0.705536
2.36,49,2.483801296,2021-01-03 00:00:00,0.0,0.705536
2.36,50,2.483801296,2021-01-03 01:00:00,0.0,0.705536
2.36,51,2.483801296,2021-01-03 02:00:00,0.0,0.705536
2.36,52,2.483801296,2021-01-03 03:00:00,0.0,0.705536
2.36,53,2.483801296,2021-01-03 04:00:00,0.0,0.705536
2.36,54,2.483801296,2021-01-03 05:00:00,0.0,0.705536
2.36,55,2.483801296,2021-01-03 06:00:00,0.0,0.705536
2.36,56,2.483801296,2021-01-03 07:00:00,0.0,0.705536
2.36,57,2.483801296,2021-01-03 08:00:00,0.0,0.705536
2.36,58,2.483801296,2021-01-03 09:00:00,0.0,0.705536
2.36,59,2.483801296,2021-01-03 10:00:00,0.0,0.705536
2.36,60,2.483801296,2021-01-03 11:00:00,0.0,0.705536
2.36,61,2.483801296,2021-01-03 12:00:00,0.0,0.705536
2.36,62,2.483801296,2021-01-03 13:00:00,0.0,0.705536
2.36,63,2.483801296,2021-01-03 14:00:00,0.0,0.705536
2.36,64,2.483801296,2021-01-03 15:00:00,0.0,0.705536
2.36,65,2.483801296,2021-01-03 16:00:00,0.0,0.705536
2.36,66,2.483801296,2021-01-03 17:00:00,0.0,0.705536
2.36,67,2.483801296,2021-01-03 18:00:00,0.0,0.705536
2.36,68,2.483801296,2021-01-03 19:00:00,0.0,0.705536
2.36,69,2.483801296,2021-01-03 20:00:00,0.0,0.705536
2.36,70,2.483801296,2021-01-03 21:00:00,0.0,0.705536
2.36,71,2.483801296,2021-01-03 22:00:00,0.0,0.705536
2.36,72,2.483801296,2021-01-03 23:00:00,0.0,0.705536
2.387,73,2.494600432,2021-01-04 00:00:00,0.0,0.705536
2.387,74,2.494600432,2021-01-04 01:00:00,0.0,0.705536
2.387,75,2.494600432,2021-01-04 02:00:00,0.0,0.705536
2.387,76,2.494600432,2021-01-04 03:00:00,0.0,0.705536
2.387,77,2.494600432,2021-01-04 04:00:00,0.0,0.705536
2.387,78,2.494600432,2021-01-04 05:00:00,0.0,0.705536
2.387,79,2.494600432,2021-01-04 06:00:00,0.0,0.705536
2.387,80,2.494600432,2021-01-04 07:00:00,0.0,0.705536
2.387,81,2.494600432,2021-01-04 08:00:00,0.0,0.705536
2.387,82,2.494600432,2021-01-04 09:00:00,0.0,0.705536
2.387,83,2.494600432,2021-01-04 10:00:00,0.0,0.705536
2.387,84,2.494600432,2021-01-04 11:00:00,0.0,0.705536
2.387,85,2.494600432,2021-01-04 12:00:00,0.0,0.705536
2.387,86,2.494600432,2021-01-04 13:00:00,0.0,0.705536
2.387,87,2.494600432,2021-01-04 14:00:00,0.0,0.705536
2.387,88,2.494600432,2021-01-04 15:00:00,0.0,0.705536
2.387,89,2.494600432,2021-01-04 16:00:00,0.0,0.705536
2.387,90,2.494600432,2021-01-04 17:00:00,0.0,0.705536
2.387,91,2.494600432,2021-01-04 18:00:00,0.0,0.705536
2.387,92,2.494600432,2021-01-04 19:00:00,0.0,0.705536
2.387,93,2.494600432,2021-01-04 20:00:00,0.0,0.705536
2.387,94,2.494600432,2021-01-04 21:00:00,0.0,0.705536
2.387,95,2.494600432,2021-01-04 22:00:00,0.0,0.705536
2.387,96,2.494600432,2021-01-04 23:00:00,0.0,0.705536
2.596,97,2.336213103,2021-01-05 00:00:00,0.0,0.705536
2.596,98,2.336213103,2021-01-05 01:00:00,0.0,0.705536
2.596,99,2.336213103,2021-01-05 02:00:00,0.0,0.705536
2.596,100,2.336213103,2021-01-05 03:00:00,0.0,0.705536
2.596,101,2.336213103,2021-01-05 04:00:00,0.0,0.705536
2.596,102,2.336213103,2021-01-05 05:00:00,0.0,0.705536
2.596,103,2.336213103,2021-01-05 06:00:00,0.0,0.705536
2.596,104,2.336213103,2021-01-05 07:00:00,0.0,0.705536
2.596,105,2.336213103,2021-01-05 08:00:00,0.0,0.705536
2.596,106,2.336213103,2021-01-05 09:00:00,0.0,0.705536
2.596,107,2.336213103,2021-01-05 10:00:00,0.0,0.705536
2.596,108,2.336213103,2021-01-05 11:00:00,0.0,0.705536
2.596,109,2.336213103,2021-01-05 12:00:00,0.0,0.705536
2.596,110,2.336213103,2021-01-05 13:00:00,0.0,0.705536
2.596,111,2.336213103,2021-01-05 14:00:00,0.0,0.705536
2.596,112,2.336213103,2021-01-05 15:00:00,0.0,0.705536
2.596,113,2.336213103,2021-01-05 16:00:00,0.0,0.705536
2.596,114,2.336213103,2021-01-05 17:00:00,0.0,0.705536
2.596,115,2.336213103,2021-01-05 18:00:00,0.0,0.705536
2.596,116,2.336213103,2021-01-05 19:00:00,0.0,0.705536
2.596,117,2.336213103,2021-01-05 20:00:00,0.0,0.705536
2.596,118,2.336213103,2021-01-05 21:00:00,0.0,0.705536
2.596,119,2.336213103,2021-01-05 22:00:00,0.0,0.705536
2.596,120,2.336213103,2021-01-05 23:00:00,0.0,0.705536
2.77,121,2.312814975,2021-01-06 00:00:00,0.0,0.705536
2.77,122,2.312814975,2021-01-06 01:00:00,0.0,0.705536
2.77,123,2.312814975,2021-01-06 02:00:00,0.0,0.705536
2.77,124,2.312814975,2021-01-06 03:00:00,0.0,0.705536
2.77,125,2.312814975,2021-01-06 04:00:00,0.0,0.705536
2.77,126,2.312814975,2021-01-06 05:00:00,0.0,0.705536
2.77,127,2.312814975,2021-01-06 06:00:00,0.0,0.705536
2.77,128,2.312814975,2021-01-06 07:00:00,0.0,0.705536
2.77,129,2.312814975,2021-01-06 08:00:00,0.0,0.705536
2.77,130,2.312814975,2021-01-06 09:00:00,0.0,0.705536
2.77,131,2.312814975,2021-01-06 10:00:00,0.0,0.705536
2.77,132,2.312814975,2021-01-06 11:00:00,0.0,0.705536
