NG,Time_Index,coal,Date,None,uranium
3.408,82,3.030957523,2017-01-04 09:00:00,0.0,0.705536
3.408,83,3.030957523,2017-01-04 10:00:00,0.0,0.705536
3.408,84,3.030957523,2017-01-04 11:00:00,0.0,0.705536
3.408,85,3.030957523,2017-01-04 12:00:00,0.0,0.705536
3.408,86,3.030957523,2017-01-04 13:00:00,0.0,0.705536
3.408,87,3.030957523,2017-01-04 14:00:00,0.0,0.705536
3.408,88,3.030957523,2017-01-04 15:00:00,0.0,0.705536
3.408,89,3.030957523,2017-01-04 16:00:00,0.0,0.705536
3.408,90,3.030957523,2017-01-04 17:00:00,0.0,0.705536
3.408,91,3.030957523,2017-01-04 18:00:00,0.0,0.705536
3.408,92,3.030957523,2017-01-04 19:00:00,0.0,0.705536
3.408,93,3.030957523,2017-01-04 20:00:00,0.0,0.705536
3.408,94,3.030957523,2017-01-04 21:00:00,0.0,0.705536
3.408,95,3.030957523,2017-01-04 22:00:00,0.0,0.705536
3.408,96,3.030957523,2017-01-04 23:00:00,0.0,0.705536
3.418,97,3.08675306,2017-01-05 00:00:00,0.0,0.705536
3.418,98,3.08675306,2017-01-05 01:00:00,0.0,0.705536
3.418,99,3.08675306,2017-01-05 02:00:00,0.0,0.705536
3.418,100,3.08675306,2017-01-05 03:00:00,0.0,0.705536
3.418,101,3.08675306,2017-01-05 04:00:00,0.0,0.705536
3.418,102,3.08675306,2017-01-05 05:00:00,0.0,0.705536
3.418,103,3.08675306,2017-01-05 06:00:00,0.0,0.705536
3.418,104,3.08675306,2017-01-05 07:00:00,0.0,0.705536
3.418,105,3.08675306,2017-01-05 08:00:00,0.0,0.705536
3.418,106,3.08675306,2017-01-05 09:00:00,0.0,0.705536
3.418,107,3.08675306,2017-01-05 10:00:00,0.0,0.705536
3.418,108,3.08675306,2017-01-05 11:00:00,0.0,0.705536
3.418,109,3.08675306,2017-01-05 12:00:00,0.0,0.705536
3.418,110,3.08675306,2017-01-05 13:00:00,0.0,0.705536
3.418,111,3.08675306,2017-01-05 14:00:00,0.0,0.705536
3.418,112,3.08675306,2017-01-05 15:00:00,0.0,0.705536
3.418,113,3.08675306,2017-01-05 16:00:00,0.0,0.705536
3.418,114,3.08675306,2017-01-05 17:00:00,0.0,0.705536
3.418,115,3.08675306,2017-01-05 18:00:00,0.0,0.705536
3.418,116,3.08675306,2017-01-05 19:00:00,0.0,0.705536
3.418,117,3.08675306,2017-01-05 20:00:00,0.0,0.705536
3.418,118,3.08675306,2017-01-05 21:00:00,0.0,0.705536
3.418,119,3.08675306,2017-01-05 22:00:00,0.0,0.705536
3.418,120,3.08675306,2017-01-05 23:00:00,0.0,0.705536
3.319,121,3.05075594,2017-01-06 00:00:00,0.0,0.705536
3.319,122,3.05075594,2017-01-06 01:00:00,0.0,0.705536
3.319,123,3.05075594,2017-01-06 02:00:00,0.0,0.705536
3.319,124,3.05075594,2017-01-06 03:00:00,0.0,0.705536
3.319,125,3.05075594,2017-01-06 04:00:00,0.0,0.705536
3.319,126,3.05075594,2017-01-06 05:00:00,0.0,0.705536
3.319,127,3.05075594,2017-01-06 06:00:00,0.0,0.705536
3.319,128,3.05075594,2017-01-06 07:00:00,0.0,0.705536
3.319,129,3.05075594,2017-01-06 08:00:00,0.0,0.705536
3.319,130,3.05075594,2017-01-06 09:00:00,0.0,0.705536
3.319,131,3.05075594,2017-01-06 10:00:00,0.0,0.705536
3.319,132,3.05075594,2017-01-06 11:00:00,0.0,0.705536
3.319,133,3.05075594,2017-01-06 12:00:00,0.0,0.705536
3.319,134,3.05075594,2017-01-06 13:00:00,0.0,0.705536
3.319,135,3.05075594,2017-01-06 14:00:00,0.0,0.705536
3.319,136,3.05075594,2017-01-06 15:00:00,0.0,0.705536
3.319,137,3.05075594,2017-01-06 16:00:00,0.0,0.705536
3.319,138,3.05075594,2017-01-06 17:00:00,0.0,0.705536
3.319,139,3.05075594,2017-01-06 18:00:00,0.0,0.705536
3.319,140,3.05075594,2017-01-06 19:00:00,0.0,0.705536
3.319,141,3.05075594,2017-01-06 20:00:00,0.0,0.705536
3.319,142,3.05075594,2017-01-06 21:00:00,0.0,0.705536
