NG,Time_Index,coal,Date,None,uranium
2.95,82,3.943484521,2012-01-04 09:00:00,0.0,0.705536
2.95,83,3.943484521,2012-01-04 10:00:00,0.0,0.705536
2.95,84,3.943484521,2012-01-04 11:00:00,0.0,0.705536
2.95,85,3.943484521,2012-01-04 12:00:00,0.0,0.705536
2.95,86,3.943484521,2012-01-04 13:00:00,0.0,0.705536
2.95,87,3.943484521,2012-01-04 14:00:00,0.0,0.705536
2.95,88,3.943484521,2012-01-04 15:00:00,0.0,0.705536
2.95,89,3.943484521,2012-01-04 16:00:00,0.0,0.705536
2.95,90,3.943484521,2012-01-04 17:00:00,0.0,0.705536
2.95,91,3.943484521,2012-01-04 18:00:00,0.0,0.705536
2.95,92,3.943484521,2012-01-04 19:00:00,0.0,0.705536
2.95,93,3.943484521,2012-01-04 20:00:00,0.0,0.705536
2.95,94,3.943484521,2012-01-04 21:00:00,0.0,0.705536
2.95,95,3.943484521,2012-01-04 22:00:00,0.0,0.705536
2.95,96,3.943484521,2012-01-04 23:00:00,0.0,0.705536
2.96,97,3.963282937,2012-01-05 00:00:00,0.0,0.705536
2.96,98,3.963282937,2012-01-05 01:00:00,0.0,0.705536
2.96,99,3.963282937,2012-01-05 02:00:00,0.0,0.705536
2.96,100,3.963282937,2012-01-05 03:00:00,0.0,0.705536
2.96,101,3.963282937,2012-01-05 04:00:00,0.0,0.705536
2.96,102,3.963282937,2012-01-05 05:00:00,0.0,0.705536
2.96,103,3.963282937,2012-01-05 06:00:00,0.0,0.705536
2.96,104,3.963282937,2012-01-05 07:00:00,0.0,0.705536
2.96,105,3.963282937,2012-01-05 08:00:00,0.0,0.705536
2.96,106,3.963282937,2012-01-05 09:00:00,0.0,0.705536
2.96,107,3.963282937,2012-01-05 10:00:00,0.0,0.705536
2.96,108,3.963282937,2012-01-05 11:00:00,0.0,0.705536
2.96,109,3.963282937,2012-01-05 12:00:00,0.0,0.705536
2.96,110,3.963282937,2012-01-05 13:00:00,0.0,0.705536
2.96,111,3.963282937,2012-01-05 14:00:00,0.0,0.705536
2.96,112,3.963282937,2012-01-05 15:00:00,0.0,0.705536
2.96,113,3.963282937,2012-01-05 16:00:00,0.0,0.705536
2.96,114,3.963282937,2012-01-05 17:00:00,0.0,0.705536
2.96,115,3.963282937,2012-01-05 18:00:00,0.0,0.705536
2.96,116,3.963282937,2012-01-05 19:00:00,0.0,0.705536
2.96,117,3.963282937,2012-01-05 20:00:00,0.0,0.705536
2.96,118,3.963282937,2012-01-05 21:00:00,0.0,0.705536
2.96,119,3.963282937,2012-01-05 22:00:00,0.0,0.705536
2.96,120,3.963282937,2012-01-05 23:00:00,0.0,0.705536
2.905,121,3.966882649,2012-01-06 00:00:00,0.0,0.705536
2.905,122,3.966882649,2012-01-06 01:00:00,0.0,0.705536
2.905,123,3.966882649,2012-01-06 02:00:00,0.0,0.705536
2.905,124,3.966882649,2012-01-06 03:00:00,0.0,0.705536
2.905,125,3.966882649,2012-01-06 04:00:00,0.0,0.705536
2.905,126,3.966882649,2012-01-06 05:00:00,0.0,0.705536
2.905,127,3.966882649,2012-01-06 06:00:00,0.0,0.705536
2.905,128,3.966882649,2012-01-06 07:00:00,0.0,0.705536
2.905,129,3.966882649,2012-01-06 08:00:00,0.0,0.705536
2.905,130,3.966882649,2012-01-06 09:00:00,0.0,0.705536
2.905,131,3.966882649,2012-01-06 10:00:00,0.0,0.705536
