Resource,biomass,conventional_hydroelectric,conventional_steam_coal,conventional_steam_coal_5,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,conventional_steam_coal_6,conventional_steam_coal_4,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,small_hydroelectric,solar_photovoltaic,Battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,538218.7137783311,389271.24826547265,1.3457511454387665e7,1.444234867951e7,1.8624035625424704e6,2.775168e7,1.6421553590440312e7,3.3398443196967226e7,4.6367002846064055e6,83498.60412072272,1.5422143788159334e6,3.320224741998459e7,1.8741870348770602e6,0.0,2.6047590451948807e7,41986.39468076583,4.297496591438761e6,2.1310238411267646e7,1.8415309980371057e6,81923.67364750605,963817.9531994609,1.8458622425952372e6,4.071288034482921e7,1.952188317512386e6,0.0,1.6889040360498088e6,0.0,0.0,0.0,0.0,0.0,181225.76682068376,0.0,0.0,508.6780653762166,0.0,0.0,0.0,49728.206614284514,0.0,436414.13307176984,39502.15690924395,0.0,888196.0389042933,2985.9599999999996,0.0,2.609201379273992e6,14197.981453556877,499459.92857536837,641475.5887472184,8433.58443519456,47926.915596756684,0.0,1.5201945207515669e6,3.284375284924414e6,126855.81077408331,9680.001787831961,4700.856442724001,1.9180038565379176e7,1.8723370980489187e7,3.265128344663004e7,0.0,149234.16113432593,564009.2630915175,3.320176967933755e8
t1,62.1,12.729599999999998,1041.91,1041.91,0.0,3168.0,1024.66,1936.48,215.16000000000008,0.0,0.0,3864.290267514003,0.0,0.0,1885.572,0.0,605.197,2597.4,335.69200000000006,0.0,0.0,235.98,3321.5639999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,2306.932002486,0.0,0.0,0.0,28672.203870000005
t2,62.1,12.682799999999999,1041.91,1041.91,0.0,3168.0,1024.66,1936.48,84.76,0.0,0.0,3462.875428328003,0.0,0.0,1885.572,0.0,605.197,2597.4,335.69200000000006,0.0,0.0,235.98,3321.5639999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,2156.583261672,0.0,0.0,0.0,27989.99349
t3,62.1,12.636,1041.91,1041.91,0.0,3168.0,1024.66,1936.48,84.76,0.0,0.0,3448.4018212447354,0.0,0.0,1885.572,0.0,605.197,2597.4,335.69200000000006,0.0,0.0,235.98,3321.5639999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,2166.206280858,0.0,0.0,0.0,27985.096102102736
t4,62.1,12.636,1041.91,1041.91,0.0,3168.0,1024.66,1936.48,84.76,0.0,0.0,2700.2024261160022,0.0,0.0,1885.572,0.0,605.197,2597.4,335.69200000000006,0.0,0.0,235.98,3321.5639999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,2675.095693884,0.0,0.0,0.0,27745.78612
t5,62.1,12.589199999999998,1041.91,1041.91,0.0,3168.0,1024.66,1936.48,84.76,0.0,0.0,2719.966598938003,0.0,0.0,1885.572,0.0,605.197,2597.4,335.69200000000006,0.0,0.0,235.98,3321.5639999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,2786.784661062,0.0,0.0,0.0,27877.192460000002
t6,62.1,12.542399999999999,1041.91,1041.91,0.0,3168.0,1024.66,1936.48,84.76,0.0,0.0,3436.550179148002,0.0,0.0,1885.572,0.0,605.197,2597.4,335.69200000000006,0.0,0.0,235.98,3321.5639999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,2743.334040852,0.0,0.0,0.0,28550.278620000005
t7,62.1,12.542399999999999,1041.91,1041.91,0.0,3168.0,1024.66,1936.48,84.76,0.0,0.0,4179.6,0.0,0.0,1885.572,0.0,605.197,2597.4,335.69200000000006,0.0,0.0,235.98,3321.5639999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,2504.149460964,0.0,0.0,0.0,29054.143860964
t8,62.1,12.4956,1041.91,1041.91,0.0,3168.0,1024.66,1936.48,84.76,0.0,0.0,4179.6,0.0,0.0,2124.0217167166647,0.0,605.197,2597.4,335.69200000000006,0.0,0.0,235.98,3321.5639999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,2590.828313292,0.0,7.999134e-5,0.0,29379.225710000002
