,Time_Index,NG,None,coal,uranium
145,145,2.96588,0,2.3566238,0.705536
146,146,2.96588,0,2.3566238,0.705536
147,147,2.96588,0,2.3566238,0.705536
148,148,2.96588,0,2.3566238,0.705536
149,149,2.96588,0,2.3566238,0.705536
150,150,2.96588,0,2.3566238,0.705536
151,151,2.96588,0,2.3566238,0.705536
152,152,2.96588,0,2.3566238,0.705536
153,153,2.96588,0,2.3566238,0.705536
154,154,2.96588,0,2.3566238,0.705536
155,155,2.96588,0,2.3566238,0.705536
156,156,2.96588,0,2.3566238,0.705536
157,157,2.96588,0,2.3566238,0.705536
158,158,2.96588,0,2.3566238,0.705536
159,159,2.96588,0,2.3566238,0.705536
160,160,2.96588,0,2.3566238,0.705536
161,161,2.96588,0,2.3566238,0.705536
162,162,2.96588,0,2.3566238,0.705536
163,163,2.96588,0,2.3566238,0.705536
164,164,2.96588,0,2.3566238,0.705536
165,165,2.96588,0,2.3566238,0.705536
166,166,2.96588,0,2.3566238,0.705536
167,167,2.96588,0,2.3566238,0.705536
168,168,2.96588,0,2.3566238,0.705536
169,169,2.90652,0,2.3566238,0.705536
170,170,2.90652,0,2.3566238,0.705536
171,171,2.90652,0,2.3566238,0.705536
172,172,2.90652,0,2.3566238,0.705536
173,173,2.90652,0,2.3566238,0.705536
174,174,2.90652,0,2.3566238,0.705536
175,175,2.90652,0,2.3566238,0.705536
176,176,2.90652,0,2.3566238,0.705536
177,177,2.90652,0,2.3566238,0.705536
178,178,2.90652,0,2.3566238,0.705536
179,179,2.90652,0,2.3566238,0.705536
180,180,2.90652,0,2.3566238,0.705536
181,181,2.90652,0,2.3566238,0.705536
182,182,2.90652,0,2.3566238,0.705536
183,183,2.90652,0,2.3566238,0.705536
184,184,2.90652,0,2.3566238,0.705536
185,185,2.90652,0,2.3566238,0.705536
186,186,2.90652,0,2.3566238,0.705536
187,187,2.90652,0,2.3566238,0.705536
188,188,2.90652,0,2.3566238,0.705536
189,189,2.90652,0,2.3566238,0.705536
190,190,2.90652,0,2.3566238,0.705536
191,191,2.90652,0,2.3566238,0.705536
192,192,2.90652,0,2.3566238,0.705536
193,193,3.06128,0,2.3566238,0.705536
194,194,3.06128,0,2.3566238,0.705536
195,195,3.06128,0,2.3566238,0.705536
196,196,3.06128,0,2.3566238,0.705536
197,197,3.06128,0,2.3566238,0.705536
198,198,3.06128,0,2.3566238,0.705536
199,199,3.06128,0,2.3566238,0.705536
200,200,3.06128,0,2.3566238,0.705536
201,201,3.06128,0,2.3566238,0.705536
202,202,3.06128,0,2.3566238,0.705536
203,203,3.06128,0,2.3566238,0.705536
204,204,3.06128,0,2.3566238,0.705536
205,205,3.06128,0,2.3566238,0.705536
206,206,3.06128,0,2.3566238,0.705536
207,207,3.06128,0,2.3566238,0.705536
208,208,3.06128,0,2.3566238,0.705536
209,209,3.06128,0,2.3566238,0.705536
210,210,3.06128,0,2.3566238,0.705536
211,211,3.06128,0,2.3566238,0.705536
212,212,3.06128,0,2.3566238,0.705536
213,213,3.06128,0,2.3566238,0.705536
214,214,3.06128,0,2.3566238,0.705536
215,215,3.06128,0,2.3566238,0.705536
216,216,3.06128,0,2.3566238,0.705536
217,217,3.09308,0,2.3566238,0.705536
218,218,3.09308,0,2.3566238,0.705536
219,219,3.09308,0,2.3566238,0.705536
220,220,3.09308,0,2.3566238,0.705536
221,221,3.09308,0,2.3566238,0.705536
222,222,3.09308,0,2.3566238,0.705536
223,223,3.09308,0,2.3566238,0.705536
224,224,3.09308,0,2.3566238,0.705536
225,225,3.09308,0,2.3566238,0.705536
226,226,3.09308,0,2.3566238,0.705536
227,227,3.09308,0,2.3566238,0.705536
228,228,3.09308,0,2.3566238,0.705536
229,229,3.09308,0,2.3566238,0.705536
230,230,3.09308,0,2.3566238,0.705536
231,231,3.09308,0,2.3566238,0.705536
232,232,3.09308,0,2.3566238,0.705536
233,233,3.09308,0,2.3566238,0.705536
234,234,3.09308,0,2.3566238,0.705536
235,235,3.09308,0,2.3566238,0.705536
236,236,3.09308,0,2.3566238,0.705536
237,237,3.09308,0,2.3566238,0.705536
238,238,3.09308,0,2.3566238,0.705536
239,239,3.09308,0,2.3566238,0.705536
240,240,3.09308,0,2.3566238,0.705536
241,241,3.13124,0,2.3566238,0.705536
242,242,3.13124,0,2.3566238,0.705536
243,243,3.13124,0,2.3566238,0.705536
244,244,3.13124,0,2.3566238,0.705536
245,245,3.13124,0,2.3566238,0.705536
246,246,3.13124,0,2.3566238,0.705536
247,247,3.13124,0,2.3566238,0.705536
248,248,3.13124,0,2.3566238,0.705536
249,249,3.13124,0,2.3566238,0.705536
250,250,3.13124,0,2.3566238,0.705536
251,251,3.13124,0,2.3566238,0.705536
252,252,3.13124,0,2.3566238,0.705536
253,253,3.13124,0,2.3566238,0.705536
254,254,3.13124,0,2.3566238,0.705536
255,255,3.13124,0,2.3566238,0.705536
256,256,3.13124,0,2.3566238,0.705536
257,257,3.13124,0,2.3566238,0.705536
258,258,3.13124,0,2.3566238,0.705536
259,259,3.13124,0,2.3566238,0.705536
260,260,3.13124,0,2.3566238,0.705536
261,261,3.13124,0,2.3566238,0.705536
262,262,3.13124,0,2.3566238,0.705536
263,263,3.13124,0,2.3566238,0.705536
264,264,3.13124,0,2.3566238,0.705536
265,265,3.13124,0,2.3566238,0.705536
266,266,3.13124,0,2.3566238,0.705536
267,267,3.13124,0,2.3566238,0.705536
268,268,3.13124,0,2.3566238,0.705536
269,269,3.13124,0,2.3566238,0.705536
270,270,3.13124,0,2.3566238,0.705536
271,271,3.13124,0,2.3566238,0.705536
272,272,3.13124,0,2.3566238,0.705536
273,273,3.13124,0,2.3566238,0.705536
274,274,3.13124,0,2.3566238,0.705536
275,275,3.13124,0,2.3566238,0.705536
276,276,3.13124,0,2.3566238,0.705536
277,277,3.13124,0,2.3566238,0.705536
278,278,3.13124,0,2.3566238,0.705536
279,279,3.13124,0,2.3566238,0.705536
280,280,3.13124,0,2.3566238,0.705536
281,281,3.13124,0,2.3566238,0.705536
282,282,3.13124,0,2.3566238,0.705536
283,283,3.13124,0,2.3566238,0.705536
284,284,3.13124,0,2.3566238,0.705536
285,285,3.13124,0,2.3566238,0.705536
286,286,3.13124,0,2.3566238,0.705536
287,287,3.13124,0,2.3566238,0.705536
288,288,3.13124,0,2.3566238,0.705536
289,289,3.13124,0,2.3566238,0.705536
290,290,3.13124,0,2.3566238,0.705536
291,291,3.13124,0,2.3566238,0.705536
292,292,3.13124,0,2.3566238,0.705536
293,293,3.13124,0,2.3566238,0.705536
294,294,3.13124,0,2.3566238,0.705536
295,295,3.13124,0,2.3566238,0.705536
296,296,3.13124,0,2.3566238,0.705536
297,297,3.13124,0,2.3566238,0.705536
298,298,3.13124,0,2.3566238,0.705536
299,299,3.13124,0,2.3566238,0.705536
300,300,3.13124,0,2.3566238,0.705536
301,301,3.13124,0,2.3566238,0.705536
302,302,3.13124,0,2.3566238,0.705536
303,303,3.13124,0,2.3566238,0.705536
304,304,3.13124,0,2.3566238,0.705536
305,305,3.13124,0,2.3566238,0.705536
306,306,3.13124,0,2.3566238,0.705536
307,307,3.13124,0,2.3566238,0.705536
308,308,3.13124,0,2.3566238,0.705536
309,309,3.13124,0,2.3566238,0.705536
310,310,3.13124,0,2.3566238,0.705536
311,311,3.13124,0,2.3566238,0.705536
312,312,3.13124,0,2.3566238,0.705536
313,313,3.0634,0,2.3566238,0.705536
314,314,3.0634,0,2.3566238,0.705536
315,315,3.0634,0,2.3566238,0.705536
316,316,3.0634,0,2.3566238,0.705536
317,317,3.0634,0,2.3566238,0.705536
318,318,3.0634,0,2.3566238,0.705536
319,319,3.0634,0,2.3566238,0.705536
320,320,3.0634,0,2.3566238,0.705536
321,321,3.0634,0,2.3566238,0.705536
322,322,3.0634,0,2.3566238,0.705536
323,323,3.0634,0,2.3566238,0.705536
324,324,3.0634,0,2.3566238,0.705536
325,325,3.0634,0,2.3566238,0.705536
326,326,3.0634,0,2.3566238,0.705536
327,327,3.0634,0,2.3566238,0.705536
328,328,3.0634,0,2.3566238,0.705536
329,329,3.0634,0,2.3566238,0.705536
330,330,3.0634,0,2.3566238,0.705536
331,331,3.0634,0,2.3566238,0.705536
332,332,3.0634,0,2.3566238,0.705536
333,333,3.0634,0,2.3566238,0.705536
334,334,3.0634,0,2.3566238,0.705536
335,335,3.0634,0,2.3566238,0.705536
336,336,3.0634,0,2.3566238,0.705536
337,337,3.5616,0,2.3566238,0.705536
338,338,3.5616,0,2.3566238,0.705536
339,339,3.5616,0,2.3566238,0.705536
340,340,3.5616,0,2.3566238,0.705536
341,341,3.5616,0,2.3566238,0.705536
342,342,3.5616,0,2.3566238,0.705536
343,343,3.5616,0,2.3566238,0.705536
344,344,3.5616,0,2.3566238,0.705536
345,345,3.5616,0,2.3566238,0.705536
346,346,3.5616,0,2.3566238,0.705536
347,347,3.5616,0,2.3566238,0.705536
348,348,3.5616,0,2.3566238,0.705536
349,349,3.5616,0,2.3566238,0.705536
350,350,3.5616,0,2.3566238,0.705536
351,351,3.5616,0,2.3566238,0.705536
352,352,3.5616,0,2.3566238,0.705536
353,353,3.5616,0,2.3566238,0.705536
354,354,3.5616,0,2.3566238,0.705536
355,355,3.5616,0,2.3566238,0.705536
356,356,3.5616,0,2.3566238,0.705536
357,357,3.5616,0,2.3566238,0.705536
358,358,3.5616,0,2.3566238,0.705536
359,359,3.5616,0,2.3566238,0.705536
360,360,3.5616,0,2.3566238,0.705536
361,361,3.75452,0,2.3566238,0.705536
362,362,3.75452,0,2.3566238,0.705536
363,363,3.75452,0,2.3566238,0.705536
364,364,3.75452,0,2.3566238,0.705536
365,365,3.75452,0,2.3566238,0.705536
366,366,3.75452,0,2.3566238,0.705536
367,367,3.75452,0,2.3566238,0.705536
368,368,3.75452,0,2.3566238,0.705536
369,369,3.75452,0,2.3566238,0.705536
370,370,3.75452,0,2.3566238,0.705536
371,371,3.75452,0,2.3566238,0.705536
372,372,3.75452,0,2.3566238,0.705536
373,373,3.75452,0,2.3566238,0.705536
374,374,3.75452,0,2.3566238,0.705536
375,375,3.75452,0,2.3566238,0.705536
376,376,3.75452,0,2.3566238,0.705536
377,377,3.75452,0,2.3566238,0.705536
378,378,3.75452,0,2.3566238,0.705536
379,379,3.75452,0,2.3566238,0.705536
380,380,3.75452,0,2.3566238,0.705536
381,381,3.75452,0,2.3566238,0.705536
382,382,3.75452,0,2.3566238,0.705536
383,383,3.75452,0,2.3566238,0.705536
384,384,3.75452,0,2.3566238,0.705536
385,385,3.7948,0,2.3566238,0.705536
386,386,3.7948,0,2.3566238,0.705536
387,387,3.7948,0,2.3566238,0.705536
388,388,3.7948,0,2.3566238,0.705536
389,389,3.7948,0,2.3566238,0.705536
390,390,3.7948,0,2.3566238,0.705536
391,391,3.7948,0,2.3566238,0.705536
392,392,3.7948,0,2.3566238,0.705536
393,393,3.7948,0,2.3566238,0.705536
394,394,3.7948,0,2.3566238,0.705536
395,395,3.7948,0,2.3566238,0.705536
396,396,3.7948,0,2.3566238,0.705536
397,397,3.7948,0,2.3566238,0.705536
398,398,3.7948,0,2.3566238,0.705536
399,399,3.7948,0,2.3566238,0.705536
400,400,3.7948,0,2.3566238,0.705536
401,401,3.7948,0,2.3566238,0.705536
402,402,3.7948,0,2.3566238,0.705536
403,403,3.7948,0,2.3566238,0.705536
404,404,3.7948,0,2.3566238,0.705536
405,405,3.7948,0,2.3566238,0.705536
406,406,3.7948,0,2.3566238,0.705536
407,407,3.7948,0,2.3566238,0.705536
408,408,3.7948,0,2.3566238,0.705536
409,409,3.79056,0,2.3566238,0.705536
410,410,3.79056,0,2.3566238,0.705536
411,411,3.79056,0,2.3566238,0.705536
412,412,3.79056,0,2.3566238,0.705536
413,413,3.79056,0,2.3566238,0.705536
414,414,3.79056,0,2.3566238,0.705536
415,415,3.79056,0,2.3566238,0.705536
416,416,3.79056,0,2.3566238,0.705536
417,417,3.79056,0,2.3566238,0.705536
418,418,3.79056,0,2.3566238,0.705536
419,419,3.79056,0,2.3566238,0.705536
420,420,3.79056,0,2.3566238,0.705536
421,421,3.79056,0,2.3566238,0.705536
422,422,3.79056,0,2.3566238,0.705536
423,423,3.79056,0,2.3566238,0.705536
424,424,3.79056,0,2.3566238,0.705536
425,425,3.79056,0,2.3566238,0.705536
426,426,3.79056,0,2.3566238,0.705536
427,427,3.79056,0,2.3566238,0.705536
428,428,3.79056,0,2.3566238,0.705536
429,429,3.79056,0,2.3566238,0.705536
430,430,3.79056,0,2.3566238,0.705536
431,431,3.79056,0,2.3566238,0.705536
432,432,3.79056,0,2.3566238,0.705536
433,433,3.79056,0,2.3566238,0.705536
434,434,3.79056,0,2.3566238,0.705536
435,435,3.79056,0,2.3566238,0.705536
436,436,3.79056,0,2.3566238,0.705536
437,437,3.79056,0,2.3566238,0.705536
438,438,3.79056,0,2.3566238,0.705536
439,439,3.79056,0,2.3566238,0.705536
440,440,3.79056,0,2.3566238,0.705536
441,441,3.79056,0,2.3566238,0.705536
442,442,3.79056,0,2.3566238,0.705536
443,443,3.79056,0,2.3566238,0.705536
444,444,3.79056,0,2.3566238,0.705536
445,445,3.79056,0,2.3566238,0.705536
446,446,3.79056,0,2.3566238,0.705536
447,447,3.79056,0,2.3566238,0.705536
448,448,3.79056,0,2.3566238,0.705536
449,449,3.79056,0,2.3566238,0.705536
450,450,3.79056,0,2.3566238,0.705536
451,451,3.79056,0,2.3566238,0.705536
452,452,3.79056,0,2.3566238,0.705536
453,453,3.79056,0,2.3566238,0.705536
454,454,3.79056,0,2.3566238,0.705536
455,455,3.79056,0,2.3566238,0.705536
456,456,3.79056,0,2.3566238,0.705536
457,457,3.79056,0,2.3566238,0.705536
458,458,3.79056,0,2.3566238,0.705536
459,459,3.79056,0,2.3566238,0.705536
460,460,3.79056,0,2.3566238,0.705536
461,461,3.79056,0,2.3566238,0.705536
462,462,3.79056,0,2.3566238,0.705536
463,463,3.79056,0,2.3566238,0.705536
464,464,3.79056,0,2.3566238,0.705536
465,465,3.79056,0,2.3566238,0.705536
466,466,3.79056,0,2.3566238,0.705536
467,467,3.79056,0,2.3566238,0.705536
468,468,3.79056,0,2.3566238,0.705536
469,469,3.79056,0,2.3566238,0.705536
470,470,3.79056,0,2.3566238,0.705536
471,471,3.79056,0,2.3566238,0.705536
472,472,3.79056,0,2.3566238,0.705536
473,473,3.79056,0,2.3566238,0.705536
474,474,3.79056,0,2.3566238,0.705536
475,475,3.79056,0,2.3566238,0.705536
476,476,3.79056,0,2.3566238,0.705536
477,477,3.79056,0,2.3566238,0.705536
478,478,3.79056,0,2.3566238,0.705536
479,479,3.79056,0,2.3566238,0.705536
480,480,3.79056,0,2.3566238,0.705536
481,481,3.79056,0,2.3566238,0.705536
482,482,3.79056,0,2.3566238,0.705536
483,483,3.79056,0,2.3566238,0.705536
484,484,3.79056,0,2.3566238,0.705536
485,485,3.79056,0,2.3566238,0.705536
486,486,3.79056,0,2.3566238,0.705536
487,487,3.79056,0,2.3566238,0.705536
488,488,3.79056,0,2.3566238,0.705536
489,489,3.79056,0,2.3566238,0.705536
490,490,3.79056,0,2.3566238,0.705536
491,491,3.79056,0,2.3566238,0.705536
492,492,3.79056,0,2.3566238,0.705536
493,493,3.79056,0,2.3566238,0.705536
494,494,3.79056,0,2.3566238,0.705536
495,495,3.79056,0,2.3566238,0.705536
496,496,3.79056,0,2.3566238,0.705536
497,497,3.79056,0,2.3566238,0.705536
498,498,3.79056,0,2.3566238,0.705536
499,499,3.79056,0,2.3566238,0.705536
500,500,3.79056,0,2.3566238,0.705536
501,501,3.79056,0,2.3566238,0.705536
502,502,3.79056,0,2.3566238,0.705536
503,503,3.79056,0,2.3566238,0.705536
504,504,3.79056,0,2.3566238,0.705536
505,505,3.63368,0,2.3566238,0.705536
506,506,3.63368,0,2.3566238,0.705536
507,507,3.63368,0,2.3566238,0.705536
508,508,3.63368,0,2.3566238,0.705536
509,509,3.63368,0,2.3566238,0.705536
510,510,3.63368,0,2.3566238,0.705536
511,511,3.63368,0,2.3566238,0.705536
