Resource,biomass,conventional_hydroelectric,conventional_steam_coal,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,small_hydroelectric,solar_photovoltaic,Battery,Total
t9,61.73639999999999,0.0,0.0,0.0,256.215596,499.068,0.0,1908.9,3582.5166,671.1309,0.0,3626.1,0.0,927.9,6619.2390000000005,239.49,0.0,0.0,923.4,6120.819000000001,741.5999999999999,0.0,138.526192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,90.68862600000001,0.0,245.31,20.04,22.059,1944.0,193.12348599999999,113.23693500000002,0.0,33.397468,56.056,10.004000000000001,736.4025377239539,122.2468799239994,30.082,30.082,15.006,2393.9999999999995,2336.9999999999995,11756.249963593,0.0,2606.874675366,0.0,49192.12625960695
t10,61.73639999999999,0.0,0.0,0.0,256.215596,499.068,0.0,1908.9,3582.5166,671.1309,0.0,3626.1,0.0,927.9,6619.2390000000005,239.49,61.61999999999998,0.0,923.4,6120.819000000001,741.5999999999999,0.0,928.8594000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.25,114.66377999999999,0.0,437.5800000000001,20.04,22.059,1944.0,193.12348599999999,232.10055000000014,0.0,33.397468,56.056,10.004000000000001,1314.9,367.3468799239994,126.41199999999999,30.082,15.006,2393.9999999999995,2336.9999999999995,6720.767503125,0.0,6529.616436951,0.0,50339.00000000001
t11,61.73639999999999,0.0,0.0,0.0,633.5001,499.068,332.84224,1908.9,3582.5166,671.1309,0.0,3626.1,835.3439999999998,927.9,6619.2390000000005,239.49,213.29999999999998,760.32,923.4,6120.819000000001,741.5999999999999,0.0,928.8594000000002,0.0,0.0,0.0,0.0,0.0,459.5283,0.0,0.0,302.4,0.0,0.0,0.0,207.14850000000004,0.0,742.4999999999999,312.7194,0.0,1193.4,20.04,22.059,1944.0,337.0364690079941,633.0015000000001,0.0,127.63784799999999,129.36,10.004000000000001,1314.9,387.0,152.10000000000002,55.77000000000002,15.006,2393.9999999999995,2336.9999999999995,1879.764019943,0.0,6752.559323048999,0.0,51354.99999999999
t12,61.73639999999999,0.5585237961201889,0.0,0.0,633.5001,499.068,468.05940000000004,1908.9,3582.5166,671.1309,0.0,3626.1,1174.7024999999999,927.9,6619.2390000000005,239.49,213.29999999999998,1069.1999999999998,923.4,6120.819000000001,741.5999999999999,0.0,928.8594000000002,0.0,0.0,0.0,0.0,0.0,459.5283,0.0,0.0,302.4,0.0,0.0,0.0,207.14850000000004,0.0,742.4999999999999,312.7194,0.0,1193.4,20.04,22.059,1944.0,759.0006,633.0015000000001,0.0,148.8006,352.8,44.773999999999994,1314.9,387.0,152.10000000000002,152.10000000000002,84.54599999999999,2393.9999999999995,2336.9999999999995,1279.045251966,0.0,6212.134229268,71.92279496987854,51937.00000000001
t13,61.73639999999999,39.40252379612019,0.0,0.0,633.5001,499.068,468.05940000000004,1908.9,3582.5166,671.1309,0.0,3626.1,1174.7024999999999,927.9,6619.2390000000005,239.49,213.29999999999998,1069.1999999999998,923.4,6120.819000000001,741.5999999999999,0.0,928.8594000000002,0.0,0.0,0.0,0.0,0.0,459.5283,0.0,0.0,302.4,0.0,0.0,0.0,207.14850000000004,0.0,742.4999999999999,312.7194,0.0,1193.4,20.04,22.059,1944.0,759.0006,633.0015000000001,0.0,148.8006,352.8,54.9,1314.9,387.0,152.10000000000002,152.10000000000002,109.8,2393.9999999999995,2336.9999999999995,1368.5177767179998,0.0,5849.465850732,430.8946487538789,52097.0
t14,61.73639999999999,78.24652379611526,0.0,0.0,633.5001,499.068,468.05940000000004,1908.9,3582.5166,671.1309,0.0,3626.1,1174.7024999999999,927.9,6619.2390000000005,239.49,213.29999999999998,1069.1999999999998,923.4,6120.819000000001,741.5999999999999,0.0,928.8594000000002,0.0,0.0,0.0,0.0,0.0,459.5283,0.0,0.0,302.4,0.0,0.0,0.0,207.14850000000004,0.0,742.4999999999999,312.7194,0.0,1193.4,20.04,22.059,1944.0,759.0006,633.0015000000001,0.0,148.8006,352.8,44.773999999999994,1314.9,387.0,152.10000000000002,152.10000000000002,84.54599999999999,2393.9999999999995,2336.9999999999995,1158.265593125,0.0,5951.363430732,576.785252346877,52138.0
t15,61.73639999999999,117.09052379610938,0.0,0.0,633.5001,499.068,468.05940000000004,1908.9,3582.5166,671.1309,0.0,3626.1,1174.7024999999999,927.9,6619.2390000000005,239.49,213.29999999999998,1069.1999999999998,923.4,6120.819000000001,741.5999999999999,0.0,928.8594000000002,0.0,0.0,0.0,0.0,0.0,459.5283,0.0,0.0,302.4,0.0,0.0,0.0,207.14850000000004,0.0,742.4999999999999,312.7194,0.0,1193.4,20.04,22.059,1944.0,759.0006,633.0015000000001,0.0,148.8006,258.4286861458852,10.004000000000001,1314.9,387.0,152.10000000000002,55.77000000000002,15.006,2393.9999999999995,2336.9999999999995,1350.173782375,0.0,6398.407807683,0.0,51943.99999999999
t16,61.73639999999999,155.93452379610855,0.0,0.0,633.5001,499.068,468.05940000000004,1908.9,3582.5166,671.1309,279.447903,3626.1,1118.0257909958993,927.9,6619.2390000000005,239.49,213.29999999999998,1069.1999999999998,923.4,6120.819000000001,741.5999999999999,0.0,928.8594000000002,0.0,0.0,0.0,0.0,0.0,459.5283,0.0,0.0,149.85600000000002,0.0,0.0,0.0,207.14850000000004,0.0,742.4999999999999,312.7194,0.0,1193.4,20.04,22.059,1944.0,278.30021999999997,633.0015000000001,0.0,54.56022000000001,129.36,10.004000000000001,1314.9,387.0,152.10000000000002,55.77000000000002,15.006,2393.9999999999995,2336.9999999999995,1493.0309298910001,0.0,6734.488912317,0.0,51828.000000000015
t17,61.73639999999999,194.77852379610817,0.0,0.0,633.5001,499.068,468.05940000000004,1908.9,3582.5166,671.1309,279.447903,3626.1,1174.7024999999999,927.9,6619.2390000000005,239.49,213.29999999999998,1069.1999999999998,923.4,6120.819000000001,741.5999999999999,0.0,928.8594000000002,0.0,0.0,81.54,0.0,318.1518,459.5283,0.0,0.0,302.4,0.0,0.0,0.0,207.14850000000004,0.0,742.4999999999999,312.7194,0.0,1193.4,55.11000000000002,56.43000000000001,1944.0,759.0006,633.0015000000001,0.0,148.8006,352.8,44.773999999999994,1314.9,387.0,152.10000000000002,152.10000000000002,84.54599999999999,2393.9999999999995,2336.9999999999995,1777.634018859,0.0,4915.272569268001,53.39498507688978,52063.0
t18,61.73639999999999,233.62252379610635,0.0,0.0,633.5001,499.068,468.05940000000004,1908.9,3582.5166,671.1309,633.5091000000001,3626.1,1174.7024999999999,927.9,6619.2390000000005,239.49,213.29999999999998,1069.1999999999998,923.4,6120.819000000001,741.5999999999999,606.2760000000002,928.8594000000002,0.0,162.0,81.54,0.0,318.1518,459.5283,1385.1,644.2623,302.4,187.20000000000002,492.29729999999995,0.0,207.14850000000004,75.6,742.4999999999999,312.7194,0.0,1193.4,150.3,153.9,1944.0,759.0006,633.0015000000001,0.0,148.8006,352.8,54.9,1314.9,387.0,152.10000000000002,152.10000000000002,109.8,2393.9999999999995,2336.9999999999995,2399.9423176249998,0.0,798.6652192680001,726.0,53414.986760689106
