Closing Price,Date
2.989,1/1/2012
2.989,1/2/2012
2.989,1/3/2012
2.95,1/4/2012
2.96,1/5/2012
2.905,1/6/2012
2.883,1/9/2012
2.92,1/10/2012
2.976,1/11/2012
2.808,1/12/2012
2.715,1/13/2012
2.67,1/17/2012
2.512,1/18/2012
2.489,1/19/2012
2.36,1/20/2012
2.214,1/23/2012
2.4,1/24/2012
2.625,1/25/2012
2.612,1/26/2012
2.692,1/27/2012
2.594,1/30/2012
2.715,1/31/2012
2.514,2/1/2012
2.315,2/2/2012
2.303,2/3/2012
2.412,2/6/2012
2.501,2/7/2012
2.604,2/8/2012
2.486,2/9/2012
2.496,2/10/2012
2.518,2/13/2012
2.414,2/14/2012
2.487,2/15/2012
2.538,2/16/2012
2.476,2/17/2012
2.672,2/20/2012
2.672,2/21/2012
2.635,2/22/2012
2.599,2/23/2012
2.674,2/24/2012
2.601,2/27/2012
2.547,2/28/2012
2.414,2/29/2012
2.436,3/1/2012
2.424,3/2/2012
2.374,3/5/2012
2.314,3/6/2012
2.301,3/7/2012
2.234,3/8/2012
2.225,3/9/2012
2.209,3/12/2012
2.167,3/13/2012
2.131,3/14/2012
2.097,3/15/2012
2.082,3/16/2012
2.053,3/19/2012
2.138,3/20/2012
2.193,3/21/2012
2.186,3/22/2012
2.189,3/23/2012
2.066,3/26/2012
2.145,3/27/2012
2.079,3/28/2012
2.039,3/29/2012
2.012,3/30/2012
1.972,4/2/2012
1.88,4/3/2012
1.981,4/4/2012
2.058,4/5/2012
1.99,4/6/2012
1.993,4/10/2012
1.975,4/11/2012
1.911,4/12/2012
1.878,4/13/2012
1.873,4/16/2012
1.878,4/17/2012
1.878,4/18/2012
1.869,4/19/2012
1.85,4/20/2012
1.858,4/23/2012
1.932,4/24/2012
1.987,4/25/2012
2.009,4/26/2012
2.111,4/27/2012
2.055,4/30/2012
2.105,5/1/2012
2.287,5/2/2012
2.311,5/3/2012
2.291,5/4/2012
2.309,5/7/2012
2.294,5/8/2012
2.261,5/9/2012
2.362,5/10/2012
2.359,5/11/2012
2.374,5/14/2012
2.403,5/15/2012
2.413,5/16/2012
2.497,5/17/2012
2.604,5/18/2012
2.556,5/21/2012
2.596,5/22/2012
2.575,5/23/2012
2.589,5/24/2012
2.668,5/25/2012
2.572,5/29/2012
2.494,5/30/2012
2.396,5/31/2012
2.34,6/1/2012
2.245,6/4/2012
2.335,6/5/2012
2.4,6/6/2012
2.41,6/7/2012
2.322,6/8/2012
2.215,6/11/2012
2.23,6/12/2012
2.187,6/13/2012
2.19,6/14/2012
2.209,6/15/2012
2.417,6/18/2012
2.46,6/19/2012
2.595,6/20/2012
2.609,6/21/2012
2.476,6/22/2012
2.505,6/25/2012
2.697,6/26/2012
2.702,6/27/2012
2.891,6/28/2012
2.806,6/29/2012
2.736,7/2/2012
2.73,7/3/2012
2.771,7/5/2012
2.908,7/6/2012
2.941,7/9/2012
2.787,7/10/2012
2.866,7/11/2012
2.715,7/12/2012
2.832,7/13/2012
2.883,7/16/2012
2.923,7/17/2012
2.83,7/18/2012
2.838,7/19/2012
2.992,7/20/2012
3.029,7/23/2012
3.051,7/24/2012
3.17,7/25/2012
3.183,7/26/2012
3.135,7/27/2012
3.09,7/30/2012
3.15,7/31/2012
3.206,8/1/2012
