Unnamed: 0,Time_Index,NG,None,coal,uranium,Year
0,0,0.05306,0,0.095487528,0.0,1970
4344,4344,2.4539,0,2.3566238,0.705536,1970
4345,4345,2.5652,0,2.3566238,0.705536,1970
4346,4346,2.5652,0,2.3566238,0.705536,1970
4347,4347,2.5652,0,2.3566238,0.705536,1970
4348,4348,2.5652,0,2.3566238,0.705536,1970
4349,4349,2.5652,0,2.3566238,0.705536,1970
4350,4350,2.5652,0,2.3566238,0.705536,1970
4351,4351,2.5652,0,2.3566238,0.705536,1970
4352,4352,2.5652,0,2.3566238,0.705536,1970
4353,4353,2.5652,0,2.3566238,0.705536,1970
4354,4354,2.5652,0,2.3566238,0.705536,1970
4355,4355,2.5652,0,2.3566238,0.705536,1970
4356,4356,2.5652,0,2.3566238,0.705536,1970
4357,4357,2.5652,0,2.3566238,0.705536,1970
4358,4358,2.5652,0,2.3566238,0.705536,1970
4359,4359,2.5652,0,2.3566238,0.705536,1970
4360,4360,2.5652,0,2.3566238,0.705536,1970
4361,4361,2.5652,0,2.3566238,0.705536,1970
4362,4362,2.5652,0,2.3566238,0.705536,1970
4363,4363,2.5652,0,2.3566238,0.705536,1970
4364,4364,2.5652,0,2.3566238,0.705536,1970
4365,4365,2.5652,0,2.3566238,0.705536,1970
4366,4366,2.5652,0,2.3566238,0.705536,1970
4367,4367,2.5652,0,2.3566238,0.705536,1970
4368,4368,2.5652,0,2.3566238,0.705536,1970
4369,4369,2.4698,0,2.3566238,0.705536,1970
4370,4370,2.4698,0,2.3566238,0.705536,1970
4371,4371,2.4698,0,2.3566238,0.705536,1970
4372,4372,2.4698,0,2.3566238,0.705536,1970
4373,4373,2.4698,0,2.3566238,0.705536,1970
4374,4374,2.4698,0,2.3566238,0.705536,1970
4375,4375,2.4698,0,2.3566238,0.705536,1970
4376,4376,2.4698,0,2.3566238,0.705536,1970
4377,4377,2.4698,0,2.3566238,0.705536,1970
4378,4378,2.4698,0,2.3566238,0.705536,1970
4379,4379,2.4698,0,2.3566238,0.705536,1970
4380,4380,2.4698,0,2.3566238,0.705536,1970
4381,4381,2.4698,0,2.3566238,0.705536,1970
4382,4382,2.4698,0,2.3566238,0.705536,1970
4383,4383,2.4698,0,2.3566238,0.705536,1970
4384,4384,2.4698,0,2.3566238,0.705536,1970
4385,4385,2.4698,0,2.3566238,0.705536,1970
4386,4386,2.4698,0,2.3566238,0.705536,1970
