Unnamed: 0,Prices,Time_Index,Year
4343,14.47,4344,1970
4344,13.21,4345,1970
4345,12.65,4346,1970
4346,12.97,4347,1970
4347,13.22,4348,1970
4348,14.32,4349,1970
4349,16.99,4350,1970
4350,16.77,4351,1970
4351,17.54,4352,1970
4352,18.13,4353,1970
4353,18.78,4354,1970
4354,20.95,4355,1970
4355,24.77,4356,1970
4356,31.61,4357,1970
4357,39.33,4358,1970
4358,41.35,4359,1970
4359,41.53,4360,1970
4360,28.72,4361,1970
4361,21.48,4362,1970
4362,19.9,4363,1970
4363,19.03,4364,1970
4364,18.57,4365,1970
4365,17.42,4366,1970
4366,15.55,4367,1970
4367,13.69,4368,1970
4368,13.78,4369,1970
4369,13.13,4370,1970
4370,12.71,4371,1970
4371,13.32,4372,1970
4372,14.57,4373,1970
4373,15.69,4374,1970
4374,15.61,4375,1970
4375,17.74,4376,1970
4376,18.06,4377,1970
4377,18.96,4378,1970
4378,20.68,4379,1970
4379,23.73,4380,1970
4380,29.36,4381,1970
4381,38.91,4382,1970
4382,40.73,4383,1970
4383,41.56,4384,1970
4384,33.94,4385,1970
4385,24.24,4386,1970
4386,21.49,4387,1970
4387,20.29,4388,1970
4388,18.83,4389,1970
4389,18.76,4390,1970
4390,16.56,4391,1970
4391,14.87,4392,1970
4392,14.54,4393,1970
4393,13.49,4394,1970
4394,13.27,4395,1970
4395,13.21,4396,1970
4396,14.09,4397,1970
4397,15.72,4398,1970
4398,16.39,4399,1970
4399,18.07,4400,1970
4400,17.52,4401,1970
4401,18.75,4402,1970
4402,21.56,4403,1970
4403,24.12,4404,1970
4404,33.03,4405,1970
4405,37.27,4406,1970
4406,44.06,4407,1970
4407,41.2,4408,1970
4408,28.25,4409,1970
4409,24.83,4410,1970
4410,21.28,4411,1970
4411,19.45,4412,1970
4412,18.17,4413,1970
4413,17.98,4414,1970
4414,16.64,4415,1970
4415,14.64,4416,1970
4416,14.08,4417,1970
4417,12.9,4418,1970
4418,12.91,4419,1970
4419,13.36,4420,1970
4420,13.92,4421,1970
4421,14.94,4422,1970
4422,15.28,4423,1970
4423,15.99,4424,1970
4424,16.68,4425,1970
4425,18.02,4426,1970
4426,19.91,4427,1970
4427,25.86,4428,1970
4428,28.58,4429,1970
4429,33.8,4430,1970
4430,39.89,4431,1970
4431,42.53,4432,1970
4432,34.99,4433,1970
4433,25.85,4434,1970
4434,23.33,4435,1970
4435,19.98,4436,1970
4436,18.7,4437,1970
4437,17.97,4438,1970
4438,15.97,4439,1970
4439,14.29,4440,1970
4440,13.67,4441,1970
4441,12.41,4442,1970
4442,12.14,4443,1970
4443,12.4,4444,1970
4444,13.34,4445,1970
4445,14.98,4446,1970
4446,15.83,4447,1970
4447,17.56,4448,1970
4448,17.58,4449,1970
4449,18.71,4450,1970
4450,22.95,4451,1970
4451,27.06,4452,1970
4452,32.27,4453,1970
4453,40.93,4454,1970
