AnnualSum,518558.627595632,377756.742812286,1.3077808014444064e7,1.40494754301609e7,1.5172941922026796e6,2.7827712e7,1.4412758011827022e7,4.0168444609489776e6,312934.7050343205,2.541430514524637e6,3.0974580854009245e7,1.8106072159811205e6,56012.79901131022,2.343400788580532e7,482389.4518953441,3.5710767295947094e6,5.772660928447797e7,1.6888266024189524e6,164241.24318983502,1.4385399549779228e6,1.9233754444646016e6,3.823400213548041e7,1.849311900145443e6,6434.762008722066,1.6542440086727967e6,72.9,22424.39316275027,27044.6751240357,11.700000000000001,57382.312914087444,421045.21028456884,73636.94450852569,2008.5824800982964,112469.41078119432,2765.17012218494,53639.06606077299,36.9,137748.81193569524,4841.627936156671,697985.5065486021,325381.2878739835,280.6587789473684,1.266787714007877e6,43726.57522854925,47438.058450456,3.6607214831882142e6,416915.59361086105,745292.9049102849,926069.0913169142,115216.10572862891,194689.4888181239,15865.880552226614,2.229969854651858e6,465849.38701589074,182643.3638403032,69584.09414616345,36083.340472665404,2.1033979323913097e7,2.053317029239136e7,5.272315904667994e7,0.0,836376.343344432,676365.8938964898,3.518255119663601e8
t9,62.1,12.4488,3024.9,3024.9,0.0,3168.0,2533.5,586.8000000000001,0.0,0.0,3437.8789738600053,0.0,0.0,1885.572,0.0,0.0,7250.4,0.0,0.0,0.0,0.0,3184.541242735998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,3651.0847347420004,0.0,6.527908662,0.0,36845.28066
t10,62.1,12.4488,3024.9,3024.9,0.0,3168.0,2533.5,586.8000000000001,0.0,0.0,4179.6,0.0,0.0,2253.7420386059903,0.0,0.0,7250.4,0.0,0.0,0.0,0.0,3184.541242735998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,3727.3169525939998,0.0,19.510876064,0.0,38044.38690999999
t11,62.1,12.402000000000001,3024.9,3024.9,0.0,3168.0,2533.5,586.8000000000001,0.0,0.0,4179.6,0.0,0.0,3209.9410686369965,0.0,0.0,7250.4,0.0,0.0,0.0,0.0,3184.541242735998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,3462.847434576,0.0,32.087314051,0.0,38748.64606
t12,62.1,12.3552,3024.9,3024.9,0.0,3168.0,2533.5,586.8000000000001,0.0,0.0,4179.6,0.0,0.0,3479.799779048998,0.0,0.0,7250.4,0.0,0.0,0.0,0.0,3184.541242735998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,3299.080823118,0.0,45.314805097,0.0,38867.918849999995
t13,62.1,12.3552,3024.9,3024.9,0.0,3168.0,2533.5,586.8000000000001,0.0,0.0,4179.6,0.0,0.0,3626.1000000000004,0.0,0.0,7250.4,0.0,0.0,0.0,0.0,3240.895535195994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,2828.878460964,0.0,45.73938384,0.0,38600.79557999999
t14,62.1,12.3084,3024.9,3024.9,0.0,3168.0,2533.5,586.8000000000001,0.0,0.0,4179.6,0.0,0.0,3626.1000000000004,0.0,0.0,7250.4,0.0,0.0,0.0,0.0,3208.2678329199825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,2358.5652465840003,0.0,39.678240496,0.0,38091.746719999996
t15,62.1,12.261600000000001,3024.9,3024.9,0.0,3168.0,2533.5,586.8000000000001,0.0,0.0,4179.6,0.0,0.0,3166.7032120319936,0.0,0.0,7250.4,0.0,0.0,0.0,0.0,3184.541242735998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,2366.0579409839997,0.0,27.651794247999998,0.0,37604.04278999999
t16,62.1,12.261600000000001,3024.9,3024.9,0.0,3168.0,2533.5,586.8000000000001,0.0,0.0,4179.6,0.0,0.0,3216.825145220996,0.0,0.0,7250.4,0.0,0.0,0.0,0.0,3184.541242735998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,2194.354303308,0.0,13.708958735,0.0,37468.518249999994
t17,62.1,12.214799999999999,3024.9,3024.9,0.0,3168.0,2533.5,586.8000000000001,0.0,0.0,4179.6,0.0,0.0,3626.1000000000004,0.0,0.0,7250.4,0.0,0.0,0.0,0.0,3332.2692582049913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,2085.111981144,0.0,8.818970651,0.0,37911.34200999999
t18,62.1,12.168,3024.9,3024.9,0.0,3168.0,2533.5,586.8000000000001,0.0,0.0,4179.6,0.0,0.0,3626.1000000000004,0.0,0.0,7250.4,0.0,0.0,0.0,0.0,5232.404487437998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,2143.841510988,0.0,0.980201574,0.0,39862.3212
