Unnamed,NG,Time_Index,coal,None,uranium
132,2.721,132,3.003959683,0,0.705536
133,2.721,133,3.003959683,0,0.705536
134,2.721,134,3.003959683,0,0.705536
135,2.721,135,3.003959683,0,0.705536
136,2.721,136,3.003959683,0,0.705536
137,2.721,137,3.003959683,0,0.705536
138,2.721,138,3.003959683,0,0.705536
139,2.721,139,3.003959683,0,0.705536
140,2.721,140,3.003959683,0,0.705536
141,2.721,141,3.003959683,0,0.705536
142,2.721,142,3.003959683,0,0.705536
143,2.721,143,3.003959683,0,0.705536
144,2.721,144,3.003959683,0,0.705536
145,2.798,145,2.933765299,0,0.705536
146,2.798,146,2.933765299,0,0.705536
147,2.798,147,2.933765299,0,0.705536
148,2.798,148,2.933765299,0,0.705536
149,2.798,149,2.933765299,0,0.705536
150,2.798,150,2.933765299,0,0.705536
151,2.798,151,2.933765299,0,0.705536
152,2.798,152,2.933765299,0,0.705536
153,2.798,153,2.933765299,0,0.705536
154,2.798,154,2.933765299,0,0.705536
155,2.798,155,2.933765299,0,0.705536
156,2.798,156,2.933765299,0,0.705536
157,2.798,157,2.933765299,0,0.705536
158,2.798,158,2.933765299,0,0.705536
159,2.798,159,2.933765299,0,0.705536
160,2.798,160,2.933765299,0,0.705536
161,2.798,161,2.933765299,0,0.705536
162,2.798,162,2.933765299,0,0.705536
163,2.798,163,2.933765299,0,0.705536
164,2.798,164,2.933765299,0,0.705536
165,2.798,165,2.933765299,0,0.705536
166,2.798,166,2.933765299,0,0.705536
167,2.798,167,2.933765299,0,0.705536
168,2.798,168,2.933765299,0,0.705536
169,2.742,169,2.953563715,0,0.705536
170,2.742,170,2.953563715,0,0.705536
171,2.742,171,2.953563715,0,0.705536
172,2.742,172,2.953563715,0,0.705536
173,2.742,173,2.953563715,0,0.705536
174,2.742,174,2.953563715,0,0.705536
175,2.742,175,2.953563715,0,0.705536
176,2.742,176,2.953563715,0,0.705536
177,2.742,177,2.953563715,0,0.705536
178,2.742,178,2.953563715,0,0.705536
179,2.742,179,2.953563715,0,0.705536
180,2.742,180,2.953563715,0,0.705536
181,2.742,181,2.953563715,0,0.705536
182,2.742,182,2.953563715,0,0.705536
183,2.742,183,2.953563715,0,0.705536
184,2.742,184,2.953563715,0,0.705536
185,2.742,185,2.953563715,0,0.705536
186,2.742,186,2.953563715,0,0.705536
187,2.742,187,2.953563715,0,0.705536
188,2.742,188,2.953563715,0,0.705536
189,2.742,189,2.953563715,0,0.705536
190,2.742,190,2.953563715,0,0.705536
191,2.742,191,2.953563715,0,0.705536
192,2.742,192,2.953563715,0,0.705536
193,2.888,193,2.953563715,0,0.705536
194,2.888,194,2.953563715,0,0.705536
195,2.888,195,2.953563715,0,0.705536
196,2.888,196,2.953563715,0,0.705536
197,2.888,197,2.953563715,0,0.705536
198,2.888,198,2.953563715,0,0.705536
199,2.888,199,2.953563715,0,0.705536
