Zone,1,Total
AnnualSum,1.617705905498079e8,1.617705905498079e8
t1,20760.34653413665,20760.34653413665
t2,20566.622603477666,20566.622603477666
t3,20453.216098663273,20453.216098663273
t4,20401.442056636224,20401.442056636224
t5,20479.40160576611,20479.40160576611
t6,20785.928442192726,20785.928442192726
t7,21123.23395211296,21123.23395211296
t8,21372.287348853406,21372.287348853406
t9,22453.62199893095,22453.62199893095
t10,23473.042293437822,23473.042293437822
t11,23447.991847189274,23447.991847189274
t12,23603.718255952695,23603.718255952695
t13,23603.718255952695,23603.718255952695
t14,23603.718255952695,23603.718255952695
t15,23220.176209204565,23220.176209204565
t16,22999.311379404364,22999.311379404364
t17,23226.374289392807,23226.374289392807
t18,23807.377665640277,23807.377665640277
t19,24327.942076052477,24327.942076052477
t20,24284.889571932086,24284.889571932086
t21,23952.848095244357,23952.848095244357
t22,23174.876585076596,23174.876585076596
t23,22115.999858404793,22115.999858404793
t24,21288.397467793937,21288.397467793937
t25,20507.399139295692,20507.399139295692
t26,19811.739506233378,19811.739506233378
t27,19234.496443218963,19234.496443218963
t28,19218.9361754782,19218.9361754782
t29,19902.544850838072,19902.544850838072
t30,20823.00962433334,20823.00962433334
t31,21686.880143483995,21686.880143483995
t32,22247.93834391426,22247.93834391426
t33,22727.033472858475,22727.033472858475
t34,22917.691827860242,22917.691827860242
t35,23335.498710556407,23335.498710556407
t36,23570.82116138171,23570.82116138171
t37,23525.89747895742,23525.89747895742
t38,23266.13553259558,23266.13553259558
t39,23004.75949653663,23004.75949653663
t40,22854.240799044193,22854.240799044193
t41,22934.82887292027,22934.82887292027
t42,23447.991847189274,23447.991847189274
t43,23603.718255952695,23603.718255952695
t44,23451.443351444133,23451.443351444133
t45,22883.413399847053,22883.413399847053
t46,22040.627535948584,22040.627535948584
t47,21252.801339827107,21252.801339827107
t48,19982.77318506293,19982.77318506293
t49,18160.28326790201,18160.28326790201
t50,17213.227864619097,17213.227864619097
t51,16719.542703357965,16719.542703357965
t52,16585.011157043482,16585.011157043482
t53,16973.319856484963,16973.319856484963
t54,17922.02554163077,17922.02554163077
t55,19162.072352497282,19162.072352497282
t56,20282.59386300548,20282.59386300548
t57,20829.36773644693,20829.36773644693
t58,21123.416802564476,21123.416802564476
t59,20840.572844522627,20840.572844522627
t60,19327.784067918208,19327.784067918208
t61,16986.39752133956,16986.39752133956
t62,15511.756627788052,15511.756627788052
t63,14102.94570460667,14102.94570460667
t64,13630.514230825705,13630.514230825705
t65,13630.514230825705,13630.514230825705
t66,14916.675678539841,14916.675678539841
t67,17126.552914566793,17126.552914566793
t68,17447.052776583223,17447.052776583223
t69,17020.936224910038,17020.936224910038
t70,16597.372720757983,16597.372720757983
t71,16232.422028862047,16232.422028862047
t72,15266.40336804463,15266.40336804463
t73,14275.208724239952,14275.208724239952
t74,14127.458332550093,14127.458332550093
t75,14026.945280645026,14026.945280645026
t76,14094.481942183264,14094.481942183264
t77,14201.26473098226,14201.26473098226
t78,14481.497993133495,14481.497993133495
t79,16156.179707863861,16156.179707863861
t80,17253.507717366298,17253.507717366298
t81,18423.03238250462,18423.03238250462
t82,19043.46846367714,19043.46846367714
t83,19971.7756743988,19971.7756743988
t84,20453.239899757154,20453.239899757154
t85,19903.494875217315,19903.494875217315
t86,19291.349559917893,19291.349559917893
t87,18632.699742436846,18632.699742436846
t88,18242.458566270157,18242.458566270157
t89,18837.76280093002,18837.76280093002
t90,21160.189002262607,21160.189002262607
t91,22447.851035689546,22447.851035689546
t92,22750.684269396625,22750.684269396625
t93,22703.505212891323,22703.505212891323
t94,22447.851035689546,22447.851035689546
t95,21488.157709561176,21488.157709561176
